;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Alpina B3 F30  ; 2014 ; 2 970 000 ; 36 480 ;" Магадан
"; 14 апреля;  ; 3.0 л; 410 л.с.; автомат; бензин; АИ-98; полный; 4 с; Германия; 4; 5; 4628; 1811; 1431; 2810; 480; 1680; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 305; 4; АИ-98; переднее, продольное; 2979; турбонаддув; 410 / 301 при 5500 – 6250; 600 при 3000 – 4000; рядное; 6; 4; непосредственный впрыск (прямой); 10.2; 84 × 89.6
2; Alpina B10 E39  ; 1998 ; 555 000 ; 227 051 ;" Москва
"; 10 апреля;  ; 4.6 л; 347 л.с.; автомат; бензин; АИ-95; задний; 5.5 с; Германия; 4; 5; 4775; 1800; 1415; 2830; 460; 1540; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 279; 5.5; АИ-95;; 4619; нет; 347 / 255 при 5700; 480 при 3700; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 93 × 85
3; Alpina B12 E31  ; 1993 ; 9 000 000 ; 193 000 ;" Тверь
"; 10 апреля;  ; 5.7 л; 416 л.с.; механика; бензин; АИ-95; задний; 5.8 с; Германия; 2; 4; 4780; 1855; 1330; 2684; 320; 1865; механика; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 300; 5.8; АИ-95;; 5646; нет; 416 / 306 при 5400; 570 при 4000; V-образное; 12; 2; распределенный впрыск (многоточечный); 10; 86 × 81
4; Alpina B3 E90/E92  ; 2008 ; 1 400 000 ; 54 000 ;" Москва
"; 16 сентября 2017;  ; 3.0 л; 360 л.с.; автомат; бензин; АИ-98; задний; 4.8 с; Германия; 2; 4; 4580; 1782; 1395; 2760; 430; 1560; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 285; 4.8; АИ-98; переднее, продольное; 2979; турбонаддув; 360 / 265 при 5500 – 6000; 500 при 3800 – 5000; рядное; 6; 4; распределенный впрыск (многоточечный); 9.4; 84
5; Alpina B6 E63/64  ; 2007 ; 4 500 000 ; 51 000 ;" Москва
"; 18 апреля;  ; 4.4 л; 500 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Германия; 2; 4; 4829; 1855; 1371; 2780; 450; 1720; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 315; 4.6; АИ-95;; 4398; турбонаддув; 500 / 368 при 5500; 700 при 4250; V-образное; 8; 4; непосредственный впрыск (прямой); 9; 92 × 82.7
6; Alpina B7 F01/F02  ; 2011 ; 2 799 999 ; 99 963 ;" Москва
"; 17 ноября 2017;  ; 4.4 л; 507 л.с.; автомат; бензин; АИ-95; полный; 4.8 с; Германия; 4; 5; 5087; 1902; 1484; 3070; 500; 2130; автомат; 6; полный; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 300; 4.8; АИ-95;; 4395; турбонаддув; 507 / 373 при 5500; 700 при 3000; V-образное; 8; 4; непосредственный впрыск (прямой); 9.2; 89 × 88.3
7; Alpina B6 F12/F13  ; 2013 ; 3 600 000 ; 24 000 ;" Екатеринбург
"; 22 июля 2016;  ; 4.4 л; 540 л.с.; автомат; бензин; АИ-98; задний; 4.3 с; Германия; 2; 4; 4894; 1894; 1377; 2855; 460; 1870; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 320; 4.3; АИ-98; переднее, продольное; 4395; турбонаддув; 540 / 397 при 5200 – 6250; 730 при 2800 – 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.2; 89 × 88.3
8; Alpina B6 F12/F13  ; 2013 ; 4 490 999 ; 4 900 ;" Нижний Новгород
"; 23 января;  ; 4.4 л; 540 л.с.; автомат; бензин; АИ-98; задний; 4.3 с; Германия; 2; 4; 4894; 1894; 1377; 2855; 460; 1870; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 320; 4.3; АИ-98; переднее, продольное; 4395; турбонаддув; 540 / 397 при 5200 – 6250; 730 при 2800 – 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.2; 89 × 88.3
9; Alpina B6 F12/F13  ; 2013 ; 4 000 000 ; 25 000 ;" Королёв
"; 26 августа 2017;  ; 4.4 л; 540 л.с.; автомат; бензин; АИ-98; задний; 4.3 с; Германия; 2; 4; 4894; 1894; 1377; 2855; 460; 1870; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 320; 4.3; АИ-98; переднее, продольное; 4395; турбонаддув; 540 / 397 при 5200 – 6250; 730 при 2800 – 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.2; 89 × 88.3
