;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Audi A6 IV (C7) Рестайлинг  ; 2015 ;1 690 000 ; 70 000 ;" Москва
"; 26 марта; 4,7; 2.8 л; 220 л.с.; робот; бензин; АИ-95; полный; 7.9 с; Германия; 4; 5; 4933; 1874; 1455; 2912; 530/995;; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 240; 7.9; АИ-95;; 2773; нет; 220 / 162 при 5750 – 6500; 280 при 3000 – 5000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 82.5 × 86.4
2; Audi A6 III (C6) Рестайлинг  ; 2009 ;650 000 ; 210 000 ;" Самара
"; 21 марта; 4,8; 2.0 л; 170 л.с.; вариатор; дизель; ДТ; передний; 8.9 с; Германия; 4; 5; 4916; 1855; 1459; 2843; 546; 1625; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 218; 8.9; ДТ;; 1968; турбонаддув; 170 / 125 при 4200; 350 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 81 × 95.5
3; Audi A5 I  ; 2011 ;790 000 ; 98 000 ;" Москва
"; 13 февраля; 4,6; 2.0 л; 211 л.с.; робот; бензин; АИ-95; полный; 6.2 с; Германия; 2; 4; 4625; 1854; 1372; 2751; 455; 1550; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 245; 6.2; АИ-95; переднее, продольное; 1984; турбонаддув; 211 / 155 при 4300 – 6000; 350 при 1500 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 82.5 × 92.8
4; Audi A4 IV (B8) Рестайлинг  ; 2015 ; 1 235 000 ; 61 079 ;" Москва
"; 24 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Audi Q3 I  ; 2013 ; 940 000 ; 69 665 ;" Москва
"; 1 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Audi A6 III (C6)  ; 2008 ; 640 000 ; 177 000 ;" Санкт-Петербург
"; 21 февраля; 4,6; 2.0 л; 140 л.с.; вариатор; дизель; ДТ; передний; 10.3 с; Германия; 5; 5; 4933; 1855; 1463; 2843; 565; 1540; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 210; 10.3; ДТ; переднее, продольное; 1968; турбонаддув; 140 / 103 при 4000; 320 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
7; Audi A3 II (8P) Рестайлинг 2  ; 2009 ; 540 000 ; 133 000 ;" Витебск
"; 24 апреля; 4,1; 1.6 л; 102 л.с.; робот; бензин; АИ-95; передний; 12 с; Германия; 5; 5; 4286; 1765; 1423; 2578; 370/1100; 1260; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12; АИ-95; переднее, поперечное; 1595; нет; 102 / 75 при 5600; 148 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.3; 81 × 77.4
8; Audi A4 IV (B8)  ; 2008 ;700 000 ; 121 000 ;" Москва
"; 24 апреля; 4,5; 1.8 л; 160 л.с.; вариатор; бензин; АИ-95; передний; 8.6 с; Германия; 4; 5; 4703; 1824; 1427; 2808; 480/962; 1410; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 225; 8.6; АИ-95; переднее, продольное; 1798; турбонаддув; 160 / 118 при 4500 – 6200; 250 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.1
9; Audi Q3 I  ; 2013 ; 924 000 ; 102 715 ;" Москва
"; 24 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Audi A6 IV (C7)  ; 2012 ; 1 090 000 ; 155 000 ;" Санкт-Петербург
"; 28 февраля; 4,7; 2.8 л; 204 л.с.; робот; бензин; АИ-95; полный; 8.1 с; Германия; 4; 5; 4915; 1874; 1455; 2912; 530/995; 1680; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 240; 8.1; АИ-95; переднее, продольное; 2773; нет; 204 / 150 при 5250 – 6500; 280 при 3000 – 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 12; 84.5 × 82.4
11; Audi Q7 I Рестайлинг  ; 2012 ; 1 590 000 ; 133 000 ;" Москва
"; 5 января; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Audi A4 IV (B8) Рестайлинг  ; 2012 ; 890 000 ; 64 500 ;" Москва
"; 29 октября 2017; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13; Audi S6 IV (C7)  ; 2012 ; 2 490 000 ; 118 000 ;" Санкт-Петербург
"; 23 апреля;  ; 4.0 л; 420 л.с.; робот; бензин; АИ-95; полный; 4.7 с; Германия; 5; 5; 4934; 1874; 1446; 2912; 565/1680; 1950; робот; 7; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.7; АИ-95; переднее, продольное; 3993; турбонаддув; 420 / 309 при 5500 – 6400; 550 при 1400 – 5200; V-образное; 8; 4; непосредственный впрыск (прямой); 10.1; 84.5 × 89
14; Audi 80 IV (B3)  ; 1990 ; 100 000 ; 233 000 ;" Санкт-Петербург
"; 7 февраля; 3,9; 1.8 л; 90 л.с.; механика; бензин; АИ-92; передний; 12.4 с; Германия; 4; 5; 4390; 1700; 1400; 2550; 453; 1025; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 182; 12.4; АИ-92; переднее, продольное; 1781; нет; 90 / 66 при 5500; 142 при 3300; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный);; 
15; Audi Q5 I Рестайлинг  ; 2013 ; 1 500 000 ; 59 000 ;" Санкт-Петербург
"; 23 апреля; 4,8; 2.0 л; 225 л.с.; автомат; бензин; АИ-95; полный; 7.1 с; Германия; 5; 5; 4629; 1898; 1655; 2807; 540/1560; 1755; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.1; АИ-95; переднее, продольное; 1984; турбонаддув; 225 / 165 при 4500 – 6250; 350 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
16; Audi A3 I (8L)  ; 1999 ; 160 000 ; 345 000 ;" Москва
"; 24 апреля; 4,5; 1.8 л; 125 л.с.; механика; бензин; АИ-95; передний; 9.7 с; Германия; 3; 5; 4152; 1735; 1427; 2513; 350/1100; 1160; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 202; 9.7; АИ-95; переднее, поперечное; 1781; нет; 125 / 92 при 6000; 170 при 4200; рядное; 4; 5; распределенный впрыск (многоточечный); 10; 81 × 86.4
17; Audi Q7 I Рестайлинг  ; 2012 ; 1 570 000 ; 142 693 ;" Москва
"; 19 февраля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Audi A3 II (8P) Рестайлинг 2  ; 2012 ; 580 000 ; 138 500 ;" Санкт-Петербург
"; 31 января; 4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19; Audi A4 IV (B8)  ; 2011 ; 680 000 ; 117 954 ;" Саратов
"; 16 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20; Audi A8 I (D2) Рестайлинг  ; 2001 ; 350 000 ; 280 000 ;" Москва
"; 23 апреля; 4,8; 2.8 л; 193 л.с.; автомат; бензин; АИ-95; передний; 9.6 с; Германия; 4; 5; 5034; 1880; 1440; 2882; 525; 1510; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 233; 9.6; АИ-95; переднее, продольное; 2771; нет; 193 / 142 при 6000; 280 при 3200; V-образное; 6; 5; распределенный впрыск (многоточечный); 10.6; 82.5 × 86.4
21; Audi Q5 I 8tiptronic  ; 2012 ; 1 100 000 ; 61 000 ;" Москва
"; 23 апреля; 4,0; 2.0 л; 211 л.с.; автомат; бензин; АИ-95; полный; 7.2 с; Германия; 5; 5; 4629; 1880; 1653; 2807; 540/1560; 1755; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.2; АИ-95; переднее, продольное; 1984; турбонаддув; 211 / 155 при 4300 – 6000; 350 при 1500 – 4200; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.8
22; Audi A4 II (B6)  ; 2004 ; 345 000 ; 235 000 ;" Санкт-Петербург
"; 23 апреля; 4,6; 1.8 л; 170 л.с.; вариатор; бензин; АИ-95; передний;; Германия; 4; 5; 4548; 1772; 1428; 2650; 445/720;; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1781; турбонаддув; 170 / 125 при —;; рядное; 4; 5; распределенный впрыск (многоточечный); 9.3; 81 × 86.4
