;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Buick Enclave I  ; 2008 ; 939 999 ; 80 000 ;" Москва
"; 26 января 2017;  ; 3.6 л; 275 л.с.; автомат; бензин; АИ-92; полный; 8.3 с; США; 5; 7, 8; 5118; 2006; 1842; 3023; 535/3291; 2260; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180; 8.3; АИ-92; переднее, поперечное; 3564; нет; 275 / 202 при 6600; 340 при 3200; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 94 × 85.6
2; Buick LeSabre V  ; 1985 ; 280 000 ; 125 000 ;" Минск
"; 19 апреля;  ; 4.1 л; 125 л.с.; автомат; бензин; АИ-80; задний;; США; 4; 5; 5761; 2029; 1372; 2946; ;; автомат; 4; задний; независимая, пружинная;; дисковые вентилируемые;;;; АИ-80;; 4130; нет; 125 / 92 при 4000; 278 при 2000; V-образное; 6; 2;; 8; 100.7 × 86.4
3; Buick Century VI  ; 1999 ; 500 000 ; 240 000 ;" Ростов-на-Дону
"; 29 января;  ; 3.1 л; 162 л.с.; автомат; бензин; АИ-92; передний; 9.2 с; США; 4; 5; 4790; 1850; 1440; 2770; 475; 1515; автомат; 4; передний; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 175; 9.2; АИ-92; переднее, поперечное; 3125; нет; 162 / 119 при 5200; 251 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный);; 
4; Buick Rendezvous  ; 2004 ; 517 000 ; 180 000 ;" Москва
"; 13 февраля; 4,3; 3.6 л; 249 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5, 7; 4734; 1871; 1750; 2851; 515/3084; 1900; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-92;; 3564; нет; 249 / 183 при 6000; 319 при 3200; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 94 × 85.6
5; Buick Encore  ; 2013 ; 815 305 ; 29 500 ;" Москва
"; 11 апреля;  ; 1.4 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.7 с; США; 5; 5; 4278; 1777; 1658; 2555; 356/785; 1394; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.7; АИ-95;; 1364; турбонаддув; 140 / 103 при 4900 – 6000; 200 при 1850 – 4900; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 72.5 × 82.6
6; Buick Encore  ; 2015 ; 861 629 ; 51 500 ;" Москва
"; 12 марта;  ; 1.4 л; 140 л.с.; автомат; бензин; АИ-95; полный;; США; 5; 5; 4278; 1777; 1658; 2555; 356/785; 1425; автомат; 6; полный; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95;; 1364; турбонаддув; 140 / 103 при 4900 – 6000; 200 при 1850 – 4900; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 72.5 × 82.6
7; Buick Skylark IX  ; 1996 ; 140 000 ; 153 670 ;" Москва
"; 4 марта;  ; 3.1 л; 162 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 5; 4805; 1740; 1360; 2630; 375; 1330; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-95;; 3136; нет; 162 / 119 при 5200; 251 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.6; 89 × 84
8; Buick Electra VI  ; 1985 ; 250 000 ; 1 ;" Москва
"; 7 февраля;  ; 3.8 л; 175 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 5; 4989; 1839; 1379; 2814; ;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-95;; 3791; нет; 175 / 129 при 4700; 305 при 3200; V-образное; 6; 2; распределенный впрыск (многоточечный); 9; 96.5 × 86.4
9; Buick Century III  ; 1973 ; 5 000 000 ; 99 000 ;" Москва
"; 30 сентября 2017;  ; 5.7 л; 162 л.с.; автомат; бензин;; задний;; США; 2; 4; 5321; 2007; 1359; 2845; ;; автомат; 3; задний; независимая, пружинная;; дисковые; барабанные;;;;; 5724; нет; 162 / 119 при 3800; 353 при 2200; V-образное; 8; 2; карбюратор;; 
