;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Cadillac Escalade III  ; 2014 ;2 080 000 ; 49 000 ;" Каневская
"; 19 марта; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
2; Cadillac SRX II  ; 2012 ;899 000 ; 59 250 ;" Москва
"; 12 апреля; 4,3; 3.0 л; 269 л.с.; автомат; бензин; АИ-95; полный; 8.5 с; США; 5; 5; 4834; 1910; 1669; 2807; 827/1730; 1981; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 200; 8.5; АИ-95; переднее, поперечное; 2986; турбонаддув; 269 / 198 при 6950; 302 при 5100; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 80.3
3; Cadillac Escalade I  ; 2000 ;650 000 ; 150 000 ;" Москва
"; 20 января;  ; 5.7 л; 258 л.с.; автомат; бензин; АИ-95; полный; 10.5 с; США; 5; 5; 5116; 1956; 1905; 2985; 2722; 2605; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 177; 10.5; АИ-95; переднее, продольное; 5733; нет; 258 / 190 при 4600; 447 при 2800; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 101.6 × 88.4
4; Cadillac CTS II  ; 2011 ; 890 000 ; 116 737 ;" Москва
"; 24 апреля; 4,5; 3.6 л; 311 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; США; 4; 5; 4866; 1841; 1472; 2880; 385; 1882; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 225; 6.7; АИ-95; переднее, продольное; 3564; нет; 311 / 229 при 6800; 358 при 5200; V-образное; 6; 4; непосредственный впрыск (прямой); 10.2; 
5; Cadillac Escalade III  ; 2006 ;700 000 ; 210 792 ;" Москва
"; 24 апреля; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; США; 5; 5, 7; 5144; 2007; 1887; 2946; 479/3084; 2609; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 6.8; АИ-95; переднее, продольное; 6156; нет; 409 / 301 при 5700; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.2 × 92
6; Cadillac CTS II  ; 2011 ; 850 000 ; 87 000 ;" Москва
"; 24 апреля; 4,5; 3.6 л; 311 л.с.; автомат; бензин; АИ-95; задний; 6.3 с; США; 4; 5; 4866; 1841; 1472; 2880; 385; 1765; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 241; 6.3; АИ-95; переднее, продольное; 3564; нет; 311 / 229 при 6800; 358 при 5200; V-образное; 6; 4; непосредственный впрыск (прямой); 10.2; 
7; Cadillac Escalade III  ; 2013 ; 1 700 000 ; 134 794 ;" Москва
"; 19 февраля; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Cadillac CTS II  ; 2008 ; 499 000 ; 150 000 ;" Санкт-Петербург
"; 24 апреля; 4,5; 3.6 л; 311 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; США; 4; 5; 4866; 1841; 1472; 2880; 385; 1882; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 225; 6.7; АИ-95; переднее, продольное; 3564; нет; 311 / 229 при 6800; 358 при 5200; V-образное; 6; 4; непосредственный впрыск (прямой); 10.2; 
9; Cadillac SRX II Рестайлинг  ; 2014 ; 1 650 000 ; 40 000 ;" Санкт-Петербург
"; 19 ноября 2017; 4,7; 3.0 л; 249 л.с.; автомат; бензин; АИ-95; полный; 8.5 с; США; 5; 5; 4834; 1910; 1669; 2807; 827/1730; 1981; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 205; 8.5; АИ-95; переднее, поперечное; 2997; нет; 249 / 183 при 6000; 301 при 3200; V-образное; 6; 4; непосредственный впрыск (прямой); 11.7; 89 × 80.3
