;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Chery IndiS (S18D) I  ; 2013 ; 270 000 ; 39 000 ;" Каневская
"; 21 апреля; 3,8; 1.3 л; 83 л.с.; робот; бензин; АИ-92; передний; 17 с; Китай; 5; 4; 3866; 1622; 1638; 2330; ; 1183; робот; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 150; 17; АИ-92; переднее, поперечное; 1297; нет; 83 / 62 при 5750; 122 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 73 × 77.5
2; Chery Tiggo (T11) I  ; 2011 ; 299 000 ; 52 000 ;" Москва
"; 21 марта; 3,8; 2.0 л; 136 л.с.; механика; бензин; АИ-92; полный; 12 с; Китай; 5; 5; 4285; 1765; 1715; 2510; 420/827; 1410; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 12; АИ-92; переднее, поперечное; 1971; нет; 136 / 100 при 5750; 180 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 85 × 88
3; Chery IndiS (S18D) I  ; 2012 ; 249 000 ; 90 000 ;" Москва
"; 20 апреля; 3,8; 1.3 л; 83 л.с.; механика; бензин; АИ-92; передний; 17 с; Китай; 5; 4; 3866; 1622; 1638; 2330; ; 1175; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 150; 17; АИ-92; переднее, поперечное; 1297; нет; 83 / 62 при 5750; 122 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 73 × 77.5
4; Chery Tiggo (T11) I  ; 2007 ; 220 000 ; 100 000 ;" Москва
"; 23 апреля; 3,8; 2.4 л; 129 л.с.; механика; бензин; АИ-92; передний; 10.5 с; Китай; 5; 5; 4285; 1765; 1715; 2510; 420/827; 1380; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 10.5; АИ-92; переднее, поперечное; 2350; нет; 129 / 95 при 6000; 195 при —; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 
5; Chery IndiS (S18D) I  ; 2012 ; 220 000 ; 62 520 ;" Москва
"; 23 апреля; 3,8; 1.3 л; 83 л.с.; механика; бензин; АИ-92; передний; 17 с; Китай; 5; 4; 3866; 1622; 1638; 2330; ; 1175; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 150; 17; АИ-92; переднее, поперечное; 1297; нет; 83 / 62 при 5750; 122 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 73 × 77.5
6; Chery Amulet (A15) I  ; 2007 ; 110 000 ; 99 000 ;" Москва
"; 23 апреля;  ; 1.6 л; 88 л.с.; механика; бензин; АИ-92; передний; 11.6 с; Китай; 5; 5; 4393; 1682; 1424; 2468; 550; 1100; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 172; 11.6; АИ-92; переднее, поперечное; 1596; нет; 88 / 65 при 5500; 149 при 4500; рядное; 4; 2;; 9.8; 
7; Chery Tiggo (T11) I  ; 2007 ; 270 000 ; 140 413 ;" Москва
"; 23 апреля; 3,8; 2.4 л; 129 л.с.; механика; бензин; АИ-92; передний; 10.5 с; Китай; 5; 5; 4285; 1765; 1715; 2510; 420/827; 1380; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 10.5; АИ-92; переднее, поперечное; 2350; нет; 129 / 95 при 6000; 195 при —; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 
8; Chery Tiggo (T11) I  ; 2013 ; 383 300 ; 70 900 ;" Санкт-Петербург
"; 24 апреля; 3,8; 1.6 л; 119 л.с.; механика; бензин; АИ-92; передний; 13 с; Китай; 5; 5; 4285; 1765; 1715; 2510; 420/827; 1365; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 160; 13; АИ-92; переднее, поперечное; 1597; нет; 119 / 88 при 6150; 147 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 77.5
9; Chery Amulet (A15) I  ; 2007 ; 110 000 ; 100 000 ;" Санкт-Петербург
"; 23 апреля;  ; 1.6 л; 88 л.с.; механика; бензин; АИ-92; передний; 11.6 с; Китай; 5; 5; 4393; 1682; 1424; 2468; 550; 1100; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 172; 11.6; АИ-92; переднее, поперечное; 1596; нет; 88 / 65 при 5500; 149 при 4500; рядное; 4; 2;; 9.8; 
