;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Chevrolet Aveo II  ; 2013 ;440 000 ; 65 000 ;" Каневская
"; 15 апреля; 4,0; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 11.7 с; США; 4; 5; 4399; 1735; 1517; 2525; 502; 1098; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 186; 11.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
2; Chevrolet Rezzo  ; 2007 ;273 000 ; 168 500 ;" Москва
"; 22 апреля; 4,2; 1.6 л; 90 л.с.; механика; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4350; 1755; 1580; 2600; 325/1320; 1272; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 167; 12.2; АИ-95; переднее, поперечное; 1598; нет; 90 / 66 при 5200; 145 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 79 × 81.5
3; Chevrolet Lacetti  ; 2006 ;215 000 ; 190 000 ;" Москва
"; 21 апреля; 4,0; 1.4 л; 94 л.с.; механика; бензин; АИ-95; передний; 11.6 с; США; 5; 5; 4295; 1725; 1445; 2600; 275/1045; 1170; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 11.6; АИ-95; переднее, поперечное; 1399; нет; 94 / 70 при 6200; 131 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 77.9 × 73.4
4; Chevrolet Aveo II  ; 2013 ; 385 000 ; 76 000 ;" Москва
"; 24 апреля; 4,0; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 11.7 с; США; 4; 5; 4399; 1735; 1517; 2525; 502; 1098; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 186; 11.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
5; Chevrolet Epica I Рестайлинг  ; 2010 ; 440 000 ; 115 000 ;" Москва
"; 21 февраля; 4,2; 2.0 л; 143 л.с.; автомат; бензин; АИ-95; передний; 11.8 с; США; 4; 5; 4805; 1810; 1450; 2700; 480; 1500; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 199; 11.8; АИ-95; переднее, поперечное; 1993; нет; 143 / 105 при 6400; 195 при 4600; рядное; 6; 4; распределенный впрыск (многоточечный); 10.2; 75 × 75.2
6; Chevrolet Cruze I Рестайлинг  ; 2013 ; 490 000 ; 108 000 ;" Москва
"; 27 ноября 2017; 4,4; 1.6 л; 109 л.с.; автомат; бензин; АИ-95; передний; 13.5 с; США; 5; 5; 4510; 1797; 1477; 2685; 413; 1390; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.5; АИ-95; переднее, поперечное; 1598; нет; 109 / 80 при 6000; 150 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.5
7; Chevrolet Aveo I Рестайлинг  ; 2009 ; 279 000 ; 158 000 ;" Москва
"; 24 апреля; 3,8; 1.2 л; 84 л.с.; механика; бензин; АИ-95; передний; 12.8 с; США; 5; 5; 3920; 1680; 1505; 2480; 220/980; 990; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 170; 12.8; АИ-95; переднее, поперечное; 1206; нет; 84 / 62 при 6000; 114 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 69.7 × 79
8; Chevrolet Cruze I  ; 2012 ;380 000 ; 103 938 ;" Санкт-Петербург
"; 16 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Chevrolet Malibu VIII  ; 2012 ;740 000 ; 89 181 ;" Санкт-Петербург
"; 9 апреля;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Chevrolet Cruze I Рестайлинг  ; 2013 ; 470 000 ; 154 700 ;" Москва
"; 30 января; 4,4; 1.6 л; 109 л.с.; автомат; бензин; АИ-95; передний; 13.5 с; США; 5; 5; 4510; 1797; 1477; 2685; 413; 1390; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 177; 13.5; АИ-95; переднее, поперечное; 1598; нет; 109 / 80 при 6000; 150 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.5
