;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Chrysler PT Cruiser  ; 2002 ;220 000 ; 172 000 ;" Москва
"; 18 апреля; 4,2; 2.0 л; 141 л.с.; автомат; бензин; АИ-92; передний; 12.8 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 166; 12.8; АИ-92; переднее, поперечное; 1996; нет; 141 / 104 при 6000; 188 при 4350; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 87.5 × 83
2; Chrysler PT Cruiser  ; 2001 ;230 000 ; 100 000 ;" Симферополь
"; 11 апреля; 4,2; 2.4 л; 143 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 2429; нет; 143 / 105 при 5250; 229 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
3; Chrysler Stratus  ; 1996 ;65 000 ; 245 354 ;" Севастополь
"; 13 января; 4,6; 2.0 л; 131 л.с.; механика; бензин; АИ-95; передний; 10.9 с; США; 4; 5; 4746; 1822; 1374; 2747; 445; 1346; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.9; АИ-95;; 1996; нет; 131 / 96 при 5900; 171 при 4950; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 87.5 × 83
4;" Chrysler Town &amp; Country IV Рестайлинг  "; 2005 ; 470 000 ; 248 000 ;" Задонск
"; 24 апреля;  ; 3.3 л; 182 л.с.; автомат; бензин; АИ-92; передний;; США; 5; 7; 5095; 1996; 1750; 3030; 566/4754; 1890; автомат; 4; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые; 180;; АИ-92;; 3301; нет; 182 / 134 при 5000; 284 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.3; 93 × 81
5; Chrysler Voyager IV Grand  ; 2003 ; 490 000 ; 312 000 ;" Самара
"; 23 апреля; 4,3; 3.3 л; 174 л.с.; автомат; бензин; АИ-95; передний; 11.7 с; США; 5; 7; 5095; 1997; 1750; 3030; 445/4080; 2000; автомат; 4; передний; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 179; 11.7; АИ-95; переднее, поперечное; 3301; нет; 174 / 128 при 5100; 278 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9; 93 × 81
6;" Chrysler Town &amp; Country III  "; 2000 ; 250 000 ; 255 000 ;" Самара
"; 23 апреля; 4,0; 3.8 л; 180 л.с.; автомат; бензин; АИ-95; полный; 11 с; США; 4; 7; 5070; 1920; 1740; 3030; 671/1764;; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 180; 11; АИ-95; переднее, поперечное; 3778; нет; 180 / 132 при 4300; 325 при 3150; V-образное; 6; 2; распределенный впрыск (многоточечный); 9; 96 × 87
7; Chrysler Voyager II  ; 1992 ;125 000 ; 200 000 ;" Челябинск
"; 23 апреля; 4,0; 3.3 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.8 с; США; 4; 7; 4525; 1830; 1707; 2853; 671/3250; 1630; автомат; 4; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 174; 12.8; АИ-92;; 3301; нет; 152 / 112 при 4800; 251 при 3600; V-образное; 6; 2; распределенный впрыск (многоточечный); 8.9; 93 × 81
8; Chrysler PT Cruiser  ; 2002 ; 199 000 ; 149 465 ;" Череповец
"; 23 апреля; 4,2; 2.4 л; 143 л.с.; автомат; бензин; АИ-95; передний; 12.2 с; США; 5; 5; 4290; 1705; 1600; 2616; 538/1812;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.2; АИ-95; переднее, поперечное; 2429; нет; 143 / 105 при 5250; 229 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
9; Chrysler Voyager III  ; 1996 ; 300 000 ; 300 000 ;" Москва
"; 23 апреля; 3,9; 2.5 л; 116 л.с.; механика; дизель; ДТ; передний; 12.6 с; США; 5; 7; 5070; 1950; 1800; 3030; 670/4880; 1870; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.6; ДТ; переднее, поперечное; 2499; турбонаддув; 116 / 85 при 4000; 262 при 1800; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 21; 92 × 94
