;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Citroen C4 I  ; 2007 ;238 000 ; 186 000 ;" Домодедово
"; 21 апреля; 4,3; 1.6 л; 109 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Франция; 5; 5; 4260; 1773; 1458; 2608; 352/1023; 1205; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 194; 10.6; АИ-95; переднее, поперечное; 1587; нет; 109 / 80 при 5800; 147 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.5 × 82
2; Citroen Jumpy II Рестайлинг Long  ; 2013 ;650 000 ; 85 000 ;" Москва
"; 1 апреля;  ; 1.6 л; 92 л.с.; механика; дизель; ДТ; передний; 20.3 с; Франция; 5; 9; 5135; 1895; 1942; 3122; 553/2523; 1822; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 145; 20.3; ДТ; переднее, поперечное; 1560; турбонаддув; 92 / 66 при 4000; 180 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 75 × 88.3
3; Citroen C4 I  ; 2006 ;200 000 ; 130 000 ;" Москва
"; 22 апреля; 4,3; 1.6 л; 109 л.с.; автомат; бензин; АИ-95; передний; 11.6 с; Франция; 5; 5; 4260; 1773; 1458; 2608; 352/1023; 1280; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 188; 11.6; АИ-95; переднее, поперечное; 1587; нет; 109 / 80 при 5800; 147 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.5 × 82
4; Citroen C4 I  ; 2006 ; 250 000 ; 126 000 ;" Саратов
"; 24 апреля; 4,3; 1.6 л; 109 л.с.; автомат; бензин; АИ-95; передний; 13.1 с; Франция; 3; 5; 4274; 1769; 1458; 2608; 348/1034; 1275; автомат; 4; передний; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 188; 13.1; АИ-95; переднее, поперечное; 1587; нет; 109 / 80 при 5800; 147 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.5 × 82
5; Citroen C4 I Рестайлинг  ; 2011 ; 320 000 ; 148 000 ;" Рождествено
"; 19 апреля; 4,0; 1.6 л; 120 л.с.; автомат; бензин; АИ-95; передний; 11.9 с; Франция; 5; 5; 4260; 1773; 1458; 2608; 352/1023; 1273; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 187; 11.9; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6000; 160 при 3900 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11.1; 77 × 85.5
6; Citroen C5 II  ; 2013 ;760 000 ; 90 058 ;" Москва
"; 9 апреля; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Citroen C4 II  ; 2011 ; 490 000 ; 64 642 ;" Москва
"; 10 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Citroen C4 II  ; 2013 ; 490 000 ; 44 000 ;" Краснодар
"; 21 апреля; 4,4; 1.6 л; 150 л.с.; автомат; бензин; АИ-95; передний; 9.3 с; Франция; 4; 5; 4621; 1789; 1496; 2708; 440; 1390; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 200; 9.3; АИ-95; переднее, поперечное; 1598; турбонаддув; 150 / 110 при 6000; 240 при 1400; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 77 × 85.8
9; Citroen C4 II  ; 2012 ; 411 000 ; 50 347 ;" Пермь
"; 24 апреля; 4,4; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Франция; 5; 5; 4329; 1789; 1502; 2608; 408; 1205; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 12.5; АИ-95; переднее, поперечное; 1587; нет; 110 / 80 при 5800; 147 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 78.5 × 82
10; Citroen DS4  ; 2013 ; 800 000 ; 18 217 ;" Санкт-Петербург
"; 2 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Citroen C4 I Рестайлинг  ; 2008 ; 329 000 ; 116 000 ;" Санкт-Петербург
"; 24 февраля; 4,0; 1.6 л; 120 л.с.; автомат; бензин; АИ-95; передний; 11.9 с; Франция; 3; 5; 4274; 1769; 1458; 2608; 342/1083; 1273; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 187; 11.9; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6000; 160 при 3900 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11.1; 77 × 85.5
