;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; DW Hower H5  ; 2018 ; 1 347 000 ; Нов;" Москва
"; 12 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; DW Hower H3 I  ; 2017 ; 1 239 000 ; Нов;" Симферополь
"; 3 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-92; полный; 14 с; Россия; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160; 14; АИ-92; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; DW Hower H3 I  ; 2017 ; 1 239 000 ; Нов;" Севастополь
"; 14 марта;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-92; полный; 14 с; Россия; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160; 14; АИ-92; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; DW Hower H5  ; 2018 ; 1 305 000 ; 12 ;" Задонск
"; 20 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; DW Hower H5  ; 2018 ; 1 305 000 ; Нов;" Самара
"; 22 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; DW Hower H5  ; 2018 ; 1 347 000 ; Нов;" Самара
"; 16 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; DW Hower H3 I  ; 2018 ; 1 281 000 ; Нов;" Челябинск
"; 16 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-92; полный; 14 с; Россия; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160; 14; АИ-92; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; DW Hower H3 I  ; 2018 ; 1 239 000 ; Нов;" Череповец
"; 15 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-92; полный; 14 с; Россия; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160; 14; АИ-92; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; DW Hower H5  ; 2018 ; 1 300 000 ; Нов;" Москва
"; 15 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
10; DW Hower H5  ; 2018 ; 1 349 000 ; Нов;" Мытищи
"; 15 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
11; DW Hower H5  ; 2018 ; 1 250 000 ; Нов;" Москва
"; 14 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-95; полный;; Россия; 5; 5; 4645; 1800; 1775; 2700; ; 1935; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
12; DW Hower H3 I  ; 2018 ; 1 150 000 ; Нов;" Москва
"; 14 апреля;  ; 2.0 л; 149 л.с.; механика; бензин; АИ-92; полный; 14 с; Россия; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160; 14; АИ-92; переднее, продольное; 1997; турбонаддув; 149 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
