;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Dacia Logan I  ; 2008 ; 250 000 ; 325 000 ;" Москва
"; 23 апреля; 4,3; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 15.6 с; Румыния; 5; 7; 4450; 1740; 1674; 2905; 200/2350; 1165; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 155; 15.6; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
2; Dacia Logan I  ; 2007 ; 180 000 ; 182 500 ;" Симферополь
"; 23 апреля; 4,3; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 13 с; Румыния; 4; 5; 4250; 1735; 1525; 2630; 510; 975; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 162; 13; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
3; Dacia SuperNova I  ; 2003 ; 60 000 ; 170 223 ;" Севастополь
"; 23 апреля;  ; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 14 с; Румыния; 5; 5; 4030; 1640; 1390; 2475; ; 950; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые; барабанные; 162; 14; АИ-95;; 1390; нет; 75 / 55 при 5250; 114 при 2600; рядное; 4; 2; распределенный впрыск (многоточечный); 9.2; 75.8 × 77
4; Dacia Logan I  ; 2009 ; 290 000 ; 183 000 ;" Задонск
"; 23 апреля; 4,3; 1.5 л; 65 л.с.; механика; дизель; ДТ; передний; 17.7 с; Румыния; 5; 7; 4450; 1740; 1674; 2905; 200/2350; 1270; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 150; 17.7; ДТ;; 1461; турбонаддув; 65 / 48 при 4000; 160 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.3; 76 × 80.5
5; Dacia Duster I  ; 2010 ; 577 777 ; 94 000 ;" Самара
"; 20 апреля;  ; 1.5 л; 107 л.с.; механика; дизель; ДТ; передний; 11.8 с; Румыния; 5; 5; 4315; 1822; 1625; 2673; 475/1636; 1280; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 171; 11.8; ДТ; переднее, поперечное; 1461; турбонаддув; 107 / 79 при 4000; 240 при 1750; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.7; 76 × 80.5
6; Dacia Logan I  ; 2009 ; 309 000 ; 146 000 ;" Самара
"; 6 февраля; 4,3; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 15.6 с; Румыния; 5; 7; 4450; 1740; 1674; 2905; 200/2350; 1165; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 155; 15.6; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
7; Dacia Logan I  ; 2009 ; 389 000 ; 186 246 ;" Челябинск
"; 4 января; 4,3; 1.5 л; 65 л.с.; механика; дизель; ДТ; передний; 17.7 с; Румыния; 5; 7; 4450; 1740; 1674; 2905; 200/2350; 1270; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 150; 17.7; ДТ;; 1461; турбонаддув; 65 / 48 при 4000; 160 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.3; 76 × 80.5
8; Dacia Logan I  ; 2007 ; 250 000 ; 170 000 ;" Череповец
"; 18 марта; 4,3; 1.5 л; 65 л.с.; механика; дизель; ДТ; передний; 17.7 с; Румыния; 5; 7; 4450; 1740; 1674; 2905; 200/2350; 1270; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 150; 17.7; ДТ;; 1461; турбонаддув; 65 / 48 при 4000; 160 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.3; 76 × 80.5
9; Dacia Lodgy  ; 2012 ; 650 000 ; 93 000 ;" Москва
"; 15 марта;  ; 1.5 л; 110 л.с.; механика; дизель; ДТ; передний; 11.6 с; Румыния; 5; 5; 4498; 1751; 1682; 2810; 827/2617; 1280; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.6; ДТ; переднее, поперечное; 1461; турбонаддув; 110 / 81 при 4000; 240 при 1750; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.2; 76 × 80.5
