;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Daihatsu YRV  ; 2002 ;180 000 ; 55 000 ;" Москва
"; 31 марта; 3,8; 1.3 л; 90 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1625; 1535; 2370; 240/1080; 940; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; нет; 90 / 66 при 6000; 123 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
2; Daihatsu Cuore V (L700)  ; 1999 ;120 000 ; 144 770 ;" Симферополь
"; 13 сентября 2017;  ; 1.0 л; 56 л.с.; автомат; бензин; АИ-95; передний;; Япония; 3; 4; 3410; 1475; 1420; 2345; 155/430;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; АИ-95; переднее, поперечное; 989; нет; 56 / 41 при 5200; 88 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10; 72 × 81
3; Daihatsu Mira VII  ; 2008 ;210 000 ; 116 000 ;" Севастополь
"; 15 апреля;  ; 0.7 л; 58 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3395; 1475; 1425; 2360; ; 750; автомат; 4; передний; независимая, торсионная; полунезависимая, торсионная; дисковые; барабанные;;; АИ-92; переднее, поперечное; 658; нет; 58 / 43 при 7200; 65 при 4000; рядное; 3; 4; распределенный впрыск (многоточечный); 10.8; 63 × 70.4
4; Daihatsu Pyzar I  ; 1997 ; 170 000 ; 149 000 ;" Задонск
"; 23 апреля;  ; 1.6 л; 115 л.с.; автомат; бензин; АИ-92; полный;; Япония; 5; 5; 4050; 1640; 1595; 2395; ; 1130; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1589; нет; 115 / 85 при 6300; 140 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 87.6
5; Daihatsu YRV  ; 2001 ; 175 000 ; 155 000 ;" Самара
"; 23 апреля;  ; 1.3 л; 90 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 930; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; нет; 90 / 66 при 6000; 123 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
6; Daihatsu YRV  ; 2002 ; 218 000 ; 189 200 ;" Самара
"; 23 апреля;  ; 1.3 л; 90 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 930; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; нет; 90 / 66 при 6000; 123 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
7; Daihatsu Boon I  ; 2006 ; 199 000 ; 139 000 ;" Челябинск
"; 16 апреля;  ; 1.0 л; 71 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3595; 1665; 1535; 2440; ; 900; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 996; нет; 71 / 52 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 71 × 83.9
8; Daihatsu YRV  ; 2001 ; 190 000 ; 153 000 ;" Череповец
"; 23 апреля;  ; 1.3 л; 140 л.с.; автомат; бензин; АИ-95; передний; 9.3 с; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 990; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 190; 9.3; АИ-95; переднее, поперечное; 1298; турбонаддув; 140 / 103 при 6400; 177 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
9; Daihatsu Storia  ; 1998 ; 145 000 ; 174 000 ;" Москва
"; 23 апреля; 4,3; 1.0 л; 60 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3660; 1600; 1450; 2370; ; 850; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 989; нет; 60 / 44 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10; 72 × 81
10; Daihatsu YRV  ; 2002 ; 80 000 ; 137 220 ;" Мытищи
"; 23 апреля;  ; 1.0 л; 64 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 870; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 989; нет; 64 / 47 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10; 72 × 81
11; Daihatsu Terios I  ; 1998 ; 250 000 ; 260 000 ;" Москва
"; 23 апреля; 4,1; 1.3 л; 86 л.с.; автомат; бензин; АИ-95; полный; 16.1 с; Япония; 5; 5; 3845; 1555; 1695; 2420; 205; 1050; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 145; 16.1; АИ-95; переднее, поперечное; 1296; нет; 86 / 63 при 6000; 120 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 71.4
12; Daihatsu Terios I Kid  ; 2007 ; 357 000 ; 65 000 ;" Москва
"; 10 апреля; 4,1; 0.7 л; 64 л.с.; автомат; бензин; АИ-95; полный; 15 с; Япония; 5; 4; 3395; 1475; 1740; 2420; ; 960; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 135; 15; АИ-95; переднее, продольное; 659; турбонаддув; 64 / 47 при 6400; 107 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный);; 
13; Daihatsu Terios II  ; 2007 ; 600 000 ; 100 000 ;" Москва
"; 4 апреля; 4,5; 1.5 л; 105 л.с.; автомат; бензин; АИ-95; полный; 14 с; Япония; 5; 5; 4055; 1695; 1740; 2580; 380/755; 1200; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 160; 14; АИ-95; переднее, продольное; 1495; нет; 105 / 77 при 6000; 140 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 91.7
14; Daihatsu Rocky  ; 1994 ; 360 000 ; 155 000 ;" Липецк
"; 22 апреля;  ; 1.6 л; 105 л.с.; автомат; бензин; АИ-92; полный;; Япония; 3; 4; 3705; 1635; 1725; 2175; ; 1290; автомат; 4; полный; независимая, торсионная; зависимая, рессорная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1589; нет; 105 / 77 при 6000; 140 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 87.6
15; Daihatsu Move IV  ; 2007 ; 250 000 ; 105 ;" Азнакаево
"; 22 апреля;  ; 0.7 л; 58 л.с.; автомат; бензин; АИ-95; передний;; Япония; 5; 4; 3395; 1475; 1630; 2490; ; 880; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые; барабанные;;; АИ-95;; 659; нет; 58 / 42 при 7600; 64 при 4000; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 68 × 60.3
16; Daihatsu YRV  ; 2001 ; 180 000 ; 150 000 ;" Владимир
"; 22 апреля;  ; 1.3 л; 90 л.с.; механика; бензин; АИ-92; передний;; Япония; 5; 5; 3765; 1620; 1550; 2355; 165/1075; 910; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1297; нет; 90 / 66 при 6000; 123 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 79.7
17; Daihatsu Cuore VII (L276)  ; 2008 ; 200 000 ; 90 000 ;" Набережные Челны
"; 22 апреля;  ; 1.0 л; 69 л.с.; механика; бензин; АИ-92; передний; 11.1 с; Япония; 5; 5; 3460; 1475; 1530; 2490; 200; 765; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 996; нет; 69 / 51 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 71 × 84
18; Daihatsu Terios I Kid  ; 2006 ; 355 000 ; 55 200 ;" Москва
"; 21 апреля; 4,1; 0.7 л; 64 л.с.; механика; бензин; АИ-95; полный; 15 с; Япония; 5; 4; 3395; 1475; 1740; 2420; ; 960; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 135; 15; АИ-95; переднее, продольное; 659; турбонаддув; 64 / 47 при 6400; 107 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный);; 
19; Daihatsu Materia  ; 2007 ; 500 000 ; 135 000 ;" Москва
"; 19 апреля; 4,5; 1.5 л; 103 л.с.; автомат; бензин; АИ-92; передний; 13.7 с; Япония; 5; 5; 3800; 1690; 1635; 2540; 230/620; 1050; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 164; 13.7; АИ-92; переднее, поперечное; 1495; нет; 103 / 76 при 6000; 132 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 91.7
20; Daihatsu Terios II  ; 2008 ; 515 000 ; 109 000 ;" Москва
"; 18 апреля; 4,5; 1.5 л; 105 л.с.; механика; бензин; АИ-95; полный; 14 с; Япония; 5; 5; 4055; 1695; 1740; 2580; 380/755; 1200; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 160; 14; АИ-95; переднее, продольное; 1495; нет; 105 / 77 при 6000; 140 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 91.7
21; Daihatsu Cuore VII (L276)  ; 2007 ; 270 000 ; 149 000 ;" Москва
"; 15 апреля;  ; 1.0 л; 69 л.с.; механика; бензин; АИ-92; передний; 11.1 с; Япония; 5; 5; 3460; 1475; 1530; 2490; 200; 765; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 996; нет; 69 / 51 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 71 × 84
22; Daihatsu Cuore VII (L276)  ; 2009 ; 290 000 ; 265 000 ;" Москва
"; 30 января;  ; 1.0 л; 69 л.с.; механика; бензин; АИ-92; передний; 11.1 с; Япония; 5; 5; 3460; 1475; 1530; 2490; 200; 765; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 996; нет; 69 / 51 при 6000; 94 при 3600; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 71 × 84
23; Daihatsu Terios II  ; 2009 ; 450 000 ; 130 000 ;" Москва
"; 11 декабря 2017; 4,5; 1.5 л; 105 л.с.; механика; бензин; АИ-95; полный; 14 с; Япония; 5; 5; 4055; 1695; 1740; 2580; 380/755; 1200; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 160; 14; АИ-95; переднее, продольное; 1495; нет; 105 / 77 при 6000; 140 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 91.7
