;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Datsun on-DO I  ; 2018 ; 444 900 ; 1 ;" Петрозаводск
"; 8 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
2; Datsun on-DO I  ; 2015 ;345 000 ; 20 408 ;" Санкт-Петербург
"; 22 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
3; Datsun on-DO I  ; 2018 ; 439 900 ; 1 ;" Петрозаводск
"; 15 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
4; Datsun on-DO I  ; 2014 ; 297 000 ; 43 000 ;" Екатеринбург
"; 23 апреля; 3,5; 1.6 л; 82 л.с.; механика; бензин; АИ-95; передний; 12.9 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 165; 12.9; АИ-95; переднее, поперечное; 1596; нет; 82 / 60 при 5100; 132 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 9.8; 82 × 75.6
5; Datsun on-DO I  ; 2015 ; 330 000 ; 60 000 ;" Санкт-Петербург
"; 23 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
6; Datsun on-DO I  ; 2014 ; 320 000 ; 64 200 ;" Ростов-на-Дону
"; 23 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
7; Datsun mi-DO  ; 2015 ; 330 000 ; 79 000 ;" Москва
"; 23 апреля; 3,7; 1.6 л; 87 л.с.; автомат; бензин; АИ-95; передний; 14.3 с; Япония; 5; 5; 3950; 1700; 1500; 2476; 240; 1160; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 166; 14.3; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
8; Datsun on-DO I  ; 2014 ; 355 000 ; 34 700 ;" Ярославль
"; 23 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
9; Datsun on-DO I  ; 2015 ; 315 000 ; 78 077 ;" Тюмень
"; 23 апреля; 3,5; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 12.2 с; Япония; 4; 5; 4337; 1700; 1500; 2476; 530; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 173; 12.2; АИ-95; переднее, поперечное; 1596; нет; 87 / 64 при 5100; 140 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 82 × 75.6
