;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Dodge RAM IV (DS/DJ)  ; 2012 ;2 150 000 ; 65 000 ;" Челябинск
"; 23 апреля; 4,8; 5.7 л; 396 л.с.; автомат; бензин; АИ-95; полный;; США; 4; 6; 5816; 2017; 1923; 3570; ; 1750; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 5654; нет; 396 / 291 при 5600; 556 при 3950; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 
2; Dodge RAM IV (DS/DJ)  ; 2014 ; 1 800 000 ; 41 000 ;" Чебоксары
"; 15 февраля; 4,8; 5.7 л; 396 л.с.; автомат; бензин; АИ-95; полный;; США; 4; 6; 5816; 2017; 1923; 3570; ; 1750; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 5654; нет; 396 / 291 при 5600; 556 при 3950; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 
3; Dodge Caliber I  ; 2006 ; 375 000 ; 109 000 ;" Нижний Новгород
"; 21 апреля; 4,3; 2.0 л; 156 л.с.; вариатор; бензин; АИ-95; передний; 11.3 с; США; 5; 5; 4415; 1800; 1535; 2635; 352/1013; 1365; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 11.3; АИ-95; переднее, поперечное; 1998; нет; 156 / 115 при 6300; 190 при 5100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
4; Dodge Caravan IV  ; 2002 ; 225 000 ; 128 600 ;" Москва
"; 13 апреля; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
5; Dodge Caravan IV  ; 2002 ;280 000 ; 174 000 ;" Москва
"; 25 января; 4,4; 2.4 л; 152 л.с.; автомат; бензин; АИ-92; передний; 12.5 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1815; автомат; 3; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 170; 12.5; АИ-92; переднее, поперечное; 2429; нет; 152 / 112 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
6; Dodge Intrepid II  ; 2003 ; 165 000 ; 196 000 ;" Москва
"; 24 апреля; 4,5; 2.7 л; 203 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; США; 4; 5; 5175; 1898; 1420; 2870; 520; 1600; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 187; 10.5; АИ-95; переднее, продольное; 2736; нет; 203 / 149 при 5800; 257 при 4850; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.7; 86 × 87.5
7; Dodge RAM IV (DS/DJ)  ; 2014 ; 3 000 000 ; 103 035 ;" Санкт-Петербург
"; 27 февраля; 4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Dodge RAM IV (DS/DJ)  ; 2013 ; 2 500 000 ; 95 000 ;" Санкт-Петербург
"; 24 апреля; 4,8; 5.7 л; 396 л.с.; автомат; бензин; АИ-95; полный;; США; 4; 6; 5816; 2017; 1923; 3570; ; 1750; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 5654; нет; 396 / 291 при 5600; 556 при 3950; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 
9; Dodge Caravan IV  ; 2002 ; 320 000 ; 150 000 ;" Москва
"; 19 февраля; 4,4; 3.3 л; 182 л.с.; автомат; бензин; АИ-92; передний; 11.4 с; США; 5; 4, 5; 4805; 1995; 1750; 2878; 445/4080; 1885; автомат; 4; передний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 179; 11.4; АИ-92; переднее, поперечное; 3301; нет; 182 / 134 при 5000; 285 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.3; 93 × 81
