;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Doninvest Kondor  ; 1999 ; 130 000 ; 180 000 ;" Нальчик
"; 6 апреля;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970; 1325; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 206; 10.2; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
2; Doninvest Kondor  ; 1999 ; 80 000 ; 170 000 ;" Москва
"; 11 марта;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970; 1325; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 206; 10.2; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
3; Doninvest Kondor  ; 1999 ; 50 000 ; 270 000 ;" Уфа
"; 1 апреля;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970; 1325; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 206; 10.2; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
4; Doninvest Orion  ; 1999 ; 85 000 ; 30 000 ;" Камбарка
"; 29 марта;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 9 с; Россия; 5; 5; 4514; 1700; 1433; 2570; 550/1840; 1222; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 185; 9; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
5; Doninvest Kondor  ; 1998 ; 110 000 ; 180 000 ;" Ржев
"; 14 марта;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970; 1325; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 206; 10.2; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
6; Doninvest Orion  ; 2001 ; 120 000 ; 300 000 ;" Ржев
"; 3 марта;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 9 с; Россия; 5; 5; 4514; 1700; 1433; 2570; 550/1840; 1222; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 185; 9; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
7; Doninvest Orion  ; 2002 ; 140 000 ; 200 000 ;" Йошкар-Ола
"; 25 февраля;  ; 2.0 л; 133 л.с.; механика; бензин; АИ-95; передний; 9 с; Россия; 5; 5; 4514; 1700; 1433; 2570; 550/1840; 1222; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 185; 9; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
8; Doninvest Kondor  ; 1999 ; 60 000 ; 168 000 ;" Нарьян-Мар
"; 11 февраля;  ; 2.0 л; 133 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 192; 12.5; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
9; Doninvest Kondor  ; 1999 ; 150 000 ; 322 000 ;" Курган
"; 12 апреля;  ; 2.0 л; 133 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Россия; 4; 5; 4671; 1779; 1437; 2670; 400/970;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 192; 12.5; АИ-95;; 1998; нет; 133 / 98 при 5400; 185 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 86 × 86
