;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Great Wall Hover H3 I Рестайлинг  ; 2016 ; 1 281 000 ; Нов;" Красноярск
"; 12 апреля;  ; 2.0 л; 150 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 6; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92; переднее, продольное; 1997; турбонаддув; 150 / 110 при 4200; 250 при 2400 – 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Great Wall Hover H5  ; 2015 ;1 089 000 ; 100 ;" Москва
"; 3 ноября 2017; 4,0; 2.0 л; 150 л.с.; механика; дизель; ДТ; полный; 11 с; Китай; 5; 5; 4649; 1810; 1745; 2700; 810/2074; 1880; механика; 5; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые; 170; 11; ДТ; переднее, продольное; 1996; турбонаддув; 150 / 110 при 4000; 310 при 1800 – 2800; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
3; Great Wall Hover H5  ; 2014 ; 580 000 ; 55 000 ;" Петрозаводск
"; 20 апреля; 4,0; 2.4 л; 136 л.с.; механика; бензин; АИ-92; полный; 11 с; Китай; 5; 5; 4649; 1810; 1745; 2700; 810/2074; 1805; механика; 5; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые; 160; 11; АИ-92; переднее, продольное; 2378; нет; 136 / 100 при 5000; 205 при 2500 – 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Great Wall Hover H5  ; 2013 ; 565 000 ; 71 210 ;" Москва
"; 24 апреля; 4,0; 2.4 л; 136 л.с.; механика; бензин; АИ-92; полный; 11 с; Китай; 5; 5; 4649; 1810; 1745; 2700; 810/2074; 1805; механика; 5; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые; 160; 11; АИ-92; переднее, продольное; 2378; нет; 136 / 100 при 5000; 205 при 2500 – 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Great Wall Socool  ; 2007 ; 250 000 ; 150 000 ;" Саратов
"; 24 апреля;  ; 2.2 л; 105 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5095; 1795; 1710; 2800; ;; механика; 5; полный; независимая, пружинная;; дисковые вентилируемые; барабанные;;; АИ-92; переднее, продольное; 2237; нет; 105 / 77 при 4600; 190 при 3200; рядное; 4; 2; распределенный впрыск (многоточечный);; 
6; Great Wall Hover H5  ; 2013 ;720 000 ; 77 000 ;" Москва
"; 13 марта; 4,0; 2.0 л; 143 л.с.; автомат; дизель; ДТ; полный; 11 с; Китай; 5; 5; 4649; 1810; 1745; 2700; 810/2074; 1995; автомат; 4; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые; 170; 11; ДТ; переднее, продольное; 1996; турбонаддув; 143 / 105 при 4000; 310 при 2800; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
7; Great Wall Hover H5  ; 2013 ; 599 000 ; 62 680 ;" Москва
"; 30 марта; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Great Wall Safe  ; 2010 ; 350 000 ; 135 000 ;" Москва
"; 23 апреля; 3,8; 2.2 л; 105 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4560; 1780; 1820; 2615; 930; 1640; механика; 5; полный; независимая, торсионная;; дисковые вентилируемые;; 140;; АИ-92;; 2237; нет; 105 / 77 при 4600; 190 при 3200; рядное; 4; 2; распределенный впрыск (многоточечный);; 
9; Great Wall Hover H3 I Рестайлинг  ; 2014 ; 615 000 ; 74 569 ;" Москва
"; 23 апреля;  ; 2.0 л; 116 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4650; 1800; 1745; 2700; 420/2020; 1905; механика; 5; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 160;; АИ-92; переднее, продольное; 1997; нет; 116 / 85 при 5200; 175 при 2500 – 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
10; Great Wall Hover H5  ; 2013 ; 685 000 ; 76 156 ;" Челябинск
"; 23 апреля; 4,0; 2.0 л; 150 л.с.; автомат; дизель; ДТ; полный; 11 с; Китай; 5; 5; 4649; 1810; 1745; 2700; 810/2074; 1880; автомат; 4; полный; независимая, торсионная; зависимая, пружинная; дисковые вентилируемые; дисковые; 170; 11; ДТ; переднее, продольное; 1996; турбонаддув; 150 / 110 при 4000; 310 при 1800 – 2800; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 
11; Great Wall Hover H3 I  ; 2013 ; 545 000 ; 101 000 ;" Набережные Челны
"; 23 апреля; 4,3; 2.0 л; 115 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4620; 1800; 1800; 2700; 420/2020; 1905; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; дисковые; 160;; АИ-92; переднее, продольное; 1997; нет; 115 / 85 при 5200; 175 при 2500 – 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 85 × 88
12; Great Wall Hover M2  ; 2013 ; 362 000 ; 89 207 ;" Москва
"; 23 апреля;  ; 1.5 л; 105 л.с.; механика; бензин; АИ-92; передний; 14.7 с; Китай; 5; 5; 4011; 1744; 1720; 2499; 330/1100; 1170; механика; 5; передний; независимая, торсионная; полунезависимая, пружинная; дисковые; барабанные; 158; 14.7; АИ-92; переднее, поперечное; 1497; нет; 105 / 77 при 6000; 138 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
13; Great Wall Hover H3 I  ; 2012 ; 650 000 ; 97 750 ;" Набережные Челны
"; 8 апреля; 4,3; 2.0 л; 122 л.с.; механика; бензин; АИ-92; полный; 13.5 с; Китай; 5; 5; 4620; 1800; 1800; 2700; 420/2020; 1905; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; дисковые; 180; 13.5; АИ-92; переднее, продольное; 1997; нет; 122 / 90 при 5250; 175 при 2500 – 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 85 × 88
