;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Hawtai Boliger  ; 2015 ; 700 000 ; 11 600 ;" Нальчик
"; 23 апреля;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Hawtai Boliger  ; 2015 ; 620 000 ; 22 451 ;" Москва
"; 17 апреля;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; Hawtai Boliger  ; 2015 ; 750 000 ; 40 000 ;" Уфа
"; 23 апреля;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Hawtai Boliger  ; 2014 ; 670 000 ; 40 000 ;" Камбарка
"; 3 декабря 2017;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Hawtai Boliger  ; 2015 ; 765 000 ; 22 000 ;" Ржев
"; 13 апреля;  ; 1.8 л; 160 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Hawtai Boliger  ; 2015 ; 650 000 ; 70 000 ;" Ржев
"; 6 марта;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; Hawtai Boliger  ; 2014 ; 600 000 ; 60 000 ;" Йошкар-Ола
"; 3 апреля;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; Hawtai Boliger  ; 2014 ; 550 000 ; 25 000 ;" Нарьян-Мар
"; 26 марта;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; Hawtai Boliger  ; 2015 ; 680 000 ; 10 500 ;" Курган
"; 29 января;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Китай; 5; 5; 4618; 1858; 1754; 2620; 690/2100; 1710; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 10.6; АИ-95; переднее, поперечное; 1796; турбонаддув; 160 / 118 при 5500; 215 при 2500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
