;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Hyundai Solaris II  ; 2018 ; 877 900 ; Нов;" Москва
"; 23 апреля; 3,7; 1.6 л; 123 л.с.; автомат; бензин; АИ-92; передний; 11.2 с; Южная Корея; 4; 5; 4405; 1729; 1469; 2600; 480; 1198; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 192; 11.2; АИ-92; переднее, поперечное; 1591; нет; 123 / 90 при 6300; 151 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
2; Hyundai Tucson I  ; 2007 ;460 000 ; 170 000 ;" Нефтекамск
"; 1 декабря 2017; 4,1; 2.0 л; 140 л.с.; механика; бензин; АИ-95; передний; 10.4 с; Южная Корея; 5; 5; 4325; 1795; 1680; 2630; 325/1856; 1537; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 10.4; АИ-95; переднее, поперечное; 1975; нет; 140 / 103 при 6000; 184 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.1; 82 × 93.5
3; Hyundai Santa Fe II Рестайлинг  ; 2012 ; 865 000 ; 122 000 ;" Владимир
"; 14 апреля; 4,0; 2.4 л; 174 л.с.; автомат; бензин; АИ-95; полный; 11.7 с; Южная Корея; 5; 5; 4660; 1890; 1760; 2700; 774/1582; 1759; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 11.7; АИ-95; переднее, поперечное; 2359; нет; 174 / 128 при 6000; 226 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
4; Hyundai H-1 II Рестайлинг  ; 2016 ; 2 050 000 ; 31 107 ;" Москва
"; 12 марта;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Hyundai ix35 I Рестайлинг  ; 2014 ; 940 000 ; 87 555 ;" Санкт-Петербург
"; 21 марта; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Hyundai Solaris I  ; 2014 ; 584 917 ; 72 600 ;" Москва
"; 23 декабря 2017; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Hyundai i30 II  ; 2013 ; 515 000 ; 166 795 ;" Санкт-Петербург
"; 5 марта; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Hyundai i30 I  ; 2009 ; 430 000 ; 61 154 ;" Москва
"; 15 января; 4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Hyundai Solaris I  ; 2013 ; 475 000 ; 75 965 ;" Санкт-Петербург
"; 14 апреля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Hyundai Solaris II  ; 2017 ; 660 000 ; 6 000 ;" Санкт-Петербург
"; 24 апреля; 3,7; 1.6 л; 123 л.с.; механика; бензин; АИ-92; передний; 10.3 с; Южная Корея; 4; 5; 4405; 1729; 1469; 2600; 480; 1160; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 193; 10.3; АИ-92; переднее, поперечное; 1591; нет; 123 / 90 при 6300; 151 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
11; Hyundai ix35 I Рестайлинг  ; 2015 ; 926 000 ; 51 206 ;" Москва
"; 23 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Hyundai Solaris I Рестайлинг  ; 2014 ; 523 000 ; 23 785 ;" Москва
"; 23 апреля; 3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
