;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Infiniti QX80 I Рестайлинг  ; 2017 ; 3 808 000 ; Нов;" Москва
"; 23 апреля; 5,0; 5.6 л; 405 л.с.; автомат; бензин; АИ-95; полный; 6.5 с; Япония; 5; 7, 8; 5290; 2030; 1925; 3075; 470/2693; 2800; автомат; 7; полный; независимая, пружинная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 210; 6.5; АИ-95; переднее, продольное; 5552; нет; 405 / 298 при 5800; 560 при 4000; V-образное; 8; 4; распределенный впрыск (многоточечный); 11.5; 98 × 92
2; Infiniti QX70  ; 2014 ;1 940 000 ; 49 900 ;" Нефтекамск
"; 14 апреля; 4,5; 3.0 л; 238 л.с.; автомат; дизель; ДТ; полный; 8.3 с; Япония; 5; 5; 4865; 1925; 1650; 2885; 376; 2080; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 212; 8.3; ДТ; переднее, продольное; 2993; турбонаддув; 238 / 175 при 3750; 550 при 1750 – 2500; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
3; Infiniti FX I (S50) FX35  ; 2003 ;530 000 ; 188 000 ;" Владимир
"; 16 марта; 4,4; 3.5 л; 280 л.с.; автомат; бензин; АИ-95; полный; 7.4 с; Япония; 5; 5; 4805; 1925; 1650; 2850; 775; 1900; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 221; 7.4; АИ-95; переднее, продольное; 3498; нет; 280 / 206 при 6200; 366 при 4800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 95.5 × 81.4
4; Infiniti Q60 I  ; 2014 ; 2 100 000 ; 51 933 ;" Москва
"; 1 марта;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Infiniti EX I (J50) EX35  ; 2008 ; 700 000 ; 98 286 ;" Санкт-Петербург
"; 4 февраля; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Infiniti QX50 I  ; 2014 ; 1 349 000 ; 55 934 ;" Москва
"; 23 апреля; 5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Infiniti FX II (S51) FX35  ; 2009 ; 1 090 000 ; 194 494 ;" Санкт-Петербург
"; 7 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Infiniti FX I (S50) FX35  ; 2003 ; 450 000 ; 170 000 ;" Москва
"; 23 апреля; 4,4; 3.5 л; 280 л.с.; автомат; бензин; АИ-95; полный; 7.4 с; Япония; 5; 5; 4805; 1925; 1650; 2850; 775; 1900; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 221; 7.4; АИ-95; переднее, продольное; 3498; нет; 280 / 206 при 6200; 366 при 4800; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 95.5 × 81.4
9; Infiniti QX56 II  ; 2012 ; 1 590 000 ; 120 000 ;" Санкт-Петербург
"; 20 сентября 2017; 4,5; 5.6 л; 405 л.с.; автомат; бензин; АИ-95; полный; 6.5 с; Япония; 5; 7, 8; 5290; 2030; 1925; 3075; 1404/2693; 2800; автомат; 7; полный; независимая, пружинная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 210; 6.5; АИ-95; переднее, продольное; 5552; нет; 405 / 298 при 5800; 560 при 4000; V-образное; 8; 4; распределенный впрыск (многоточечный); 11.5; 98 × 92
