;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Isuzu Gemini V  ; 2000 ; 92 900 ; 292 800 ;" Нижний Тагил
"; 23 апреля;  ; 1.5 л; 105 л.с.; автомат; бензин; АИ-95; передний;; Япония; 4; 5; 4480; 1695; 1390; 2620; ;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-95; переднее, поперечное; 1493; нет; 105 / 77 при 6400; 133 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9; 75 × 84
2; Isuzu D-Max II  ; 2016 ; 1 850 000 ; 40 000 ;" Воронежская область
"; 17 апреля;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
3; Isuzu Rodeo I  ; 1992 ; 198 000 ; 174 583 ;" Верхний Тагил
"; 20 апреля;  ; 3.2 л; 177 л.с.; механика; бензин; АИ-95; задний;; Япония; 5; 5; 4480; 1690; 1660; 2760; ; 1712; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-95; переднее, продольное; 3165; нет; 177 / 130 при 5200; 260 при 3750; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.3; 93.4 × 77
4; Isuzu Amigo II  ; 1999 ; 290 000 ; 220 000 ;" Москва
"; 22 апреля;  ; 2.2 л; 130 л.с.; механика; бензин;; задний;; Япония; 3; 4; 4263; 1787; 1692; 2462; 1134; 1525; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;;; переднее, продольное; 2198; нет; 130 / 96 при 5200; 195 при 4000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.6; 86 × 94.6
5; Isuzu Rodeo II  ; 2002 ; 219 500 ; 140 000 ;" Пятигорск
"; 8 апреля; 4,1; 2.2 л; 130 л.с.; механика; бензин; АИ-95; задний;; Япония; 5; 5; 4509; 1788; 1806; 2702; 935/2297; 1585; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые;;; АИ-95; переднее, продольное; 2198; нет; 130 / 96 при 5200; 195 при 4000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.6; 86 × 94.6
6; Isuzu D-Max II  ; 2017 ; 2 295 000 ; 1 ;" Орехово-Зуево
"; 9 апреля;  ; 2.5 л; 163 л.с.; автомат; дизель; ДТ; полный;; Япония; 4; 5; 5295; 1860; 1780; 3095; ; 2025; автомат; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
7; Isuzu Trooper II  ; 2000 ; 382 000 ; 141 000 ;" Москва
"; 12 апреля; 4,5; 3.5 л; 215 л.с.; автомат; бензин; АИ-95; полный; 9.6 с; Япония; 5; 5; 4795; 1835; 1840; 2760; 1190/2746;; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180; 9.6; АИ-95; переднее, продольное; 3494; нет; 215 / 158 при 5400; 312 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.1; 93.4 × 85
8; Isuzu D-Max II  ; 2017 ; 2 200 000 ; 3 000 ;" Сысерть
"; 18 ноября 2017;  ; 2.5 л; 163 л.с.; механика; дизель; ДТ; полный;; Япония; 2; 4; 5295; 1860; 1780; 3095; ; 2020; механика; 6; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 180;; ДТ; переднее, продольное; 2499; турбонаддув; 163 / 120 при 3600; 400 при 1400 – 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 95.4 × 87.4
9; Isuzu Axiom  ; 2002 ; 450 000 ; 220 000 ;" Жигулёвск
"; 16 апреля; 4,6; 3.5 л; 233 л.с.; автомат; бензин; АИ-95; задний;; Япония; 5; 5; 4638; 1796; 1707; 2702; 997/2418; 1820; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, продольное; 3494; нет; 233 / 171 при 5400; 312 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.1; 93.4 × 85
