;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Jaguar XF II  ; 2016 ; 2 500 312 ; Нов;" Москва
"; 15 января;  ; 2.0 л; 180 л.с.; автомат; дизель; ДТ; задний; 8.1 с; Великобритания; 4; 5; 4954; 1880; 1457; 2960; 505; 1595; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 229; 8.1; ДТ; переднее, продольное; 1999; турбонаддув; 180 / 132 при 4000; 430 при 1750 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 83 × 92.35
2; Jaguar XE  ; 2017 ; 2 678 300 ; Нов;" Нефтекамск
"; 23 апреля; 4,1; 2.0 л; 200 л.с.; автомат; бензин; АИ-95; задний; 7.7 с; Великобритания; 4; 5; 4672; 1850; 1416; 2835; 450; 1515; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 7.7; АИ-95; переднее, продольное; 1999; турбонаддув; 200 / 147 при 5500; 320 при 1750 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
3; Jaguar XJ IV (X351) Рестайлинг  ; 2018 ; 5 829 000 ; Нов;" Владимир
"; 20 апреля;  ; 3.0 л; 300 л.с.; автомат; дизель; ДТ; задний; 6.2 с; Великобритания; 4; 5; 5130; 1899; 1460; 3032; 520; 1835; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 6.2; ДТ; переднее, продольное; 2993; турбонаддув; 300 / 221 при 4000; 700 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
4; Jaguar S-Type I Рестайлинг  ; 2005 ; 490 000 ; 170 000 ;" Москва
"; 3 октября 2017; 3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Jaguar XF I Рестайлинг  ; 2014 ; 1 350 000 ; 60 000 ;" Санкт-Петербург
"; 17 января; 4,5; 3.0 л; 340 л.с.; автомат; бензин; АИ-95; полный; 6.4 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1870; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.4; АИ-95; переднее, продольное; 2995; компрессор; 340 / 250 при 6500; 450 при 3500 – 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 84.5 × 89
6; Jaguar XJ III (X350/X358)  ; 2004 ; 700 000 ; 205 000 ;" Москва
"; 28 января; 4,7; 4.2 л; 298 л.с.; автомат; бензин; АИ-98; задний; 6.6 с; Великобритания; 4; 4, 5; 5091; 1898; 1462; 3032; 470; 1615; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.6; АИ-98; переднее, продольное; 4196; нет; 298 / 219 при 6000; 411 при 4100; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 86 × 90.3
7; Jaguar XF I Рестайлинг  ; 2013 ; 1 459 000 ; 74 250 ;" Санкт-Петербург
"; 23 апреля; 4,5; 3.0 л; 340 л.с.; автомат; бензин; АИ-95; полный; 6.4 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1870; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.4; АИ-95; переднее, продольное; 2995; компрессор; 340 / 250 при 6500; 450 при 3500 – 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 84.5 × 89
8; Jaguar XK II  ; 2006 ; 1 699 000 ; 32 150 ;" Москва
"; 23 апреля;  ; 4.2 л; 298 л.с.; автомат; бензин; АИ-98; задний; 6.2 с; Великобритания; 2; 4; 4791; 1892; 1322; 2752; 330; 1595; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 250; 6.2; АИ-98; переднее, продольное; 4196; нет; 298 / 219 при 6000; 411 при 4100; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 86 × 90.3
9; Jaguar XF I Рестайлинг  ; 2013 ; 1 120 000 ; 111 384 ;" Санкт-Петербург
"; 23 апреля; 4,5; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1660; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 241; 7.9; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
10; Jaguar XJ III (X350/X358) Long  ; 2007 ; 1 290 000 ; 170 000 ;" Санкт-Петербург
"; 6 августа 2017; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Jaguar XF I Рестайлинг  ; 2014 ; 1 690 000 ; 50 900 ;" Москва
"; 23 апреля; 4,5; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1660; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 241; 7.9; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
12; Jaguar XKR I  ; 2003 ; 1 590 000 ; 72 000 ;" Москва
"; 13 сентября 2017;  ; 4.2 л; 395 л.с.; автомат; бензин; АИ-95; задний; 5.6 с; Великобритания; 2; 4; 4760; 1829; 1306; 2588; 307; 1815; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 5.6; АИ-95; переднее, продольное; 4196; компрессор; 395 / 291 при 6100; 541 при 3500; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.1; 86 × 90.3
13; Jaguar XJ III (X350/X358) Long  ; 2006 ; 1 300 000 ; 104 000 ;" Москва
"; 16 апреля 2017; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14; Jaguar F-Pace  ; 2017 ; 3 390 777 ; 16 ;" Санкт-Петербург
"; 23 апреля;  ; 2.0 л; 250 л.с.; автомат; бензин; АИ-95; полный; 6.8 с; Великобритания; 5; 5; 4731; 1936; 1652; 2874; 650; 1760; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 217; 6.8; АИ-95; переднее, продольное; 1997; турбонаддув; 250 / 184 при 5500; 365 при 1200 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 83 × 92.4
15; Jaguar XF I Рестайлинг  ; 2014 ; 1 250 000 ; 92 000 ;" Москва
"; 26 марта; 4,5; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1660; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 241; 7.9; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
16; Jaguar XJ IV (X351) Long  ; 2014 ; 1 715 000 ; 87 153 ;" Москва
"; 23 апреля; 4,3; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.5 с; Великобритания; 4; 5; 5252; 1950; 1457; 3157; 520; 1660; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 241; 7.5; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10.1; 87.5 × 83.1
17; Jaguar XF I Рестайлинг  ; 2011 ;1 100 000 ; 97 000 ;" Санкт-Петербург
"; 23 апреля; 4,5; 3.0 л; 275 л.с.; автомат; дизель; ДТ; задний; 6.4 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1770; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.4; ДТ; переднее, продольное; 2993; турбонаддув; 275 / 202 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 90
18; Jaguar XF I Рестайлинг  ; 2012 ; 1 048 000 ; 84 407 ;" Рязань
"; 23 апреля; 4,5; 3.0 л; 238 л.с.; автомат; бензин; АИ-95; задний; 8.3 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1690; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 237; 8.3; АИ-95; переднее, продольное; 2967; нет; 238 / 175 при 6800; 293 при 4100; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 89 × 79.5
19; Jaguar X-Type  ; 2005 ; 295 900 ; 224 000 ;" Москва
"; 23 апреля; 4,5; 2.1 л; 156 л.с.; механика; бензин; АИ-95; передний; 9.4 с; Великобритания; 4; 4, 5; 4672; 1789; 1430; 2710; 452; 1450; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 9.4; АИ-95; переднее, поперечное; 2099; нет; 156 / 115 при 6800; 196 при 4100; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.8; 81.65 × 66.8
20; Jaguar XF I Рестайлинг  ; 2013 ; 1 170 000 ; 46 000 ;" Санкт-Петербург
"; 23 апреля; 4,5; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; задний; 7.9 с; Великобритания; 4; 5; 4961; 1877; 1460; 2909; 500; 1660; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 241; 7.9; АИ-95; переднее, продольное; 1999; турбонаддув; 240 / 177 при 5500; 340 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 87.5 × 83.1
