;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; LADA (ВАЗ) 2105  ; 2010 ;140 000 ; 16 500 ;" Орёл
"; 4 марта; 2,6; 1.6 л; 73 л.с.; механика; бензин; АИ-95; задний; 17 с; Россия; 4; 5; 4130; 1620; 1446; 2424; 385; 976; механика; 5; задний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 150; 17; АИ-95; переднее, продольное; 1569; нет; 73 / 53 при 5400; 114 при 3400; рядное; 4; 2; карбюратор; 8.5; 76 × 80
2; LADA (ВАЗ) 2110  ; 2005 ; 50 000 ; 236 000 ;" Долгопрудный
"; 20 апреля; 3,0; 1.6 л; 81 л.с.; механика; бензин; АИ-95; передний; 13.5 с; Россия; 4; 5; 4265; 1680; 1420; 2492; 450; 1015; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 170; 13.5; АИ-95; переднее, поперечное; 1596; нет; 81 / 60 при 5200; 120 при 2700; рядное; 4; 2; распределенный впрыск (многоточечный); 10; 82 × 75.6
3; LADA (ВАЗ) 1111 Ока СеАЗ  ; 2007 ;27 000 ; 77 330 ;" Высокиничи
"; 23 апреля; 2,9; 0.8 л; 33 л.с.; механика; бензин; АИ-95; передний; 24 с; Россия; 3; 4; 3200; 1420; 1400; 2180; 210/630; 675; механика; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 130; 24; АИ-95; переднее, поперечное; 749; нет; 33 / 24 при 5600; 52 при 3200; рядное; 2; 2; карбюратор; 9.9; 82 × 71
4; LADA (ВАЗ) 21099  ; 1994 ; 50 000 ; 94 000 ;" Острогожск
"; 24 апреля; 3,1; 1.5 л; 78 л.с.; механика; бензин; АИ-95; передний; 13 с; Россия; 4; 5; 4205; 1620; 1400; 2460; 400; 970; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 156; 13; АИ-95; переднее, поперечное; 1499; нет; 78 / 57 при 5400; 116 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.9; 82 × 71
5; LADA (ВАЗ) 2121 (4x4)  ; 2012 ; 310 000 ; 14 000 ;" Москва
"; 24 апреля; 3,1; 1.7 л; 83 л.с.; механика; бензин; АИ-95; полный; 19 с; Россия; 3; 5; 3720; 1680; 1640; 2200; 265/585; 1210; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 137; 19; АИ-95; переднее, продольное; 1690; нет; 83 / 60 при 5000; 128 при 4000; рядное; 4; 2; распределенный впрыск (многоточечный); 8.5; 82 × 80
6; LADA (ВАЗ) 2104  ; 2011 ; 194 000 ; 22 200 ;" Москва
"; 24 апреля; 2,3; 1.6 л; 74 л.с.; механика; бензин; АИ-95; задний; 17 с; Россия; 5; 5; 4115; 1620; 1443; 2424; 345/1035; 1020; механика; 5; задний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 145; 17; АИ-95; переднее, продольное; 1568; нет; 74 / 54 при 5300; 116 при 3650; рядное; 4; 2; распределенный впрыск (многоточечный); 8.5; 79 × 80
7; LADA (ВАЗ) 2112  ; 2001 ; 110 000 ; 150 000 ;" Краснодар
"; 24 апреля; 3,1; 1.5 л; 92 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Россия; 5; 5; 4170; 1680; 1420; 2489; 399/730; 1040; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 185; 12.5; АИ-95; переднее, поперечное; 1500; нет; 92 / 68 при 5600; 128 при 3700; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 82 × 71
8; LADA (ВАЗ) Priora I  ; 2012 ; 260 000 ; 76 000 ;" Брянск
"; 24 апреля; 3,6; 1.6 л; 98 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Россия; 5; 5; 4210; 1680; 1420; 2492; 360/705; 1088; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 183; 11.5; АИ-95; переднее, поперечное; 1596; нет; 98 / 72 при 5600; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.3; 82 × 75.6
9; LADA (ВАЗ) Granta  ; 2014 ; 265 000 ; 75 500 ;" Санкт-Петербург
"; 24 апреля; 3,5; 1.6 л; 106 л.с.; механика; бензин; АИ-95; передний; 10.9 с; Россия; 5; 5; 4246; 1700; 1500; 2476; 440/760; 1085; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 179; 10.9; АИ-95; переднее, поперечное; 1596; нет; 106 / 78 при 5800; 148 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 82 × 75.6
