;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Lamborghini Gallardo I Рестайлинг LP560-4  ; 2009 ;6 500 000 ; 28 000 ;" Нижний Тагил
"; 24 марта;  ; 5.2 л; 560 л.с.; робот; бензин; АИ-98; полный; 3.7 с; Италия; 2; 2; 4345; 1900; 1165; 2560; 110; 1410; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.7; АИ-98; центральное; 5204; нет; 560 / 412 при 8000; 540 при 6500; V-образное; 10; 4; непосредственный впрыск (прямой); 12.5; 84.5 × 92.8
2; Lamborghini Huracán  ; 2018 ; 18 987 100 ; 5 ;" Воронежская область
"; 23 апреля;  ; 5.2 л; 640 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1542; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; керамические вентилируемые; 325; 2.9; АИ-98; центральное; 5204; нет; 640 / 470 при 8000; 600 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
3; Lamborghini Huracán  ; 2017 ; 19 008 700 ; Нов;" Верхний Тагил
"; 23 апреля;  ; 5.2 л; 640 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1542; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; керамические вентилируемые; 325; 2.9; АИ-98; центральное; 5204; нет; 640 / 470 при 8000; 600 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
4; Lamborghini Aventador I LP700-4  ; 2016 ; 23 700 000 ; Нов;" Москва
"; 5 апреля;  ; 6.5 л; 700 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4780; 2030; 1136; 2700; ; 1575; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 350; 2.9; АИ-98; центральное; 6498; нет; 700 / 515 при 8250; 690 при 5500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.8; 95 × 76.4
5; Lamborghini Huracán  ; 2018 ; 16 892 700 ; 7 ;" Пятигорск
"; 31 марта;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.2 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1422; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.2; АИ-98; заднее; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
6; Lamborghini LM002  ; 1993 ; 11 500 000 ; 25 000 ;" Орехово-Зуево
"; 18 ноября 2017;  ; 5.2 л; 455 л.с.; механика; бензин; АИ-92; полный; 7.8 с; Италия; 4; 4; 4900; 2000; 1815; 3000; ; 2700; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 201; 7.8; АИ-92;; 5167; нет; 455 / 335 при —; 500 при —; V-образное; 12;; карбюратор;; 
7; Lamborghini Gallardo I  ; 2005 ; 4 999 000 ; 7 000 ;" Москва
"; 18 августа 2017;  ; 5.0 л; 500 л.с.; робот; бензин; АИ-98; полный; 4.2 с; Италия; 2; 2; 4300; 1900; 1165; 2560; 110; 1520; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 309; 4.2; АИ-98; центральное; 4961; нет; 500 / 368 при 7800; 510 при 4500; V-образное; 10; 4; распределенный впрыск (многоточечный); 11; 82.5 × 92.8
8; Lamborghini Gallardo I  ; 2004 ; 4 290 000 ; 27 000 ;" Сысерть
"; 30 июня 2017;  ; 5.0 л; 500 л.с.; робот; бензин; АИ-98; полный; 4.2 с; Италия; 2; 2; 4300; 1900; 1165; 2560; 110; 1520; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 309; 4.2; АИ-98; центральное; 4961; нет; 500 / 368 при 7800; 510 при 4500; V-образное; 10; 4; распределенный впрыск (многоточечный); 11; 82.5 × 92.8
9; Lamborghini Aventador I LP700-4  ; 2013 ; 16 500 000 ; 7 600 ;" Жигулёвск
"; 14 апреля 2017;  ; 6.5 л; 700 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4780; 2030; 1136; 2700; ; 1575; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 350; 2.9; АИ-98; центральное; 6498; нет; 700 / 515 при 8250; 690 при 5500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.8; 95 × 76.4
10; Lamborghini Huracán  ; 2018 ; 17 762 100 ; Нов;" Калуга
"; 30 марта;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.2 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1422; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.2; АИ-98; заднее; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
11; Lamborghini Murcielago I Рестайлинг  ; 2008 ; 10 000 000 ; 8 000 ;" Тольятти
"; 4 октября 2017;  ; 6.5 л; 640 л.с.; робот; бензин; АИ-95; полный; 3.5 с; Италия; 2; 2; 4610; 2058; 1135; 2665; 140;; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 330; 3.5; АИ-95; центральное; 6496; нет; 640 / 471 при 8000; 660 при —; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.2; 88 × 89
12; Lamborghini Gallardo I  ; 2007 ; 4 850 000 ; 33 000 ;" Кохма
"; 16 марта;  ; 5.0 л; 520 л.с.; робот; бензин; АИ-98; полный; 4.3 с; Италия; 2; 2; 4300; 1900; 1184; 2560; ;; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 314; 4.3; АИ-98; центральное; 4961; нет; 520 / 382 при 8000; 510 при 4250; V-образное; 10; 4; распределенный впрыск (многоточечный); 11; 82.5 × 92.8
13; Lamborghini Aventador I Рестайлинг  ; 2018 ; 27 562 900 ; 7 ;" Щелково
"; 12 марта; 4,4; 6.5 л; 740 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4797; 2030; 1136; 2700; 140; 1575; робот; 7; полный; независимая, пружинная; независимая, пружинная; керамические вентилируемые; керамические вентилируемые; 350; 2.9; АИ-98; центральное; 6498; нет; 740 / 544 при 8400; 690 при 5500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.8; 95 × 76.4
14; Lamborghini Huracán  ; 2018 ; 17 875 400 ; Нов;" Санкт-Петербург
"; 9 февраля;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.2 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1422; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.2; АИ-98; заднее; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
15; Lamborghini Huracán  ; 2018 ; 18 117 400 ; Нов;" Череповец
"; 9 февраля;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.2 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1422; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.2; АИ-98; заднее; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
16; Lamborghini Huracán  ; 2018 ; 18 649 900 ; Нов;" Троицк
"; 9 февраля;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.4 с; Италия; 2; 2; 4459; 1924; 1180; 2620; ; 1542; робот; 7; полный; независимая, пружинная; независимая, пружинная; керамические вентилируемые; керамические вентилируемые; 324; 3.4; АИ-98; центральное; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
17; Lamborghini Huracán  ; 2017 ; 16 975 000 ; Нов;" Ува
"; 13 июля 2017;  ; 5.2 л; 610 л.с.; робот; бензин; АИ-98; полный; 3.2 с; Италия; 2; 2; 4459; 1924; 1165; 2620; ; 1422; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3.2; АИ-98; заднее; 5204; нет; 610 / 449 при 8250; 560 при 6500; V-образное; 10; 4; комбинированный впрыск (непосредственно-распределенный); 12.7; 84.5 × 92.8
18; Lamborghini Gallardo I  ; 2006 ; 4 190 000 ; 24 500 ;" Новомосковск
"; 16 марта;  ; 5.0 л; 520 л.с.; робот; бензин; АИ-98; полный; 3.9 с; Италия; 2; 2; 4300; 1900; 1165; 2560; 110; 1505; робот; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 315; 3.9; АИ-98; центральное; 4961; нет; 520 / 382 при 8000; 510 при 4250; V-образное; 10; 4; распределенный впрыск (многоточечный); 11; 82.5 × 92.8
19; Lamborghini Aventador I LP700-4  ; 2013 ; 14 900 000 ; 11 200 ;" Гай
"; 25 февраля;  ; 6.5 л; 700 л.с.; робот; бензин; АИ-98; полный; 2.9 с; Италия; 2; 2; 4780; 2030; 1136; 2700; ; 1575; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 350; 2.9; АИ-98; центральное; 6498; нет; 700 / 515 при 8250; 690 при 5500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.8; 95 × 76.4
