;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Lexus ES VI 250  ; 2013 ;1 400 000 ; 77 000 ;" Москва
"; 23 декабря 2017; 4,9; 2.5 л; 184 л.с.; автомат; бензин; АИ-95; передний; 9.8 с; Япония; 4; 5; 4900; 1820; 1450; 2820; 490; 1650; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 9.8; АИ-95; переднее, поперечное; 2494; нет; 184 / 135 при 6000; 235 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90 × 98
2; Lexus RX III Рестайлинг 350  ; 2014 ; 2 100 000 ; 89 700 ;" Нефтекамск
"; 5 декабря 2017; 4,9; 3.5 л; 277 л.с.; автомат; бензин; АИ-95; полный; 8 с; Япония; 5; 5; 4770; 1885; 1725; 2740; 446; 2050; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 200; 8; АИ-95; переднее, поперечное; 3456; нет; 277 / 204 при 6200; 346 при 4700; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.8; 94 × 83
3; Lexus RX II 300  ; 2004 ;645 000 ; 171 000 ;" Владимир
"; 11 апреля; 4,4; 3.0 л; 204 л.с.; автомат; бензин; АИ-95; полный; 9 с; Япония; 5; 5; 4740; 1845; 1675; 2720; 490/2130; 1880; автомат; 5; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 200; 9; АИ-95; переднее, поперечное; 2995; нет; 204 / 150 при 5600; 283 при 4500; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 87.5 × 83
4; Lexus RX III Рестайлинг 350  ; 2012 ; 1 511 100 ; 52 172 ;" Москва
"; 24 апреля; 4,9; 3.5 л; 277 л.с.; автомат; бензин; АИ-95; полный; 8 с; Япония; 5; 5; 4770; 1885; 1725; 2740; 446; 2050; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 200; 8; АИ-95; переднее, поперечное; 3456; нет; 277 / 204 при 6200; 346 при 4700; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.8; 94 × 83
5; Lexus RX II Рестайлинг 350  ; 2006 ; 1 049 000 ; 116 378 ;" Санкт-Петербург
"; 3 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Lexus IS II 250  ; 2006 ; 599 000 ; 179 000 ;" Москва
"; 31 марта;  ; 2.5 л; 208 л.с.; автомат; бензин; АИ-95; задний; 8.4 с; Япония; 4; 5; 4575; 1800; 1425; 2730; 378; 1570; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 8.4; АИ-95; переднее, продольное; 2499; нет; 208 / 153 при 6400; 252 при 4800; V-образное; 6; 4; непосредственный впрыск (прямой); 12; 83 × 77
7; Lexus RX III 350  ; 2009 ; 1 250 000 ; 84 617 ;" Санкт-Петербург
"; 9 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Lexus RX III Рестайлинг 350  ; 2013 ; 2 350 000 ; 24 900 ;" Москва
"; 13 декабря 2017; 4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Lexus ES VI Рестайлинг 350  ; 2015 ; 2 200 000 ; 41 000 ;" Санкт-Петербург
"; 23 апреля;  ; 3.5 л; 249 л.с.; автомат; бензин; АИ-95; передний; 7.5 с; Япония; 4; 5; 4915; 1820; 1450; 2820; 490; 1640; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 7.5; АИ-95; переднее, поперечное; 3456; нет; 249 / 183 при 6200; 346 при 4700; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.8; 94 × 83
