;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Luxgen Luxgen7 SUV  ; 2015 ; 799 000 ; 43 000 ;" Нижний Тагил
"; 4 февраля; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; передний; 10 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2198; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
2; Luxgen Luxgen7 SUV  ; 2014 ; 678 000 ; 44 000 ;" Воронежская область
"; 22 апреля; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; передний; 10 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2198; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
3; Luxgen Luxgen7 MPV  ; 2015 ; 750 000 ; 30 264 ;" Верхний Тагил
"; 12 апреля;  ; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; передний;; Тайвань; 5; 7; 4845; 1876; 1768; 2910; ;; автомат; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые;;; АИ-95;; 2198; турбонаддув; 175 / 129 при 5200; 274 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Luxgen U7 Turbo  ; 2014 ; 670 000 ; 26 000 ;" Москва
"; 10 апреля;  ; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; полный;; Тайвань; 5; 5; 4820; 1932; 1715; 2910; ;; автомат; 5; полный; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95;; 2198; турбонаддув; 175 / 129 при 5200; 274 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Luxgen Luxgen7 SUV  ; 2014 ; 750 000 ; 94 856 ;" Пятигорск
"; 28 марта; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; полный; 10.3 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; полный; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-95; переднее, поперечное; 2193; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
6; Luxgen Luxgen7 SUV  ; 2015 ; 850 000 ; 34 000 ;" Орехово-Зуево
"; 24 марта; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; передний; 10 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2198; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
7; Luxgen Luxgen7 SUV  ; 2014 ; 890 000 ; 45 000 ;" Москва
"; 9 марта; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; полный; 10.3 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; полный; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-95; переднее, поперечное; 2193; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
8; Luxgen Luxgen7 SUV  ; 2013 ; 850 000 ; 43 000 ;" Сысерть
"; 10 февраля; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; полный; 10.3 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; полный; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-95; переднее, поперечное; 2193; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
9; Luxgen Luxgen7 SUV  ; 2014 ; 670 000 ; 76 000 ;" Жигулёвск
"; 11 апреля; 5,0; 2.2 л; 175 л.с.; автомат; бензин; АИ-95; полный; 10.3 с; Тайвань; 5; 5; 4800; 1930; 1720; 2910; 1204; 1600; автомат; 5; полный; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-95; переднее, поперечное; 2193; турбонаддув; 175 / 129 при 5200; 275 при 2500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
