;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Maybach 62 I  ; 2007 ; 4 800 000 ; 90 000 ;" Москва
"; 8 сентября 2017;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.4 с; Германия; 4; 4; 6165; 1980; 1573; 3827; 605; 2785; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.4; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
2; Maybach 57 I  ; 2003 ; 2 950 000 ; 75 000 ;" Реутов
"; 10 апреля;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.2; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
3; Maybach 57 I S  ; 2006 ; 5 200 000 ; 46 340 ;" Одинцово
"; 16 апреля;  ; 6.0 л; 612 л.с.; автомат; бензин; АИ-95; задний; 5 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 275; 5; АИ-95; переднее, продольное; 5980; турбонаддув; 612 / 456 при 4800 – 5100; 1000 при 2000 – 4000; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82.6 × 93
4; Maybach 57 I  ; 2005 ; 4 000 000 ; 72 000 ;" Москва
"; 12 апреля;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.2; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
5; Maybach 62 I  ; 2005 ; 2 990 000 ; 90 500 ;" Москва
"; 5 апреля;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.4 с; Германия; 4; 4; 6165; 1980; 1573; 3827; 605; 2785; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.4; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
6; Maybach 62 I  ; 2005 ; 4 000 000 ; 101 000 ;" Москва
"; 14 апреля;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.4 с; Германия; 4; 4; 6165; 1980; 1573; 3827; 605; 2785; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.4; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
7; Maybach 57 I  ; 2004 ; 2 349 000 ; 125 000 ;" Москва
"; 20 марта;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.2; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
8; Maybach 57 I  ; 2006 ; 5 250 000 ; 91 000 ;" Москва
"; 25 января;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.2; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
9; Maybach 57 I  ; 2003 ; 2 450 000 ; 65 000 ;" Санкт-Петербург
"; 10 апреля;  ; 5.5 л; 550 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Германия; 4; 4; 5728; 1980; 1572; 3390; 605; 2665; автомат; 5; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 5.2; АИ-98; переднее, продольное; 5513; турбонаддув; 550 / 405 при 5250; 900 при 2300; V-образное; 12; 3; распределенный впрыск (многоточечный); 9; 82 × 87
