;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Mazda CX-5 II  ; 2018 ; 1 663 000 ; Нов;" Москва
"; 4 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 9.9 с; Япония; 5; 5; 4550; 1840; 1690; 2700; ; 1525; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 189; 9.9; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
2; Mazda 6 II (GH)  ; 2008 ;550 000 ; 139 000 ;" Нефтекамск
"; 18 апреля; 4,4; 1.8 л; 120 л.с.; механика; бензин; АИ-95; передний; 11.3 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 501; 1355; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 11.3; АИ-95; переднее, поперечное; 1798; нет; 120 / 88 при 5500; 165 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 83 × 83.1
3; Mazda Xedos 9 I  ; 1996 ;185 000 ; 396 000 ;" Владимир
"; 21 апреля;  ; 2.5 л; 167 л.с.; автомат; бензин; АИ-95; передний; 10.7 с; Япония; 4; 5; 4825; 1770; 1390; 2750; 430; 1415; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 202; 10.7; АИ-95; переднее, поперечное; 2497; нет; 167 / 123 при 6000; 212 при 4900; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.2; 84.5 × 74.2
4; Mazda 6 III  ; 2014 ; 860 000 ; 100 000 ;" Москва
"; 20 апреля; 4,5; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4870; 1840; 1450; 2830; 483; 1330; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 10.5; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
5; Mazda 3 I (BK)  ; 2006 ; 322 800 ; 279 418 ;" Санкт-Петербург
"; 24 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.4 с; Япония; 4; 5; 4490; 1755; 1465; 2640; 413/675; 1195; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.4; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 6000; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83.6
6; Mazda 6 I (GG) Рестайлинг  ; 2006 ;310 000 ; 183 494 ;" Москва
"; 10 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Mazda 3 I (BK) Рестайлинг  ; 2008 ;390 000 ; 82 616 ;" Санкт-Петербург
"; 28 марта; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Mazda 6 II (GH) Рестайлинг  ; 2011 ; 779 200 ; 24 930 ;" Москва
"; 24 апреля; 4,8; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; передний; 10.9 с; Япония; 4; 5; 4755; 1795; 1440; 2725; 519; 1355; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.9; АИ-95; переднее, поперечное; 1999; нет; 147 / 108 при 6500; 184 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87.5 × 83.1
9; Mazda Demio III (DE)  ; 2007 ; 347 000 ; 110 000 ;" Санкт-Петербург
"; 23 апреля;  ; 1.4 л; 91 л.с.; автомат; бензин; АИ-95; полный;; Япония; 5; 5; 3885; 1695; 1475; 2490; ; 1070; автомат; 4; полный; независимая, пружинная;; дисковые вентилируемые;;;; АИ-95; центральное; 1348; нет; 91 / 67 при 6000; 124 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 74 × 78
10; Mazda 3 III  ; 2013 ;690 900 ; 135 246 ;" Санкт-Петербург
"; 29 марта; 4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Mazda CX-7 I  ; 2008 ; 650 000 ; 87 000 ;" Москва
"; 24 апреля; 4,6; 2.3 л; 238 л.с.; автомат; бензин; АИ-95; полный; 8.3 с; Япония; 5; 5; 4680; 1870; 1645; 2750; 455/774; 1831; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 8.3; АИ-95; переднее, поперечное; 2260; турбонаддув; 238 / 175 при 5000; 350 при 2500; рядное; 4; 4; непосредственный впрыск (прямой); 9.5; 87.5 × 94
12; Mazda 6 III Рестайлинг  ; 2015 ; 1 030 000 ; 27 000 ;" Москва
"; 24 апреля; 4,6; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4870; 1840; 1450; 2830; 438; 1370; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 207; 10.5; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 210 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 14; 83.5 × 91.2
