;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Mitsubishi Outlander III Рестайлинг 2  ; 2018 ; 1 312 550 ; Нов;" Москва
"; 22 апреля; 4,5; 2.0 л; 146 л.с.; вариатор; бензин; АИ-92; передний; 11.1 с; Япония; 5; 5; 4695; 1800; 1680; 2670; 477/1754; 1425; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 193; 11.1; АИ-92; переднее, поперечное; 1998; нет; 146 / 107 при 6000; 196 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 86 × 86
2; Mitsubishi Outlander II Рестайлинг  ; 2010 ; 770 000 ; 145 000 ;" Нефтекамск
"; 12 апреля; 4,5; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 10.8 с; Япония; 5; 5; 4665; 1800; 1680; 2670; 541/1691; 1598; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.8; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 232 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 87.6 × 82.9
3; Mitsubishi ASX I Рестайлинг 2  ; 2017 ; 1 154 990 ; Нов;" Владимир
"; 23 апреля;  ; 1.6 л; 117 л.с.; механика; бензин; АИ-95; передний; 11.4 с; Япония; 5; 5; 4295; 1770; 1615; 2670; 384; 1300; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 183; 11.4; АИ-95; переднее, поперечное; 1590; нет; 117 / 86 при 6100; 154 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 75 × 90
4; Mitsubishi Lancer IX Рестайлинг  ; 2006 ; 225 000 ; 162 000 ;" Москва
"; 9 марта; 4,6; 1.6 л; 98 л.с.; автомат; бензин; АИ-95; передний; 13.6 с; Япония; 4; 5; 4535; 1715; 1445; 2600; 430; 1205; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 176; 13.6; АИ-95; переднее, поперечное; 1584; нет; 98 / 72 при 5000; 150 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 87.3
5; Mitsubishi Pajero IV  ; 2007 ;830 000 ; 190 000 ;" Санкт-Петербург
"; 8 апреля; 4,4; 3.8 л; 250 л.с.; автомат; бензин; АИ-95; полный; 10.8 с; Япония; 5; 5, 7; 4900; 1875; 1900; 2780; 663/1790; 2220; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 200; 10.8; АИ-95; переднее, продольное; 3828; нет; 250 / 184 при 6000; 329 при 2750; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.8; 95 × 90
6; Mitsubishi Lancer IX  ; 2005 ; 310 000 ; 13 000 ;" Москва
"; 27 декабря 2017; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Mitsubishi Lancer IX Рестайлинг  ; 2005 ; 270 000 ; 210 000 ;" Санкт-Петербург
"; 24 апреля; 4,6; 1.6 л; 98 л.с.; механика; бензин; АИ-95; передний; 11.8 с; Япония; 4; 5; 4535; 1715; 1445; 2600; 430; 1185; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 183; 11.8; АИ-95;; 1584; нет; 98 / 72 при 5000; 150 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 87.3
8; Mitsubishi ASX I  ; 2010 ; 579 000 ; 110 000 ;" Москва
"; 24 апреля; 4,1; 1.8 л; 140 л.с.; вариатор; бензин; АИ-95; передний; 13.1 с; Япония; 5; 5; 4295; 1770; 1625; 2670; 415; 1390; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 13.1; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6000; 177 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 74
9; Mitsubishi Pajero IV  ; 2010 ; 1 350 000 ; 115 951 ;" Санкт-Петербург
"; 28 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Mitsubishi ASX I  ; 2012 ; 699 000 ; 80 000 ;" Санкт-Петербург
"; 24 апреля; 4,1; 1.8 л; 140 л.с.; вариатор; бензин; АИ-95; передний; 13.1 с; Япония; 5; 5; 4295; 1770; 1625; 2670; 415; 1390; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 13.1; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6000; 177 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 74
11; Mitsubishi Outlander II  ; 2008 ; 710 000 ; 126 000 ;" Москва
"; 16 декабря 2017; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Mitsubishi Outlander III  ; 2012 ; 1 050 000 ; 88 000 ;" Москва
"; 24 апреля; 4,0; 2.0 л; 146 л.с.; вариатор; бензин; АИ-92; полный; 12 с; Япония; 5; 5; 4655; 1800; 1680; 2670; 477/1754; 1480; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 12; АИ-92; переднее, поперечное; 1998; нет; 146 / 107 при 6000; 196 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 86
13; Mitsubishi Outlander III  ; 2013 ; 860 000 ; 5 954 ;" Москва
"; 10 апреля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14; Mitsubishi Lancer X Рестайлинг  ; 2012 ; 525 000 ; 80 076 ;" Санкт-Петербург
"; 2 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15; Mitsubishi L200 IV Рестайлинг  ; 2014 ; 1 365 000 ; 60 720 ;" Москва
"; 27 марта;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16; Mitsubishi ASX I  ; 2013 ; 763 500 ; 52 300 ;" Москва
"; 24 апреля; 4,1; 1.8 л; 140 л.с.; вариатор; бензин; АИ-95; передний; 13.1 с; Япония; 5; 5; 4295; 1770; 1625; 2670; 415; 1390; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 186; 13.1; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6000; 177 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 74
17; Mitsubishi Lancer X Рестайлинг  ; 2011 ;395 000 ; 94 083 ;" Санкт-Петербург
"; 4 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Mitsubishi Pajero Sport II Рестайлинг  ; 2013 ; 1 535 000 ; 46 800 ;" Рязань
"; 24 апреля; 4,2; 3.0 л; 222 л.с.; автомат; бензин; АИ-95; полный; 11.3 с; Япония; 5; 5; 4695; 1815; 1800; 2800; 714/1813; 1950; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 179; 11.3; АИ-95; переднее, поперечное; 2998; нет; 222 / 163 при 6250; 281 при 4000; рядное; 6; 4; распределенный впрыск (многоточечный);; 
