;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Peugeot 308 I Рестайлинг  ; 2012 ;800 000 ; 46 000 ;" Москва
"; 19 апреля; 4,6; 1.6 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.2 с; Франция; 2; 4; 4440; 1818; 1433; 2606; 226/781; 1436; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.2; АИ-95; переднее, поперечное; 1598; турбонаддув; 150 / 110 при 6000; 240 при 1400; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 77 × 85.8
2; Peugeot 308 I Рестайлинг  ; 2012 ;445 000 ; 79 000 ;" Нефтекамск
"; 21 апреля; 4,6; 1.6 л; 120 л.с.; автомат; бензин; АИ-95; передний; 13 с; Франция; 5; 5; 4276; 1815; 1498; 2608; 348/1201; 1312; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 188; 13; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6000; 160 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 77 × 85.8
3; Peugeot 106 I Рестайлинг  ; 1998 ;45 000 ; 270 000 ;" Владимир
"; 22 апреля; 3,3; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Франция; 3; 5; 3678; 1594; 1376; 2385; 215/953; 820; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 175; 10.7; АИ-95; переднее, поперечное; 1361; нет; 75 / 55 при 5800; 111 при 3400; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 75 × 77
4; Peugeot 308 I Рестайлинг  ; 2012 ; 440 000 ; 63 000 ;" Москва
"; 3 марта; 4,6; 1.6 л; 120 л.с.; автомат; бензин; АИ-95; передний; 13 с; Франция; 5; 5; 4276; 1815; 1498; 2608; 348/1201; 1312; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 188; 13; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6000; 160 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 77 × 85.8
5; Peugeot 4008  ; 2012 ; 650 000 ; 85 000 ;" Санкт-Петербург
"; 31 июля 2017; 4,2; 2.0 л; 150 л.с.; механика; бензин; АИ-95; полный; 9.9 с; Франция; 5; 5; 4340; 1768; 1632; 2670; 416/1540; 1440; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 198; 9.9; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6000; 197 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Peugeot Partner II Рестайлинг  ; 2013 ;555 000 ; 44 046 ;" Москва
"; 23 апреля; 3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Peugeot Partner I Рестайлинг  ; 2011 ; 250 000 ; 256 972 ;" Санкт-Петербург
"; 19 февраля;  ; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 17.5 с; Франция; 5; 5; 4146; 1719; 1810; 2693; 625/2800; 1190; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 150; 17.5; АИ-95; переднее, поперечное; 1361; нет; 75 / 55 при 5500; 120 при 3400; рядное; 4; 2; распределенный впрыск (многоточечный); 10.2; 75 × 77
8; Peugeot 607 I  ; 2001 ; 250 000 ; 250 000 ;" Москва
"; 24 апреля; 4,8; 2.2 л; 158 л.с.; автомат; бензин; АИ-95; передний;; Франция; 4; 5; 4871; 1835; 1460; 2800; 481;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95;; 2231; нет; 158 / 116 при 5650; 217 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 86 × 96
9; Peugeot 207 I RC  ; 2009 ;400 000 ; 130 000 ;" Санкт-Петербург
"; 16 апреля; 4,4; 1.6 л; 175 л.с.; механика; бензин; АИ-95; передний; 7.1 с; Франция; 3; 5; 4030; 1720; 1472; 2540; 270/925; 1250; механика; 5; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 220; 7.1; АИ-95; переднее, поперечное; 1598; турбонаддув; 175 / 128 при 6000; 240 при 1600; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 77 × 85.8
10; Peugeot 308 I  ; 2009 ; 395 000 ; 152 500 ;" Санкт-Петербург
"; 26 декабря 2017; 4,4; 1.6 л; 109 л.с.; автомат; дизель; ДТ; передний; 11.3 с; Франция; 5; 5; 4276; 1815; 1498; 2708; 430/1398; 1387; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.3; ДТ; переднее, поперечное; 1560; турбонаддув; 109 / 80 при 4000; 240 при 1750; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 75 × 88.3
11; Peugeot 207 I Рестайлинг  ; 2010 ;696 000 ; 34 517 ;" Москва
"; 4 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Peugeot 206  ; 2006 ;199 000 ; 84 100 ;" Москва
"; 24 апреля; 4,0; 1.4 л; 75 л.с.; автомат; бензин; АИ-95; передний; 14.8 с; Франция; 5; 5; 3835; 1650; 1430; 2442; 245/1130;; автомат; 4; передний; независимая, пружинная;; дисковые;; 160; 14.8; АИ-95; переднее, поперечное; 1361; нет; 75 / 55 при 5800; 111 при 3400; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 75 × 77
13; Peugeot 308 I Рестайлинг  ; 2011 ; 420 000 ; 112 000 ;" Москва
"; 11 марта; 4,6; 1.6 л; 120 л.с.; автомат; бензин; АИ-95; передний; 13 с; Франция; 5; 5; 4276; 1815; 1498; 2608; 348/1201; 1312; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 188; 13; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6000; 160 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 77 × 85.8
14; Peugeot 207 I Рестайлинг  ; 2009 ;270 000 ; 123 690 ;" Санкт-Петербург
"; 21 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15; Peugeot 4007  ; 2008 ; 660 000 ; 85 000 ;" Москва
"; 26 октября 2017; 4,5; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 10.4 с; Франция; 5; 5, 7; 4640; 1810; 1680; 2670; 184/1686; 1715; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.4; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 232 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
16; Peugeot 301 I  ; 2014 ; 420 000 ; 57 136 ;" Москва
"; 11 января; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17; Peugeot 308 I Рестайлинг  ; 2012 ; 450 000 ; 57 200 ;" Санкт-Петербург
"; 14 декабря 2017; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Peugeot 207 I  ; 2008 ; 255 000 ; 140 000 ;" Рязань
"; 8 октября 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
