;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Plymouth Neon  ; 1999 ; 160 000 ; 198 129 ;" Москва
"; 4 октября 2017;  ; 2.0 л; 132 л.с.; механика; бензин;; передний; 9 с; США; 4; 5; 4430; 1712; 1422; 2667; 371; 1170; механика; 5; передний; независимая, пружинная;; дисковые; барабанные; 190; 9;; переднее, поперечное; 1996; нет; 132 / 98 при 6000; 174 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 87.5 × 83
2; Plymouth Voyager III  ; 1997 ; 125 000 ; 250 000 ;" Реутов
"; 23 апреля;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1600; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
3; Plymouth Voyager II  ; 1992 ; 160 000 ; 350 000 ;" Одинцово
"; 23 апреля;  ; 3.3 л; 165 л.с.; автомат; бензин; АИ-92; передний;; США; 4; 6, 8; 4525; 1830; 1646; 2853; 670; 1616; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 3301; нет; 165 / 121 при 4800; 263 при 3600; V-образное; 6; 2; распределенный впрыск (многоточечный); 8.9; 93 × 81
4; Plymouth Breeze  ; 1999 ; 65 000 ; 190 000 ;" Москва
"; 21 апреля;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 5; 4742; 1822; 1378; 2743; 445; 1325; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 200;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
5; Plymouth Voyager III  ; 1997 ; 275 000 ; 328 000 ;" Москва
"; 19 апреля;  ; 3.0 л; 152 л.с.; автомат; бензин; АИ-92; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1605; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-92; переднее, поперечное; 2972; нет; 152 / 112 при 5200; 239 при 4000; V-образное; 6; 2; распределенный впрыск (многоточечный); 8.9; 91.1 × 76
6; Plymouth Voyager III  ; 1999 ; 100 000 ; 207 200 ;" Москва
"; 17 апреля;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1600; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
7; Plymouth Voyager III  ; 1999 ; 235 000 ; 250 000 ;" Москва
"; 23 марта;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1600; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
8; Plymouth Voyager III  ; 1998 ; 175 000 ; 150 000 ;" Москва
"; 26 февраля;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1600; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
9; Plymouth Voyager III  ; 2000 ; 175 000 ; 220 000 ;" Санкт-Петербург
"; 21 декабря 2017;  ; 2.4 л; 150 л.с.; автомат; бензин; АИ-95; передний;; США; 4; 6, 8; 4730; 1920; 1740; 2880; 450/4140; 1600; автомат; 3; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 175;; АИ-95; переднее, поперечное; 2429; нет; 150 / 110 при 5200; 226 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.4; 87.5 × 101
