;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Rolls-Royce Ghost I  ; 2013 ;8 100 000 ; 30 000 ;" Калуга
"; 31 марта;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 780 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
2; Rolls-Royce Ghost I Рестайлинг (Series II) Extended Wheelbase  ; 2018 ; 29 600 000 ; Нов;" Кострома
"; 20 марта;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 5 с; Великобритания; 4; 5; 5569; 1948; 1550; 3465; 490; 2450; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 5; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 820 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
3; Rolls-Royce Phantom VIII  ; 2018 ; 50 260 000 ; Нов;" Москва
"; 17 ноября 2017; 4,6; 6.8 л; 571 л.с.; автомат; бензин; АИ-98; задний; 5.3 с; Великобритания; 4; 5; 5762; 2018; 1646; 3552; ; 2625; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 5.3; АИ-98; переднее, продольное; 6749; турбонаддув; 571 / 420 при —; 900 при —; V-образное; 12; 4; непосредственный впрыск (прямой);; 
4; Rolls-Royce Wraith  ; 2014 ; 13 500 000 ; 14 710 ;" Химки
"; 23 апреля;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
5; Rolls-Royce Dawn  ; 2016 ; 18 500 000 ; 5 949 ;" Семенов
"; 14 апреля;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-98; задний; 4.9 с; Великобритания; 2; 4; 5285; 1947; 1502; 3112; 244/295; 2560; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-98; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 780 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 
6; Rolls-Royce Ghost I Рестайлинг (Series II)  ; 2016 ; 16 500 000 ; 17 127 ;" Пушкино
"; 14 апреля;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 4.9 с; Великобритания; 4; 5; 5399; 1948; 1550; 3295; 490; 2360; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.9; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 820 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
7; Rolls-Royce Ghost I Extended Wheelbase  ; 2013 ; 9 900 000 ; 36 000 ;" Москва
"; 16 апреля;  ; 6.6 л; 570 л.с.; автомат; бензин; АИ-95; задний; 5 с; Великобритания; 4; 4, 5; 5569; 1948; 1550; 3465; 490; 2420; автомат; 8; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 5; АИ-95; переднее, продольное; 6592; турбонаддув; 570 / 420 при 5250; 780 при 1500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
8; Rolls-Royce Phantom VII  ; 2004 ; 6 549 000 ; 49 900 ;" Москва
"; 10 апреля;  ; 6.8 л; 460 л.с.; автомат; бензин; АИ-98; задний; 5.9 с; Великобритания; 4; 5; 5840; 1990; 1638; 3570; 460; 2480; автомат; 6; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 240; 5.9; АИ-98; переднее, продольное; 6749; нет; 460 / 338 при 5350; 720 при 3500; V-образное; 12; 4; распределенный впрыск (многоточечный); 11; 84.6 × 92
9; Rolls-Royce Wraith  ; 2017 ; 24 500 000 ; Нов;" Москва
"; 18 апреля;  ; 6.6 л; 632 л.с.; автомат; бензин; АИ-95; задний; 4.6 с; Великобритания; 2; 4; 5269; 1947; 1507; 3112; 470; 2360; автомат; 8; задний; независимая, пневмоэлемент;; дисковые вентилируемые; дисковые вентилируемые; 250; 4.6; АИ-95; переднее, продольное; 6592; турбонаддув; 632 / 465 при 5600; 800 при 1500 – 5500; V-образное; 12; 4; непосредственный впрыск (прямой); 10; 89 × 88.3
