;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Scion tC I  ; 2005 ;358 000 ; 150 000 ;" Калуга
"; 21 марта; 4,6; 2.4 л; 161 л.с.; автомат; бензин; АИ-92; передний;; США; 2; 4, 5; 4420; 1755; 1415; 2700; 363; 1317; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2362; нет; 161 / 120 при 5700; 163 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 88.5 × 96
2; Scion xA  ; 2003 ; 285 000 ; 105 000 ;" Кострома
"; 18 апреля; 4,7; 1.5 л; 110 л.с.; автомат; бензин; АИ-95; передний; 9.4 с; США; 5; 5; 3914; 1694; 1529; 2370; 340; 1090; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 9.4; АИ-95; переднее, поперечное; 1496; нет; 110 / 81 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
3; Scion xA  ; 2006 ; 330 000 ; 96 000 ;" Москва
"; 22 апреля; 4,7; 1.5 л; 110 л.с.; автомат; бензин; АИ-95; передний; 9.4 с; США; 5; 5; 3914; 1694; 1529; 2370; 340; 1090; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 9.4; АИ-95; переднее, поперечное; 1496; нет; 110 / 81 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
4; Scion xA  ; 2004 ; 300 000 ; 101 141 ;" Химки
"; 22 января; 4,7; 1.5 л; 110 л.с.; автомат; бензин; АИ-95; передний; 9.4 с; США; 5; 5; 3914; 1694; 1529; 2370; 340; 1090; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 9.4; АИ-95; переднее, поперечное; 1496; нет; 110 / 81 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
5; Scion tC I  ; 2006 ; 494 124 ; 128 900 ;" Семенов
"; 22 апреля; 4,6; 2.4 л; 161 л.с.; механика; бензин; АИ-92; передний;; США; 2; 4, 5; 4420; 1755; 1415; 2700; 363; 1317; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2362; нет; 161 / 120 при 5700; 163 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 88.5 × 96
6; Scion xB I  ; 2003 ; 330 000 ; 240 000 ;" Пушкино
"; 3 апреля; 4,3; 1.5 л; 108 л.с.; механика; бензин; АИ-95; передний; 10.1 с; США; 5; 5; 3945; 1689; 1641; 2500; 600; 1105; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 175; 10.1; АИ-95; переднее, поперечное; 1496; нет; 108 / 80 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
7; Scion xA  ; 2005 ; 320 000 ; 160 000 ;" Москва
"; 8 апреля; 4,7; 1.5 л; 110 л.с.; автомат; бензин; АИ-95; передний; 9.4 с; США; 5; 5; 3914; 1694; 1529; 2370; 340; 1090; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 9.4; АИ-95; переднее, поперечное; 1496; нет; 110 / 81 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
8; Scion xB I  ; 2004 ; 380 000 ; 15 000 ;" Москва
"; 18 апреля; 4,3; 1.5 л; 108 л.с.; автомат; бензин; АИ-95; передний; 10.1 с; США; 5; 5; 3945; 1689; 1641; 2500; 600; 1105; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 175; 10.1; АИ-95; переднее, поперечное; 1496; нет; 108 / 80 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
9; Scion tC I  ; 2005 ; 485 000 ; 65 340 ;" Москва
"; 14 февраля; 4,6; 2.4 л; 161 л.с.; автомат; бензин; АИ-92; передний;; США; 2; 4, 5; 4420; 1755; 1415; 2700; 363; 1317; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2362; нет; 161 / 120 при 5700; 163 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 88.5 × 96
10; Scion xD  ; 2008 ; 420 006 ; 181 000 ;" Москва
"; 5 апреля;  ; 1.8 л; 128 л.с.; автомат; бензин; АИ-95; передний; 8.5 с; США; 5; 5; 3930; 1725; 1524; 2460; 297/1011; 1190; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 193; 8.5; АИ-95; переднее, поперечное; 1798; нет; 128 / 95 при 6000; 169 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 80.5 × 88.3
11; Scion tC I  ; 2006 ; 899 000 ; 180 000 ;" Нижний Новгород
"; 9 октября 2016; 4,6; 2.4 л; 161 л.с.; механика; бензин; АИ-92; передний;; США; 2; 4, 5; 4420; 1755; 1415; 2700; 363; 1317; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2362; нет; 161 / 120 при 5700; 163 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 88.5 × 96
12; Scion xB I  ; 2003 ; 333 000 ; 200 000 ;" Тольятти
"; 26 января; 4,3; 1.5 л; 108 л.с.; автомат; бензин; АИ-95; передний; 10.1 с; США; 5; 5; 3945; 1689; 1641; 2500; 600; 1105; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 175; 10.1; АИ-95; переднее, поперечное; 1496; нет; 108 / 80 при 6000; 142 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.7
13; Scion tC I  ; 2004 ; 550 000 ; 150 000 ;" Челябинск
"; 19 сентября 2017; 4,6; 2.4 л; 161 л.с.; автомат; бензин; АИ-92; передний;; США; 2; 4, 5; 4420; 1755; 1415; 2700; 363; 1317; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2362; нет; 161 / 120 при 5700; 163 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 88.5 × 96
