;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Skoda Superb II  ; 2011 ;600 000 ; 75 600 ;" Москва
"; 24 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2; Skoda Octavia II Рестайлинг  ; 2010 ;450 000 ; 170 000 ;" Москва
"; 12 апреля; 4,3; 1.6 л; 102 л.с.; автомат; бензин; АИ-95; передний; 14.1 с; Чехия; 5; 5; 4569; 1769; 1462; 2578; 560/1420; 1315; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 184; 14.1; АИ-95; переднее, поперечное; 1595; нет; 102 / 75 при 5600; 148 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 81 × 77.4
3; Skoda Octavia III  ; 2017 ;640 000 ; 37 000 ;" Тольятти
"; 30 марта; 4,4; 1.4 л; 150 л.с.; робот; бензин; АИ-95; передний; 8.2 с; Чехия; 5; 5; 4659; 1814; 1461; 2686; 568/1558; 1265; робот; 7; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 219; 8.2; АИ-95; переднее, поперечное; 1395; турбонаддув; 150 / 110 при 5000 – 6000; 250 при 1500 – 3500; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 74.5 × 80
4; Skoda Rapid I  ; 2015 ; 555 000 ; 75 000 ;" Долгопрудный
"; 24 апреля; 4,0; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 11.9 с; Чехия; 5; 5; 4483; 1706; 1461; 2602; 550/1490; 1195; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 192; 11.9; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5600; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
5; Skoda Fabia II Рестайлинг  ; 2011 ; 450 000 ; 116 000 ;" Петрозаводск
"; 24 апреля; 4,3; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; Чехия; 5; 5; 4000; 1642; 1498; 2451; 315/1180; 1135; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 185; 11.5; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5600; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
6; Skoda Rapid I  ; 2014 ; 490 000 ; 160 000 ;" Москва
"; 24 апреля; 4,0; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 11.9 с; Чехия; 5; 5; 4483; 1706; 1461; 2602; 550/1490; 1195; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 192; 11.9; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5600; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
7; Skoda Rapid I  ; 2014 ; 550 000 ; 52 315 ;" Москва
"; 1 апреля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Skoda Rapid I  ; 2015 ;540 000 ; 28 608 ;" Выборг
"; 21 марта; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Skoda Octavia III  ; 2014 ; 810 000 ; 118 000 ;" Москва
"; 24 апреля; 4,4; 1.4 л; 140 л.с.; робот; бензин; АИ-95; передний; 8.6 с; Чехия; 5; 5; 4659; 1814; 1465; 2686; 588/1718; 1282; робот; 7; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 212; 8.6; АИ-95; переднее, поперечное; 1395; турбонаддув; 140 / 103 при 4500 – 6000; 250 при 1500 – 3500; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 74.5 × 80
