;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Smart Fortwo II  ; 2015 ;650 000 ; 15 000 ;" Калуга
"; 5 апреля; 4,2; 1.0 л; 71 л.с.; робот; бензин; АИ-95; задний; 13.7 с; Германия; 3; 2; 2695; 1559; 1565; 1867; 220/340; 750; робот; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 145; 13.7; АИ-95; заднее; 999; нет; 71 / 52 при 5800; 92 при 2800; рядное; 3; 4; распределенный впрыск (многоточечный); 11.4; 72 × 81.8
2; Smart Fortwo II  ; 2013 ;550 000 ; 13 545 ;" Кострома
"; 20 июля 2017; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3; Smart Fortwo III Brabus  ; 2017 ;1 200 000 ; 27 000 ;" Москва
"; 24 апреля; 4,0; 0.9 л; 109 л.с.; робот; бензин; АИ-95; задний; 9.5 с; Германия; 3; 2; 2695; 1663; 1555; 1873; 260/350; 995; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 165; 9.5; АИ-95; заднее; 898; турбонаддув; 109 / 80 при 5750; 170 при 2000; рядное; 3; 4; непосредственный впрыск (прямой); 9.5; 72.2 × 73.1
4; Smart Fortwo II  ; 2007 ; 330 000 ; 140 000 ;" Химки
"; 3 января; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Smart Fortwo II  ; 2010 ; 410 000 ; 75 582 ;" Семенов
"; 5 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Smart Fortwo III  ; 2017 ; 1 180 000 ; 13 ;" Пушкино
"; 24 апреля; 4,0; 0.9 л; 90 л.с.; робот; бензин; АИ-95; задний; 11.3 с; Германия; 3; 2; 2695; 1663; 1555; 1873; 260/350; 940; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 155; 11.3; АИ-95; заднее; 898; турбонаддув; 90 / 66 при 5500; 135 при 2500; рядное; 3; 4; непосредственный впрыск (прямой); 9.5; 72.2 × 73.1
7; Smart Forfour II  ; 2016 ; 800 000 ; 10 795 ;" Москва
"; 23 апреля;  ; 0.9 л; 90 л.с.; робот; бензин; АИ-95; задний; 11.9 с; Германия; 5; 4; 3495; 1665; 1554; 2492; 185/975; 950; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 165; 11.9; АИ-95; заднее; 898; турбонаддув; 90 / 66 при 5500; 135 при 2500; рядное; 3; 4; непосредственный впрыск (прямой); 10.5; 72.2 × 73.1
8; Smart Fortwo III  ; 2015 ; 488 900 ; 83 954 ;" Москва
"; 23 апреля; 4,0; 1.0 л; 71 л.с.; робот; бензин; АИ-95; задний; 15.1 с; Германия; 3; 2; 2695; 1663; 1555; 1873; 260/350; 935; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 151; 15.1; АИ-95; заднее; 999; нет; 71 / 52 при 6000; 91 при 2850; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 72.2 × 81.3
9; Smart Fortwo II  ; 2009 ; 410 000 ; 129 000 ;" Москва
"; 23 апреля; 4,2; 1.0 л; 71 л.с.; робот; бензин; АИ-95; задний; 13.7 с; Германия; 3; 2; 2695; 1559; 1565; 1867; 220/340; 750; робот; 5; задний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 145; 13.7; АИ-95; заднее; 999; нет; 71 / 52 при 5800; 92 при 2800; рядное; 3; 4; распределенный впрыск (многоточечный); 11.4; 72 × 81.8
