;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Subaru Impreza II Рестайлинг 1  ; 2005 ;337 000 ; 138 000 ;" Москва
"; 19 марта;  ; 1.5 л; 100 л.с.; автомат; бензин; АИ-92; передний;; Япония; 5; 5; 4415; 1695; 1465; 2525; 356/1266; 1230; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; АИ-92; переднее, поперечное; 1493; нет; 100 / 74 при 5200; 142 при 4000; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 85 × 65.8
2; Subaru Forester II Рестайлинг  ; 2007 ;475 000 ; 165 400 ;" Москва
"; 9 апреля; 4,2; 2.0 л; 158 л.с.; механика; бензин; АИ-95; полный; 9.7 с; Япония; 5; 5; 4485; 1735; 1590; 2525; 387/1592; 1360; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 197; 9.7; АИ-95; переднее, продольное; 1994; нет; 158 / 116 при 6400; 186 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 11; 92 × 75
3; Subaru Forester II Рестайлинг  ; 2006 ;580 000 ; 290 000 ;" Тольятти
"; 19 марта; 4,2; 2.5 л; 230 л.с.; механика; бензин; АИ-95; полный; 6 с; Япония; 5; 5; 4485; 1735; 1590; 2525; 387/1592; 1455; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 216; 6; АИ-95; переднее, продольное; 2457; турбонаддув; 230 / 169 при 5600; 320 при 3600; оппозитное; 4; 4; распределенный впрыск (многоточечный); 8.2; 99.5 × 79
4; Subaru Outback III Рестайлинг  ; 2007 ; 600 000 ; 401 000 ;" Долгопрудный
"; 12 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Subaru Justy IV  ; 2009 ; 350 000 ; 142 000 ;" Петрозаводск
"; 23 апреля;  ; 1.0 л; 70 л.с.; механика; бензин; АИ-95; передний; 13.9 с; Япония; 5; 5; 3610; 1665; 1540; 2430; 225/630; 890; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 160; 13.9; АИ-95; переднее, поперечное; 998; нет; 70 / 51 при 6000; 94 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Subaru Outback III Рестайлинг  ; 2006 ;485 000 ; 180 000 ;" Москва
"; 17 апреля; 4,5; 2.5 л; 165 л.с.; автомат; бензин; АИ-95; полный; 10.9 с; Япония; 5; 5; 4730; 1770; 1545; 2670; 459/1649; 1550; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 10.9; АИ-95; переднее, продольное; 2457; нет; 165 / 121 при 5600; 225 при 4000; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 99.5 × 79
7; Subaru Impreza WRX STi III  ; 2011 ; 1 200 000 ; 69 000 ;" Москва
"; 1 марта;  ; 2.5 л; 300 л.с.; механика; бензин; АИ-95; полный; 5.2 с; Япония; 4; 5; 4580; 1795; 1470; 2625; 368; 1480; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 255; 5.2; АИ-95; переднее, продольное; 2457; турбонаддув; 300 / 221 при 6000; 407 при 4000; оппозитное; 4; 4; распределенный впрыск (многоточечный); 8.2; 99.5 × 79
8; Subaru Impreza II Рестайлинг 2  ; 2007 ; 360 000 ; 166 000 ;" Выборг
"; 23 апреля; 4,7; 1.5 л; 105 л.с.; автомат; бензин; АИ-95; полный; 13.4 с; Япония; 4; 5; 4465; 1740; 1440; 2525; 401; 1310; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 174; 13.4; АИ-95; переднее, продольное; 1498; нет; 105 / 77 при 6400; 142 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный);; 
9; Subaru Outback II  ; 2002 ; 350 000 ; 200 000 ;" Москва
"; 23 апреля; 4,4; 3.0 л; 209 л.с.; автомат; бензин; АИ-95; полный; 8.9 с; Япония; 5; 5; 4720; 1745; 1580; 2650; 528/1646; 1610; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 8.9; АИ-95; переднее, продольное; 2999; нет; 209 / 153 при 6000; 285 при 6000; оппозитное; 6; 4; распределенный впрыск (многоточечный);; 89.2 × 80
10; Subaru Impreza III  ; 2011 ; 579 000 ; 170 000 ;" Санкт-Петербург
"; 23 апреля; 4,2; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 11.6 с; Япония; 5; 5; 4465; 1695; 1485; 2525; 356/1266; 1360; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 182; 11.6; АИ-95; переднее, продольное; 1994; нет; 150 / 110 при 6400; 196 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.2; 92 × 75
11; Subaru Outback IV  ; 2011 ; 680 000 ; 134 000 ;" Выборг
"; 23 апреля; 4,6; 2.5 л; 167 л.с.; вариатор; бензин; АИ-95; полный; 10.4 с; Япония; 5; 5; 4775; 1820; 1605; 2745; 460/1660; 1533; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 198; 10.4; АИ-95; переднее, продольное; 2457; нет; 167 / 123 при 5600; 229 при 4000; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 99.5 × 79
12; Subaru Outback III Рестайлинг  ; 2006 ; 700 000 ; 242 ;" Санкт-Петербург
"; 23 апреля; 4,5; 3.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.5 с; Япония; 5; 5; 4730; 1770; 1545; 2670; 459/1649; 1575; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 224; 8.5; АИ-95; переднее, продольное; 2999; нет; 245 / 180 при 6600; 297 при 4200; оппозитное; 6; 4; распределенный впрыск (многоточечный); 10.7; 89.2 × 80
13; Subaru Forester II Рестайлинг  ; 2006 ; 465 000 ; 121 036 ;" Всеволожск
"; 23 апреля; 4,2; 2.0 л; 158 л.с.; автомат; бензин; АИ-95; полный; 11.9 с; Япония; 5; 5; 4485; 1735; 1590; 2525; 387/1592; 1405; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 190; 11.9; АИ-95; переднее, продольное; 1994; нет; 158 / 116 при 6400; 186 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 11; 92 × 75
14; Subaru Impreza III  ; 2007 ; 335 000 ; 153 600 ;" Белёв
"; 23 апреля; 4,2; 1.5 л; 107 л.с.; автомат; бензин; АИ-95; полный; 15.1 с; Япония; 5; 5; 4465; 1695; 1485; 2525; 356/1266; 1325; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 167; 15.1; АИ-95; переднее, продольное; 1498; нет; 107 / 79 при 6000; 142 при 3200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.1; 77.7 × 79
15; Subaru Forester IV  ; 2012 ; 749 000 ; 127 000 ;" Курск
"; 23 апреля; 4,5; 2.0 л; 150 л.с.; механика; бензин; АИ-95; полный; 10.6 с; Япония; 5; 5; 4595; 1795; 1735; 2640; 488/1577; 1469; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.6; АИ-95; переднее, продольное; 1995; нет; 150 / 110 при 6200; 198 при 4200; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
16; Subaru Outback III Рестайлинг  ; 2007 ; 539 000 ; 156 869 ;" Домодедово
"; 23 апреля; 4,5; 2.5 л; 173 л.с.; механика; бензин; АИ-95; полный; 9.8 с; Япония; 5; 5; 4730; 1770; 1545; 2670; 459/1649; 1470; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 198; 9.8; АИ-95; переднее, продольное; 2457; нет; 173 / 127 при 6000; 227 при 4400; оппозитное; 4; 4; распределенный впрыск (многоточечный); 10; 99.5 × 79
