;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Tesla Model S I P85  ; 2014 ; 3 960 000 ; 37 000 ;" Екатеринбург
"; 10 апреля;  ; 0.0 л; 422 л.с.; автомат; электро;; задний; 4.2 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2108; автомат;; задний; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 209; 4.2;;;;; 422 / 310 при —; 600 при —;; 0;;;; 
2; Tesla Model S I Рестайлинг 90D  ; 2017 ; 6 499 000 ; 1 800 ;" Тюмень
"; 17 апреля;  ; 0.0 л; 422 л.с.; автомат; электро;; полный; 4.4 с; США; 5; 5; 4970; 1964; 1435; 2960; 891;; автомат;; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 4.4;;;;; 422 / 310 при —; 660 при —;; 0;;;; 
3; Tesla Model X 100D  ; 2018 ; 13 537 129 ; Нов;" Москва
"; 13 апреля;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
4; Tesla Model S I S85  ; 2014 ; 4 000 000 ; 55 000 ;" Москва
"; 14 декабря 2017;  ; 0.0 л; 362 л.с.; автомат; электро;; задний; 5.8 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2108; автомат;; задний; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 201; 5.8;;;;; 362 / 266 при —; 440 при —;; 0;;;; 
5; Tesla Model S I S85  ; 2014 ; 4 300 000 ; 4 800 ;" Краснодар
"; 11 апреля;  ; 0.0 л; 362 л.с.; автомат; электро;; задний; 5.8 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2108; автомат;; задний; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 201; 5.8;;;;; 362 / 266 при —; 440 при —;; 0;;;; 
6; Tesla Model S I P85D  ; 2015 ; 5 500 000 ; 11 320 ;" Москва
"; 26 января;  ; 0.0 л; 700 л.с.; автомат; электро;; полный; 3.2 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2239; автомат;; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 249; 3.2;;;;; 700 / 515 при —; 931 при —;; 0;;;; 
7; Tesla Model S I 60  ; 2013 ; 2 990 000 ; 12 900 ;" Москва
"; 11 декабря 2017;  ; 0.0 л; 302 л.с.; автомат; электро;; задний; 5.9 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2033; автомат;; задний; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 193; 5.9;;;;; 302 / 222 при —; 430 при —;; 0;;;; 
8; Tesla Model X 90D  ; 2017 ; 9 900 000 ; 14 000 ;" Москва
"; 10 апреля;  ; 0.0 л; 518 л.с.; автомат; электро;; полный; 5 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 5;;;;; 518 / 381 при —;;; 0;;;; 
9; Tesla Model X 100D  ; 2017 ; 11 600 000 ; 5 200 ;" Москва
"; 4 марта;  ; 0.0 л; 714 л.с.; автомат; электро;; полный; 4.8 с; США; 5; 7; 5004; 2083; 1626; 3061; ;; автомат;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.8;;;;; 714 / 525 при —;;; 0;;;; 
10; Tesla Model 3 I Long Range  ; 2017 ; 5 950 000 ; 5 238 ;" Москва
"; 19 февраля;  ; 0.0 л; 258 л.с.; автомат; электро;; задний; 5.1 с; США; 4; 5; 4694; 1849; 1443; 2875; 425; 1730; автомат;; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 225; 5.1;;;;; 258 / 190 при —; 430 при —;; 0;;;; 
11; Tesla Model S I 60  ; 2013 ; 2 800 000 ; 110 000 ;" Москва
"; 6 августа 2017;  ; 0.0 л; 302 л.с.; автомат; электро;; задний; 5.9 с; США; 5; 5; 4976; 1963; 1435; 2959; 891; 2033; автомат;; задний; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 193; 5.9;;;;; 302 / 222 при —; 430 при —;; 0;;;; 
