;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Tianye Admiral  ; 2004 ; 325 000 ; 200 000 ;" Екатеринбург
"; 21 апреля;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
2; Tianye Admiral  ; 2005 ; 200 000 ; 172 879 ;" Тюмень
"; 20 апреля;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
3; Tianye Admiral  ; 2005 ; 180 000 ; 155 866 ;" Москва
"; 21 марта;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
4; Tianye Admiral  ; 2004 ; 235 000 ; 91 000 ;" Москва
"; 16 декабря 2017;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
5; Tianye Admiral  ; 2004 ; 285 000 ; 171 000 ;" Краснодар
"; 2 апреля;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
6; Tianye Admiral  ; 2006 ; 400 000 ; 55 000 ;" Москва
"; 18 апреля;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
7; Tianye Admiral  ; 2007 ; 270 000 ; 98 000 ;" Москва
"; 5 февраля;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
8; Tianye Admiral  ; 2006 ; 210 000 ; 87 000 ;" Москва
"; 6 октября 2017;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
9; Tianye Admiral  ; 2005 ; 290 000 ; 150 000 ;" Москва
"; 28 сентября 2017;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
10; Tianye Admiral  ; 2005 ; 240 000 ; 70 000 ;" Москва
"; 11 апреля 2017;  ; 2.2 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 5000; 1800; 1880; 2860; ; 1700; механика; 5; полный; независимая, торсионная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-92; переднее, продольное; 2237; нет; 103 / 76 при 4200; 193 при 2000; рядное; 4;; распределенный впрыск (многоточечный);; 
