;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Toyota Camry VI (XV40) Рестайлинг  ; 2009 ; 639 000 ; 145 000 ;" Москва
"; 29 марта;  ; 2.4 л; 167 л.с.; автомат; бензин; АИ-95; передний; 9.3 с; Япония; 4; 5; 4815; 1820; 1480; 2775; 535; 1540; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.3; АИ-95; переднее, поперечное; 2362; нет; 167 / 123 при 6000; 224 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 88.5 × 96
2; Toyota RAV 4 III (XA30)  ; 2006 ;670 000 ; 107 000 ;" Москва
"; 20 апреля; 4,3; 2.0 л; 152 л.с.; автомат; бензин; АИ-95; полный; 12 с; Япония; 5; 5; 4395; 1815; 1685; 2560; 586/1469; 1505; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12; АИ-95; переднее, поперечное; 1998; нет; 152 / 112 при 6000; 194 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 86 × 86
3; Toyota Camry VII (XV50)  ; 2013 ; 857 000 ; 98 000 ;" Тольятти
"; 12 апреля; 4,4; 2.0 л; 148 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Япония; 4; 5; 4825; 1825; 1480; 2775; 506; 1505; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 12.5; АИ-95; переднее, поперечное; 1998; нет; 148 / 109 при 6000; 190 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 86 × 86
4; Toyota RAV 4 III (XA30)  ; 2007 ; 847 000 ; 124 000 ;" Долгопрудный
"; 24 апреля; 4,3; 2.4 л; 170 л.с.; автомат; бензин; АИ-95; полный; 10.6 с; Япония; 5; 5; 4395; 1815; 1685; 2560; 586/1469; 1590; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 10.6; АИ-95; переднее, поперечное; 2362; нет; 170 / 125 при 6000; 224 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 88.5 × 96
5; Toyota RAV 4 IV (CA40)  ; 2015 ; 1 430 000 ; 29 000 ;" Петрозаводск
"; 24 апреля; 4,3; 2.0 л; 146 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; Япония; 5; 5; 4570; 1845; 1670; 2660; 506/1705; 1645; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.3; АИ-95; переднее, поперечное; 1988; нет; 146 / 107 при 6200; 187 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 80.5 × 97.6
6; Toyota Corolla IX (E120, E130) Рестайлинг  ; 2006 ; 525 000 ; 26 668 ;" Москва
"; 24 апреля; 4,5; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний; 11.8 с; Япония; 4; 5; 4410; 1695; 1470; 2600; 437; 1195; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 11.8; АИ-95; переднее, поперечное; 1598; нет; 110 / 81 при 6000; 150 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 82
7; Toyota Corolla IX (E120, E130)  ; 2004 ; 290 000 ; 373 000 ;" Москва
"; 24 апреля; 4,4; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Япония; 5; 5; 4180; 1710; 1475; 2600; 289/960; 1130; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.2; АИ-95; переднее, поперечное; 1598; нет; 110 / 81 при 6000; 150 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
8; Toyota Land Cruiser Prado 150 Series  ; 2010 ; 1 670 000 ; 127 000 ;" Выборг
"; 4 января; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Toyota Auris I Рестайлинг  ; 2010 ; 420 000 ; 92 038 ;" Москва
"; 10 апреля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
