;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; ZX Grand Tiger  ; 2007 ; 287 000 ; 138 000 ;" Берёзовский
"; 23 апреля; 3,2; 2.4 л; 126 л.с.; механика; бензин; АИ-95; задний;; Китай; 4; 5; 5310; 1812; 1735; 3100; ; 1610; механика; 5; задний; независимая, пружинная;; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
2; ZX Landmark I  ; 2005 ; 285 000 ; 160 000 ;" Новосибирск
"; 20 апреля; 4,3; 2.3 л; 103 л.с.; механика; бензин; АИ-92; полный;; Китай; 4; 5; 4768; 1780; 1830; 2850; ;; механика; 5; полный; независимая, пружинная;; дисковые;; 160;; АИ-92;; 2300; нет; 103 / 76 при —; 193 при 2000; рядное; 4;;;; 
3; ZX Landmark I  ; 2007 ; 389 000 ; 136 000 ;" Симферополь
"; 6 апреля; 4,3; 2.4 л; 126 л.с.; автомат; бензин; АИ-95; задний;; Китай; 4; 5; 4768; 1780; 1830; 2850; ; 1710; автомат; 4; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
4; ZX Grand Tiger  ; 2007 ; 330 000 ; 146 000 ;" Самара
"; 27 сентября 2014; 3,2; 2.4 л; 126 л.с.; механика; бензин; АИ-95; полный;; Китай; 4; 5; 5310; 1812; 1735; 3100; ; 1610; механика; 5; полный; независимая, пружинная;; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
5; ZX Grand Tiger  ; 2007 ; 410 000 ; 46 500 ;" Самарская область
"; 30 марта; 3,2; 2.4 л; 126 л.с.; механика; бензин; АИ-95; полный;; Китай; 4; 5; 5310; 1812; 1735; 3100; ; 1610; механика; 5; полный; независимая, пружинная;; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
6; ZX Landmark I  ; 2007 ; 245 000 ; 302 000 ;" Санкт-Петербург
"; 6 марта; 4,3; 2.4 л; 126 л.с.; механика; бензин; АИ-95; полный;; Китай; 4; 5; 4768; 1780; 1830; 2850; ; 1780; механика; 5; полный; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
7; ZX Landmark I  ; 2007 ; 380 000 ; 145 000 ;" Берёзовский
"; 24 января; 4,3; 2.4 л; 126 л.с.; автомат; бензин; АИ-95; полный;; Китай; 4; 5; 4768; 1780; 1830; 2850; ; 1780; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
8; ZX Landmark I  ; 2007 ; 399 000 ; 90 000 ;" Берёзовский
"; 25 мая 2017; 4,3; 2.4 л; 126 л.с.; автомат; бензин; АИ-95; полный;; Китай; 4; 5; 4768; 1780; 1830; 2850; ; 1780; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
9; ZX Grand Tiger  ; 2007 ;353 347 ; 155 000 ;" Кимовск
"; 22 апреля; 3,2; 2.4 л; 126 л.с.; механика; бензин; АИ-95; полный;; Китай; 4; 5; 5310; 1812; 1735; 3100; ; 1610; механика; 5; полный; независимая, пружинная;; дисковые; барабанные; 140;; АИ-95;; 2351; нет; 126 / 93 при 5200; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86.5 × 100
