;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Zotye T600  ; 2017 ; 896 590 ; Нов;" Берёзовский
"; 3 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
2; Zotye T600  ; 2017 ; 829 990 ; Нов;" Новосибирск
"; 6 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
3; Zotye T600  ; 2017 ; 829 990 ; Нов;" Симферополь
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
4; Zotye T600  ; 2017 ; 896 590 ; Нов;" Самара
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
5; Zotye T600  ; 2017 ; 829 990 ; Нов;" Самарская область
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
6; Zotye Z300  ; 2016 ; 460 000 ; 5 000 ;" Санкт-Петербург
"; 23 апреля;  ; 1.5 л; 112 л.с.; механика; бензин; АИ-95; передний;; Китай; 4; 5; 4565; 1766; 1486; 2700; 457; 1350; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 172;; АИ-95; переднее, поперечное; 1499; нет; 112 / 82 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.8
7; Zotye T600  ; 2017 ; 829 990 ; Нов;" Берёзовский
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
8; Zotye T600  ; 2017 ; 896 590 ; Нов;" Берёзовский
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
9; Zotye T600  ; 2017 ; 896 590 ; Нов;" Кимовск
"; 23 апреля;  ; 1.5 л; 162 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Китай; 5; 5; 4631; 1893; 1694; 2807; 334; 1541; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.8; АИ-95; переднее, поперечное; 1498; турбонаддув; 162 / 119 при 5500; 215 при 2000 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 84.8
