;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; ГАЗ 21 «Волга» 21Р  ; 1966 ; 110 000 ; 5 000 ;" Москва
"; 27 октября 2017; 3,9; 2.5 л; 75 л.с.; механика; бензин; АИ-80; задний;; Россия; 4; 5; 4770; 1885; 1620; 2700; 400; 1460; механика; 3; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 130;; АИ-80; переднее, продольное; 2445; нет; 75 / 55 при 4000; 170 при 2200; рядное; 4; 2; карбюратор; 6.6; 92 × 92
2; ГАЗ 31105 «Волга»  ; 2005 ;65 000 ; 157 000 ;" Москва
"; 9 апреля; 3,9; 2.3 л; 131 л.с.; механика; бензин; АИ-92; задний; 13.5 с; Россия; 4; 5; 4921; 1812; 1422; 2800; 500; 1400; механика; 5; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 173; 13.5; АИ-92; переднее, продольное; 2286; нет; 131 / 96 при 5200; 188 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; ГАЗ 3110 «Волга»  ; 2003 ;50 000 ; 176 000 ;" Тольятти
"; 20 марта; 3,6; 2.3 л; 131 л.с.; механика; бензин; АИ-92; задний; 13.5 с; Россия; 4; 5; 4870; 1800; 1422; 2800; 500; 1400; механика; 5; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 163; 13.5; АИ-92;; 2287; нет; 131 / 96 при 5200; 188 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.3; 92 × 86
4; ГАЗ 24 «Волга» II (2410) 2417  ; 1989 ; 155 000 ; 19 000 ;" Долгопрудный
"; 24 апреля; 3,6; 2.5 л; 100 л.с.; механика; бензин; АИ-76; задний; 20 с; Россия; 4; 5; 4735; 1800; 1490; 2800; 500; 1400; механика; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 150; 20; АИ-76; переднее, продольное; 2445; нет; 100 / 73 при 4500; 182 при 2600; рядное; 4; 2; карбюратор;; 
5; ГАЗ 3110 «Волга»  ; 1999 ; 85 000 ; 125 920 ;" Петрозаводск
"; 23 апреля; 3,6; 2.5 л; 100 л.с.; механика; бензин; АИ-92; задний; 19 с; Россия; 4; 5; 4870; 1800; 1422; 2800; 500; 1400; механика; 5; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 147; 19; АИ-92; переднее, продольное; 2445; нет; 100 / 74 при 4500; 182 при 2400; рядное; 4; 2; карбюратор; 8.2; 92 × 92
6; ГАЗ 31029 «Волга»  ; 1994 ; 40 000 ; 1 000 ;" Москва
"; 24 апреля; 3,4; 2.5 л; 100 л.с.; механика; бензин; АИ-92; задний; 19 с; Россия; 4; 5; 4885; 1800; 1476; 2800; 500; 1400; механика; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 150; 19; АИ-92; переднее, продольное; 2445; нет; 100 / 74 при 4500; 182 при 2600; рядное; 4; 2; карбюратор; 8.2; 92 × 92
7; ГАЗ 3102 «Волга»  ; 1999 ; 85 000 ; 180 000 ;" Москва
"; 24 апреля; 3,6; 2.3 л; 150 л.с.; механика; бензин; АИ-92; задний; 13.5 с; Россия; 4; 5; 4735; 1800; 1490; 2800; 500; 1500; механика; 5; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 175; 13.5; АИ-92; переднее, продольное; 2287; нет; 150 / 110 при 5200; 211 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 92 × 86
8; ГАЗ 3110 «Волга»  ; 2000 ; 55 000 ; 14 000 ;" Выборг
"; 23 апреля; 3,6; 2.5 л; 90 л.с.; механика; бензин; АИ-80; задний; 23 с; Россия; 4; 5; 4870; 1800; 1422; 2800; 500; 1401; механика; 5; задний; независимая, пружинная; зависимая, рессорная; дисковые; барабанные; 135; 23; АИ-80; переднее, продольное; 2445; нет; 90 / 66 при 4500; 172 при 2400; рядное; 4; 2; карбюратор; 6.7; 
9; ГАЗ 31029 «Волга»  ; 1996 ; 60 000 ; 85 000 ;" Москва
"; 23 апреля; 3,4; 2.5 л; 100 л.с.; механика; бензин; АИ-92; задний; 19 с; Россия; 4; 5; 4885; 1800; 1476; 2800; 500; 1400; механика; 4; задний; независимая, пружинная; зависимая, рессорная; барабанные; барабанные; 150; 19; АИ-92; переднее, продольное; 2445; нет; 100 / 74 при 4500; 182 при 2600; рядное; 4; 2; карбюратор; 8.2; 92 × 92
