;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; ЛуАЗ 969 969М  ; 1990 ; 80 000 ; 80 000 ;" Берёзовский
"; 23 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
2; ЛуАЗ 969 969М  ; 1985 ; 54 900 ; 68 000 ;" Новосибирск
"; 13 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
3; ЛуАЗ 969 969М  ; 1989 ; 70 000 ; 30 000 ;" Симферополь
"; 22 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
4; ЛуАЗ 969 969М  ; 1991 ; 70 000 ; 25 324 ;" Самара
"; 15 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
5; ЛуАЗ 969 969М  ; 1991 ; 250 000 ; 26 000 ;" Самарская область
"; 25 марта; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
6; ЛуАЗ 969 969М  ; 1992 ; 70 000 ; 21 500 ;" Санкт-Петербург
"; 30 января; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
7; ЛуАЗ 969 969М  ; 1984 ; 79 000 ; 60 800 ;" Берёзовский
"; 27 марта; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
8; ЛуАЗ 969 969М  ; 1989 ; 110 000 ; 60 000 ;" Берёзовский
"; 21 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
9; ЛуАЗ 969 969М  ; 1989 ; 75 000 ; 35 000 ;" Кимовск
"; 2 апреля; 2,8; 1.2 л; 40 л.с.; механика; бензин;; полный;; Украина; 3; 2; 3430; 1610; 1754; 1800; ; 950; механика; 4; полный; независимая, торсионная; полунезависимая, торсионная; барабанные;; 85;;;; 1197; нет; 40 / 29 при 4100;; V-образное; 4; 2; карбюратор; 7.2; 76 × 66
