;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Acura MDX I  ; 2004 ; 700 000 ; 132 193 ; 21 апреля; 4,3; 3.5 л; 265 л.с.; автомат; бензин; АИ-92; полный; 8.6 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 2065; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 8.6; АИ-92; переднее, поперечное; 3471; нет; 265 / 193 при 5750; 339 при 3500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
2; Acura MDX III  ; 2014 ; 1 949 000 ; 71 426 ; 23 апреля; 4,6; 3.5 л; 290 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; Япония; 5; 7; 4935; 1960; 1730; 2825; 676/1344; 2039; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 220; 6.7; АИ-95; переднее, продольное; 3471; нет; 290 / 213 при 6200; 355 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 11.5; 89 × 93
3; Acura MDX III  ; 2014 ; 2 000 000 ; 69 556 ; 31 марта; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4; Acura MDX II  ; 2008 ; 860 000 ; 135 751 ; 23 апреля; 4,7; 3.7 л; 300 л.с.; автомат; бензин; АИ-92; полный; 7.3 с; Япония; 5; 7; 4844; 1994; 1732; 2751; 425/2365; 2070; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 7.3; АИ-92; переднее, поперечное; 3664; нет; 300 / 221 при 6000; 373 при 5000; V-образное; 6; 4; распределенный впрыск (многоточечный); 11; 90 × 96
5; Acura RDX II  ; 2014 ; 1 540 000 ; 56 000 ; 30 марта; 4,7; 3.5 л; 273 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; Япония; 5; 5; 4685; 1870; 1680; 2685; 404; 1761; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 6.7; АИ-95; переднее, продольное; 3471; нет; 273 / 204 при 6200; 340 при 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 10.5; 89 × 93
6; Acura MDX I  ; 2001 ; 365 000 ; 220 000 ; 23 апреля; 4,3; 3.5 л; 240 л.с.; автомат; бензин; АИ-92; полный; 9 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 1980; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 9; АИ-92;; 3471; нет; 240 / 177 при 5750; 332 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 89 × 93
7; Acura MDX III  ; 2014 ; 2 500 000 ; 49 000 ; 23 апреля; 4,6; 3.5 л; 290 л.с.; автомат; бензин; АИ-95; полный; 6.7 с; Япония; 5; 7; 4935; 1960; 1730; 2825; 676/1344; 2039; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 220; 6.7; АИ-95; переднее, продольное; 3471; нет; 290 / 213 при 6200; 355 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 11.5; 89 × 93
8; Acura RDX I  ; 2008 ; 845 000 ; 145 000 ; 23 апреля; 4,7; 2.3 л; 240 л.с.; автомат; бензин; АИ-95; полный; 7.4 с; Япония; 5; 5; 4590; 1869; 1656; 2650; 787/1716; 1790; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 209; 7.4; АИ-95; переднее, поперечное; 2300; турбонаддув; 240 / 179 при 6000; 260 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 8.8; 86 × 99
9; Acura MDX II Рестайлинг  ; 2010 ; 1 190 000 ; 159 800 ; 26 марта;  ; 3.7 л; 300 л.с.; автомат; бензин; АИ-92; полный; 7.1 с; Япония; 5; 7; 4867; 1994; 1733; 2750; 1243/2930; 2084; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;; 7.1; АИ-92; переднее, поперечное; 3664; нет; 300 / 221 при 6000; 366 при 4500; V-образное; 6; 4; распределенный впрыск (многоточечный); 11.2; 90 × 96
10; Acura MDX I  ; 2004 ; 450 000 ; 318 ; 23 апреля; 4,3; 3.5 л; 265 л.с.; автомат; бензин; АИ-92; полный; 8.6 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 2065; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 8.6; АИ-92; переднее, поперечное; 3471; нет; 265 / 193 при 5750; 339 при 3500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
11; Acura MDX I  ; 2003 ; 470 000 ; 220 000 ; 23 апреля; 4,3; 3.5 л; 260 л.с.; автомат; бензин; АИ-92; полный;; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 2065; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190;; АИ-92;; 3471; нет; 260 / 191 при 5800; 343 при 3500; V-образное; 6;; распределенный впрыск (многоточечный); 10; 89 × 93
12; Acura MDX I  ; 2004 ; 425 000 ; 133 000 ; 21 апреля; 4,3; 3.5 л; 265 л.с.; автомат; бензин; АИ-92; полный; 8.6 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 2065; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 8.6; АИ-92; переднее, поперечное; 3471; нет; 265 / 193 при 5750; 339 при 3500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
13; Acura MDX II  ; 2008 ; 830 000 ; 102 200 ; 20 апреля; 4,7; 3.7 л; 300 л.с.; автомат; бензин; АИ-92; полный; 7.3 с; Япония; 5; 7; 4844; 1994; 1732; 2751; 425/2365; 2070; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 7.3; АИ-92; переднее, поперечное; 3664; нет; 300 / 221 при 6000; 373 при 5000; V-образное; 6; 4; распределенный впрыск (многоточечный); 11; 90 × 96
14; Acura MDX I  ; 2001 ; 450 000 ; 150 000 ; 19 апреля; 4,3; 3.5 л; 240 л.с.; автомат; бензин; АИ-92; полный; 9 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 1980; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 9; АИ-92;; 3471; нет; 240 / 177 при 5750; 332 при 3000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 89 × 93
15; Acura RDX I  ; 2007 ; 720 000 ; 230 000 ; 19 апреля; 4,7; 2.3 л; 240 л.с.; автомат; бензин; АИ-95; полный; 7.4 с; Япония; 5; 5; 4590; 1869; 1656; 2650; 787/1716; 1790; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 209; 7.4; АИ-95; переднее, поперечное; 2300; турбонаддув; 240 / 179 при 6000; 260 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 8.8; 86 × 99
16; Acura MDX I  ; 2005 ; 420 000 ; 150 000 ; 16 апреля; 4,3; 3.5 л; 265 л.с.; автомат; бензин; АИ-92; полный; 8.6 с; Япония; 5; 7; 4788; 1938; 1744; 2700; 419/2308; 2065; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 8.6; АИ-92; переднее, поперечное; 3471; нет; 265 / 193 при 5750; 339 при 3500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
17; Acura ZDX  ; 2010 ; 1 160 000 ; 137 937 ; 18 апреля; 4,9; 3.7 л; 300 л.с.; автомат; бензин; АИ-95; полный; 7.2 с; Япония; 5; 5; 4887; 1994; 1570; 2750; 745; 2000; автомат; 6; полный; независимая, пружинная;; дисковые вентилируемые;;; 7.2; АИ-95;; 3664; нет; 300 / 221 при 6300; 366 при 4500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 90 × 96
18; Acura ZDX  ; 2012 ; 1 300 000 ; 65 000 ; 23 апреля; 4,9; 3.7 л; 300 л.с.; автомат; бензин; АИ-95; полный; 7.2 с; Япония; 5; 5; 4887; 1994; 1570; 2750; 745; 2000; автомат; 6; полный; независимая, пружинная;; дисковые вентилируемые;;; 7.2; АИ-95;; 3664; нет; 300 / 221 при 6300; 366 при 4500; V-образное; 6; 4; распределенный впрыск (многоточечный);; 90 × 96
