;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Alfa Romeo 156 I Рестайлинг 1  ; 2003 ;145 000 ; 190 000 ; 20 апреля;  ; 2.0 л; 165 л.с.; механика; бензин; АИ-95; передний; 8.2 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1285; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 220; 8.2; АИ-95; переднее, поперечное; 1970; нет; 165 / 121 при 6400; 206 при 3250; рядное; 4; 4; непосредственный впрыск (прямой); 11.3; 83 × 91
2; Alfa Romeo 156 I  ; 1998 ; 120 000 ; 238 000 ; 23 апреля; 4,2; 1.8 л; 144 л.с.; механика; бензин; АИ-95; передний; 9.3 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1225; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 9.3; АИ-95; переднее, поперечное; 1747; нет; 144 / 106 при 6500; 169 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.3; 82 × 82.7
3; Alfa Romeo 156 I Рестайлинг 1  ; 2003 ; 200 000 ; 193 000 ; 23 апреля;  ; 2.0 л; 165 л.с.; робот; бензин; АИ-95; передний; 8.2 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1285; робот; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 220; 8.2; АИ-95; переднее, поперечное; 1970; нет; 165 / 121 при 6400; 206 при 3250; рядное; 4; 4; непосредственный впрыск (прямой); 11.3; 83 × 91
4; Alfa Romeo 156 I  ; 1999 ; 183 000 ; 260 000 ; 23 апреля; 4,2; 1.9 л; 105 л.с.; механика; дизель; ДТ; передний; 10.5 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1250; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 188; 10.5; ДТ; переднее, поперечное; 1910; турбонаддув; 105 / 77 при 4000; 255 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 82 × 90.4
5; Alfa Romeo Giulietta III  ; 2014 ; 1 200 000 ; 62 000 ; 22 апреля; 3,9; 1.4 л; 170 л.с.; робот; бензин; АИ-95; передний; 7.6 с; Италия; 5; 5; 4351; 1798; 1465; 2634; 350/1045; 1365; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 218; 7.6; АИ-95; переднее, поперечное; 1368; турбонаддув; 170 / 125 при 5500; 250 при 2500; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 72 × 84
6; Alfa Romeo 159  ; 2008 ; 650 000 ; 248 000 ; 22 апреля; 4,4; 1.9 л; 136 л.с.; механика; дизель; ДТ; передний; 9.9 с; Италия; 4; 5; 4660; 1828; 1417; 2700; 405; 1560; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;; 9.9; ДТ;; 1910; турбонаддув; 136 / 100 при 4000; 320 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 82 × 90.4
7; Alfa Romeo 156 I  ; 2000 ; 135 000 ; 189 000 ; 23 апреля; 4,2; 1.6 л; 120 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1230; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.5; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6200; 146 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.3; 82 × 72.65
8; Alfa Romeo 156 I Рестайлинг 2  ; 2004 ; 349 000 ; 117 000 ; 13 апреля; 4,3; 2.0 л; 150 л.с.; механика; бензин; АИ-95; передний; 8.8 с; Италия; 4; 5; 4435; 1743; 1430; 2595; 378; 1250; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 214; 8.8; АИ-95; переднее, поперечное; 1970; нет; 150 / 110 при 6300; 181 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 83 × 91
9; Alfa Romeo 156 I  ; 1998 ; 95 000 ; 267 000 ; 22 апреля; 4,2; 1.6 л; 120 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Италия; 4; 5; 4430; 1745; 1415; 2595; 378; 1230; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.5; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6200; 146 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.3; 82 × 72.65
10; Alfa Romeo 146  ; 1995 ; 90 000 ; 130 000 ; 22 апреля; 4,3; 1.6 л; 103 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Италия; 5; 5; 4235; 1712; 1426; 2540; 380/1225; 1175; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 187; 11.5; АИ-95;; 1596; нет; 103 / 76 при 6000; 134 при 4500; оппозитное; 4; 2; распределенный впрыск (многоточечный); 9.5; 84 × 72
11; Alfa Romeo 156 I  ; 2002 ; 189 000 ; 240 000 ; 22 апреля; 4,2; 2.4 л; 140 л.с.; механика; дизель; ДТ; передний; 9.8 с; Италия; 5; 5; 4430; 1745; 1420; 2595; 360/1180; 1400; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.8; ДТ; переднее, поперечное; 2387; турбонаддув; 140 / 103 при 4000; 304 при 1800; рядное; 5; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 82 × 90.4
12; Alfa Romeo 147 I Рестайлинг  ; 2009 ; 360 000 ; 150 000 ; 21 апреля; 4,5; 1.6 л; 120 л.с.; механика; бензин; АИ-95; передний; 10.6 с; Италия; 3; 5; 4223; 1729; 1442; 2546; 292/1042; 1225; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 10.6; АИ-95; переднее, поперечное; 1598; нет; 120 / 88 при 6200; 146 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.3; 82 × 72.6
13; Alfa Romeo 166 I Рестайлинг  ; 2004 ; 790 000 ; 100 000 ; 23 апреля;  ; 2.4 л; 175 л.с.; автомат; дизель; ДТ; передний; 8.9 с; Италия; 4; 4, 5; 4720; 1800; 1416; 2700; 490; 1580; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 218; 8.9; ДТ; переднее, поперечное; 2387; турбонаддув; 175 / 129 при 4000; 385 при 2000; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 82 × 90.4
