;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Aston Martin Rapide I (S)  ; 2016 ; 10 800 000 ; Нов; 14 июля 2017;  ; 5.9 л; 560 л.с.; автомат; бензин; АИ-95; задний; 4.2 с; Великобритания; 5; 4; 5020; 1929; 1360; 2989; ; 1990; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 327; 4.2; АИ-95;; 5935; нет; 560 / 412 при 6650; 630 при 5500; V-образное; 12; 4; распределенный впрыск (многоточечный);; 
2; Aston Martin DB11 I  ; 2018 ; 17 450 000 ; Нов; 27 декабря 2017;  ; 4.0 л; 510 л.с.; автомат; бензин; АИ-98; задний; 4 с; Великобритания; 2; 4; 4739; 1940; 1279; 2805; 270; 1760; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 299; 4; АИ-98; переднее, продольное; 3982; турбонаддув; 510 / 375 при 6000; 675 при 2000 – 5000; V-образное; 8; 4; непосредственный впрыск (прямой); 10.5; 83 × 92
3; Aston Martin DB9 I Рестайлинг  ; 2008 ; 4 499 000 ; 9 800 ; 16 апреля;  ; 5.9 л; 477 л.с.; автомат; бензин; АИ-98; задний; 5.1 с; Великобритания; 2; 4; 4710; 1875; 1270; 2745; 185; 1710; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 300; 5.1; АИ-98; переднее, продольное; 5935; нет; 477 / 350 при 6000; 600 при 5000; V-образное; 12; 4; распределенный впрыск (многоточечный); 10.3; 89 × 79.5
4; Aston Martin Rapide I  ; 2010 ; 4 899 000 ; 45 346 ; 9 апреля;  ; 5.9 л; 477 л.с.; автомат; бензин; АИ-95; задний; 5.2 с; Великобритания; 5; 4; 5019; 1929; 1360; 2989; 301/750; 1950; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 296; 5.2; АИ-95;; 5935; нет; 477 / 351 при 6000; 600 при 5000; V-образное; 12; 4; распределенный впрыск (многоточечный); 10.8; 
5; Aston Martin DB9 I  ; 2006 ; 3 900 000 ; 4 700 ; 4 апреля;  ; 5.9 л; 450 л.с.; автомат; бензин; АИ-98; задний; 5.1 с; Великобритания; 2; 4; 4697; 1875; 1318; 2745; 170; 1800; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 300; 5.1; АИ-98; переднее, продольное; 5935; нет; 450 / 331 при 6000; 570 при 5000; V-образное; 12; 4; распределенный впрыск (многоточечный); 10.4; 89 × 79.5
6; Aston Martin V8 Vantage III  ; 2007 ; 2 541 000 ; 14 000 ; 30 марта;  ; 4.3 л; 385 л.с.; робот; бензин; АИ-98; задний; 5 с; Великобритания; 2; 2; 4380; 1865; 1265; 2600; 300; 1630; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 280; 5; АИ-98; переднее, продольное; 4280; нет; 385 / 283 при 7300; 410 при 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 89 × 86
7; Aston Martin V8 Vantage III  ; 2008 ; 2 300 000 ; 37 000 ; 24 марта;  ; 4.3 л; 385 л.с.; робот; бензин; АИ-98; задний; 5 с; Великобритания; 2; 2; 4380; 1865; 1265; 2600; 144; 1710; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 280; 5; АИ-98; переднее, продольное; 4280; нет; 385 / 283 при 7100; 410 при 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 89 × 86
8; Aston Martin DB9 I Рестайлинг  ; 2008 ; 4 000 000 ; 25 970 ; 5 сентября 2017;  ; 5.9 л; 477 л.с.; автомат; бензин; АИ-98; задний; 5.1 с; Великобритания; 2; 4; 4710; 1875; 1270; 2745; 140; 1880; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 265; 5.1; АИ-98; переднее, продольное; 5935; нет; 477 / 350 при 6000; 600 при 5000; V-образное; 12; 4; распределенный впрыск (многоточечный); 10.3; 89 × 79.5
9; Aston Martin DB9 I Рестайлинг  ; 2008 ; 3 800 000 ; 18 000 ; 23 августа 2017;  ; 5.9 л; 477 л.с.; автомат; бензин; АИ-98; задний; 5.1 с; Великобритания; 2; 4; 4710; 1875; 1270; 2745; 185; 1710; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 300; 5.1; АИ-98; переднее, продольное; 5935; нет; 477 / 350 при 6000; 600 при 5000; V-образное; 12; 4; распределенный впрыск (многоточечный); 10.3; 89 × 79.5
