;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; BMW X1 I (E84) Рестайлинг 20d  ; 2014 ; 1 150 000 ; 66 000 ; 8 апреля; 4,2; 2.0 л; 184 л.с.; автомат; дизель; ДТ; полный; 8.1 с; Германия; 5; 5; 4477; 1798; 1545; 2760; 420/1350; 1660; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 213; 8.1; ДТ; переднее, продольное; 1995; турбонаддув; 184 / 135 при 4000; 380 при 1750 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 90
2; BMW X6 I (E71) 35d  ; 2009 ;1 349 000 ; 122 000 ; 21 апреля; 4,5; 3.0 л; 286 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Германия; 5; 4, 5; 4877; 1983; 1690; 2933; 724/1690; 2185; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 236; 6.9; ДТ; переднее, продольное; 2993; турбонаддув; 286 / 213 при 4400; 580 при 1750; рядное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17; 84 × 90
3; BMW 6 серия III (F06/F13/F12) 640i xDrive  ; 2013 ;1 950 000 ; 61 800 ; 20 апреля;  ; 3.0 л; 320 л.с.; автомат; бензин; АИ-95; полный; 5.2 с; Германия; 2; 4; 4894; 1894; 1369; 2855; 460; 1765; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 5.2; АИ-95; переднее, продольное; 2979; турбонаддув; 320 / 235 при 5800 – 6000; 450 при 1300 – 4500; рядное; 6; 4; непосредственный впрыск (прямой); 10.2; 84 × 89.6
4; BMW 5 серия VI (F10/F11/F07) 520i  ; 2013 ; 1 082 000 ; 90 084 ; 24 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; BMW 1 серия II (F20/F21) 118i  ; 2012 ; 830 000 ; 68 500 ; 24 апреля; 4,6; 1.6 л; 170 л.с.; автомат; бензин; АИ-95; задний; 7.5 с; Германия; 5; 5; 4324; 1765; 1421; 2690; 360/1200; 1315; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 222; 7.5; АИ-95; переднее, продольное; 1598; турбонаддув; 170 / 125 при 4800; 250 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 77 × 85.8
6; BMW X1 II (F48) 20i xDrive  ; 2017 ; 1 860 000 ; 2 500 ; 24 октября 2017; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; BMW 5 серия VI (F10/F11/F07) Рестайлинг 528i xDrive  ; 2013 ;1 750 000 ; 38 000 ; 27 января; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; BMW 5 серия V (E60/E61) Рестайлинг 525xi  ; 2009 ; 830 000 ; 140 820 ; 15 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; BMW X5 III (F15) 30d  ; 2014 ; 2 999 999 ; 20 842 ; 12 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; BMW 7 серия IV (E65/E66) Рестайлинг 750Li  ; 2007 ; 590 000 ; 209 000 ; 17 марта; 4,6; 4.8 л; 367 л.с.; автомат; бензин; АИ-98; задний; 6 с; Германия; 4; 4, 5; 5179; 1902; 1484; 3128; 500; 2025; автомат; 6; задний; независимая, пружинная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 250; 6; АИ-98; переднее, продольное; 4799; нет; 367 / 270 при 6300; 490 при 3400; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.5; 93 × 88.3
11; BMW 3 серия VI (F3x) 320i  ; 2014 ; 1 295 000 ; 17 677 ; 3 декабря 2017; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; BMW X5 II (E70) Рестайлинг 40d  ; 2011 ;1 600 000 ; 99 424 ; 11 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13; BMW 5 серия IV (E39) Рестайлинг 520i  ; 2001 ; 295 000 ; 329 500 ; 24 апреля; 4,5; 2.2 л; 170 л.с.; автомат; бензин; АИ-95; задний; 9.1 с; Германия; 4; 5; 4775; 1800; 1435; 2830; 460; 1495; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 226; 9.1; АИ-95; переднее, продольное; 2171; нет; 170 / 125 при 6250; 210 при 3500; рядное; 6; 4; распределенный впрыск (многоточечный); 10.7; 80 × 72
14; BMW X1 I (E84) 20d  ; 2011 ; 1 100 000 ; 58 000 ; 24 апреля; 4,4; 2.0 л; 177 л.с.; автомат; дизель; ДТ; полный; 8.6 с; Германия; 5; 5; 4454; 1798; 1545; 2760; 420/1350; 1660; автомат; 6; полный; независимая, пневмоэлемент; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 205; 8.6; ДТ; переднее, продольное; 1995; турбонаддув; 177 / 130 при 4000; 350 при 1750 – 3000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 90
15; BMW 5 серия V (E60/E61) 525xi  ; 2005 ; 499 998 ; 158 000 ; 24 декабря 2017; 4,5; 2.5 л; 218 л.с.; автомат; бензин; АИ-95; полный; 8.5 с; Германия; 5; 5; 4843; 1846; 1491; 2886; 600/1650; 1685; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 228; 8.5; АИ-95; переднее, продольное; 2497; нет; 218 / 160 при 6500; 250 при 4250; рядное; 6; 4; распределенный впрыск (многоточечный); 11; 82 × 78.8
16; BMW 3 серия III (E36) 316i  ; 1995 ; 250 000 ; 350 000 ; 24 апреля; 4,3; 1.6 л; 102 л.с.; автомат; бензин; АИ-95; задний; 12.7 с; Германия; 2; 5; 4433; 1710; 1366; 2700; 405; 1190; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 12.7; АИ-95; переднее, продольное; 1596; нет; 102 / 75 при 5500; 150 при 3900; рядное; 4; 2; распределенный впрыск (многоточечный); 9.7; 84 × 72
17; BMW 3 серия VI (F3x) 320i xDrive  ; 2013 ; 1 300 000 ; 91 917 ; 6 марта; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; BMW X1 I (E84) 20d  ; 2009 ; 670 000 ; 121 283 ; 3 февраля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19; BMW 5 серия IV (E39) 523i  ; 1998 ; 225 000 ; 250 000 ; 24 апреля; 4,5; 2.5 л; 170 л.с.; автомат; бензин; АИ-95; задний; 9.6 с; Германия; 4; 5; 4775; 1800; 1435; 2830; 460; 1480; автомат; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 226; 9.6; АИ-95; переднее, продольное; 2494; нет; 170 / 125 при 5500; 245 при 3950; рядное; 6; 4; распределенный впрыск (многоточечный); 10.5; 84 × 75
20; BMW 3 серия V (E90/E91/E92/E93) 325i  ; 2008 ;669 000 ; 114 717 ; 26 января; 4,5; 2.5 л; 218 л.с.; автомат; бензин; АИ-95; задний; 7 с; Германия; 2; 4; 4580; 1782; 1395; 2760; 440; 1525; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 250; 7; АИ-95; переднее, продольное; 2497; нет; 218 / 160 при 6500; 250 при 2750; рядное; 6; 4; распределенный впрыск (многоточечный); 11; 82 × 78.8
21; BMW 4 серия F32/F33/F36 420d  ; 2014 ; 1 400 000 ; 88 492 ; 24 марта;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22; BMW 5 серия IV (E39) 523i  ; 1997 ; 200 000 ; 319 000 ; 23 апреля; 4,5; 2.5 л; 170 л.с.; механика; бензин; АИ-95; задний; 8.5 с; Германия; 4; 5; 4775; 1800; 1435; 2830; 460; 1420; механика; 5; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 228; 8.5; АИ-95; переднее, продольное; 2494; нет; 170 / 125 при 5500; 245 при 3950; рядное; 6; 4; распределенный впрыск (многоточечный); 10.5; 84 × 75
23; BMW 3 серия VI (F3x) 320d  ; 2012 ; 1 100 000 ; 120 000 ; 23 апреля; 4,6; 2.0 л; 184 л.с.; автомат; дизель; ДТ; задний; 7.4 с; Германия; 4; 5; 4624; 1811; 1413; 2810; 480; 1430; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 230; 7.4; ДТ; переднее, продольное; 1995; турбонаддув; 184 / 135 при 4000; 380 при 1750 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 84 × 90
24; BMW 5 серия VI (F10/F11/F07) 520i  ; 2012 ; 1 075 000 ; 112 000 ; 23 апреля; 4,7; 2.0 л; 184 л.с.; автомат; бензин; АИ-95; задний; 8 с; Германия; 4; 5; 4899; 1860; 1464; 2968; 530; 1610; автомат; 8; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 226; 8; АИ-95; переднее, продольное; 1997; турбонаддув; 184 / 135 при 5000 – 6250; 270 при 1250 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 11; 84 × 90.1
