;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; BYD F3 I  ; 2008 ; 180 000 ; 71 000 ; 23 апреля;  ; 1.5 л; 99 л.с.; механика; бензин; АИ-92; передний; 12.1 с; Китай; 5; 5; 4325; 1705; 1490; 2600; 370; 1170; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170; 12.1; АИ-92; переднее, поперечное; 1468; нет; 99 / 73 при 6000; 134 при 4000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 84.6
2; BYD F3 I  ; 2008 ; 110 000 ; 232 438 ; 23 апреля;  ; 1.6 л; 100 л.с.; механика; бензин; АИ-92; передний; 12.3 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.3; АИ-92; переднее, продольное; 1584; нет; 100 / 74 при 6000; 134 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 87.3
3; BYD F3 I  ; 2011 ; 185 000 ; 122 177 ; 23 апреля;  ; 1.5 л; 95 л.с.; механика; бензин; АИ-92; передний; 12.1 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 170; 12.1; АИ-92; переднее, поперечное; 1468; нет; 95 / 70 при 6000; 120 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 84.6
4; BYD F3 I  ; 2007 ; 165 000 ; 168 000 ; 19 апреля;  ; 1.6 л; 100 л.с.; механика; бензин; АИ-92; передний; 12.3 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.3; АИ-92; переднее, продольное; 1584; нет; 100 / 74 при 6000; 134 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 87.3
5; BYD S6  ; 2012 ; 680 000 ; 62 000 ; 16 апреля;  ; 2.0 л; 140 л.с.; механика; бензин; АИ-92; передний; 12.9 с; Китай; 5; 5; 4810; 1855; 1725; 2720; 1084/2400; 1620; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 12.9; АИ-92;; 1991; нет; 140 / 103 при 6000; 186 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; BYD F3 I  ; 2012 ; 260 000 ; 90 000 ; 23 апреля;  ; 1.5 л; 95 л.с.; механика; бензин; АИ-92; передний; 12.1 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 170; 12.1; АИ-92; переднее, поперечное; 1468; нет; 95 / 70 при 6000; 120 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 84.6
7; BYD F3 I  ; 2008 ; 139 000 ; 164 000 ; 13 апреля;  ; 1.6 л; 100 л.с.; механика; бензин; АИ-92; передний; 12.3 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 12.3; АИ-92; переднее, продольное; 1584; нет; 100 / 74 при 6000; 134 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 87.3
8; BYD Flyer  ; 2006 ; 99 000 ; 91 511 ; 12 апреля; 3,3; 0.8 л; 40 л.с.; механика; бензин; АИ-92; передний; 25 с; Китай; 5; 5; 3605; 1468; 1470; 2300; 128; 720; механика; 4; передний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 118; 25; АИ-92; переднее, поперечное; 796; нет; 40 / 29 при 5000; 62 при 4500; рядное; 3; 2; распределенный впрыск (многоточечный); 9.4; 68.5 × 72
9; BYD F3 I  ; 2011 ; 199 000 ; 55 800 ; 11 апреля;  ; 1.5 л; 95 л.с.; механика; бензин; АИ-92; передний; 12.1 с; Китай; 4; 5; 4533; 1705; 1490; 2600; 460; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 170; 12.1; АИ-92; переднее, поперечное; 1468; нет; 95 / 70 при 6000; 120 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76 × 84.6
