;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Brilliance V5  ; 2016 ; 549 000 ; 60 000 ; 23 апреля;  ; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Brilliance V5  ; 2016 ; 549 000 ; 48 000 ; 23 апреля;  ; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; Brilliance M2 (BS4) I  ; 2008 ; 225 000 ; 96 000 ; 21 апреля; 4,1; 1.8 л; 136 л.с.; механика; бензин; АИ-95; передний; 15 с; Китай; 4; 5; 4648; 1800; 1450; 2790; 400; 1480; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 185; 15; АИ-95; переднее, поперечное; 1834; нет; 136 / 100 при 6500; 165 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 75 × 85
4; Brilliance M2 (BS4) I  ; 2009 ; 150 000 ; 144 000 ; 20 апреля; 4,1; 1.8 л; 136 л.с.; механика; бензин; АИ-95; передний; 15 с; Китай; 4; 5; 4648; 1800; 1450; 2790; 400; 1480; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 185; 15; АИ-95; переднее, поперечное; 1834; нет; 136 / 100 при 6500; 165 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 75 × 85
5; Brilliance M2 (BS4) I  ; 2008 ; 179 600 ; 130 000 ; 17 апреля; 4,1; 1.8 л; 136 л.с.; механика; бензин; АИ-95; передний; 15 с; Китай; 4; 5; 4648; 1800; 1450; 2790; 400; 1480; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 185; 15; АИ-95; переднее, поперечное; 1834; нет; 136 / 100 при 6500; 165 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 75 × 85
6; Brilliance V5  ; 2014 ; 459 000 ; 76 000 ; 20 апреля;  ; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; Brilliance V5  ; 2014 ; 467 000 ; 39 000 ; 13 апреля;  ; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; Brilliance V5  ; 2014 ; 575 000 ; 68 000 ; 22 апреля;  ; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; Brilliance V5  ; 2016 ; 599 000 ; 40 000 ; 22 апреля;  ; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
10; Brilliance V5  ; 2014 ; 499 000 ; 77 000 ; 31 марта;  ; 1.6 л; 110 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1800; 1627; 2630; 430/1254; 1730; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1600; нет; 110 / 81 при 6000; 151 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
11; Brilliance V5  ; 2017 ; 1 099 900 ; Нов; 5 апреля; 4,8; 1.5 л; 143 л.с.; автомат; бензин; АИ-95; передний; 13.9 с; Китай; 5; 5; 4405; 1800; 1615; 2630; 430/1254; 1530; автомат; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 13.9; АИ-95; переднее, поперечное; 1498; турбонаддув; 143 / 105 при 5500 – 6000; 210 при 2000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
