;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Changan CS35  ; 2017 ; 925 900 ; Нов; 14 марта; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Changan CS75 I  ; 2017 ; 1 379 000 ; Нов; 3 апреля;  ; 1.8 л; 163 л.с.; автомат; бензин; АИ-95; полный;; Китай; 5; 5; 4650; 1850; 1695; 2700; 590/1560; 1770; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, поперечное; 1798; турбонаддув; 163 / 120 при 5500; 220 при 1700 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; Changan CS35  ; 2018 ; 925 900 ; Нов; 20 марта; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Changan CS35  ; 2014 ; 437 999 ; 60 000 ; 23 апреля; 4,5; 1.6 л; 113 л.с.; механика; бензин; АИ-92; передний; 14 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1345; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 14; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Changan CS35  ; 2017 ; 1 070 000 ; 1 000 ; 23 апреля; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Changan Eado  ; 2014 ; 349 000 ; 67 395 ; 22 апреля;  ; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 13.5 с; Китай; 4; 5; 4620; 1820; 1490; 2660; 510; 1400; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 13.5; АИ-92;; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; Changan CS35  ; 2014 ; 495 000 ; 84 000 ; 21 апреля; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; Changan CS35  ; 2016 ; 695 200 ; 33 000 ; 21 апреля; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; Changan CS35  ; 2017 ; 797 000 ; 6 830 ; 20 апреля; 4,5; 1.6 л; 113 л.с.; автомат; бензин; АИ-92; передний; 15 с; Китай; 5; 5; 4160; 1810; 1670; 2560; 337/1251; 1365; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 180; 15; АИ-92; переднее, поперечное; 1598; нет; 113 / 83 при 6000; 152 при 4000 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
