;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Fiat Punto II  ; 2002 ;99 000 ; 252 000 ; 23 апреля; 4,2; 1.2 л; 60 л.с.; механика; бензин; АИ-95; передний; 14.3 с; Италия; 5; 5; 3835; 1660; 1480; 2460; 297/1080; 875; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 155; 14.3; АИ-95; переднее, поперечное; 1242; нет; 60 / 44 при 5000; 102 при 2500; рядное; 4; 2; распределенный впрыск (многоточечный); 9.6; 70.8 × 78.9
2; Fiat Doblo I Рестайлинг  ; 2008 ; 300 000 ; 110 000 ; 4 апреля; 3,5; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 17 с; Италия; 5; 5; 4253; 1722; 1818; 2583; 750/3000; 1235; механика; 5; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 148; 17; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11.1; 72 × 84
3; Fiat Doblo I Рестайлинг  ; 2013 ; 430 000 ; 103 000 ; 20 апреля; 3,5; 1.4 л; 77 л.с.; механика; бензин; АИ-95; передний; 17 с; Италия; 5; 5; 4253; 1722; 1818; 2583; 750/3000; 1235; механика; 5; передний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; барабанные; 148; 17; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11.1; 72 × 84
4; Fiat Linea  ; 2011 ; 309 000 ; 96 000 ; 24 апреля; 4,4; 1.4 л; 120 л.с.; механика; бензин; АИ-95; передний; 9.2 с; Италия; 4; 5; 4560; 1730; 1494; 2603; 500; 1275; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 195; 9.2; АИ-95; переднее, поперечное; 1368; турбонаддув; 120 / 88 при 5000; 206 при 1750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 72 × 84
5; Fiat Doblo II Рестайлинг  ; 2015 ; 433 000 ; 105 958 ; 28 февраля;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Fiat Bravo II  ; 2008 ;360 000 ; 97 278 ; 13 апреля; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Fiat Punto III Grande Punto  ; 2007 ; 190 000 ; 72 000 ; 8 апреля; 4,3; 1.4 л; 77 л.с.; робот; бензин; АИ-95; передний; 13.2 с; Италия; 5; 5; 4030; 1687; 1490; 2510; 275/1030; 1040; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 165; 13.2; АИ-95; переднее, поперечное; 1368; нет; 77 / 57 при 6000; 115 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 11; 72 × 84
8; Fiat Doblo II  ; 2012 ; 550 000 ; 214 000 ; 23 апреля;  ; 1.6 л; 90 л.с.; робот; дизель; ДТ; передний; 15.4 с; Италия; 5; 5, 7; 4390; 1832; 1845; 2755; 790/3200; 1410; робот; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 158; 15.4; ДТ; переднее, поперечное; 1598; турбонаддув; 90 / 66 при 4000; 290 при 1500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 79.5 × 80.5
9; Fiat Sedici  ; 2008 ; 410 000 ; 94 000 ; 24 апреля;  ; 1.6 л; 107 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Италия; 5; 5; 4115; 1755; 1620; 2500; 270/670; 1175; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 180; 12.3; АИ-95; переднее, продольное; 1586; нет; 107 / 79 при 5600; 145 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 78 × 83
10; Fiat Linea  ; 2010 ; 365 000 ; 156 428 ; 23 апреля; 4,4; 1.4 л; 120 л.с.; механика; бензин; АИ-95; передний; 9.2 с; Италия; 4; 5; 4560; 1730; 1494; 2603; 500; 1275; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 195; 9.2; АИ-95; переднее, поперечное; 1368; турбонаддув; 120 / 88 при 5000; 206 при 1750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 72 × 84
11; Fiat Punto II  ; 2000 ; 117 000 ; 180 000 ; 23 апреля; 4,2; 1.2 л; 80 л.с.; вариатор; бензин; АИ-95; передний; 12.6 с; Италия; 5; 5; 3835; 1660; 1480; 2460; 297/1080; 1000; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 165; 12.6; АИ-95;; 1242; нет; 80 / 59 при 5000; 114 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 70.8 × 78.9
12; Fiat Freemont  ; 2013 ; 979 000 ; 71 088 ; 23 апреля; 4,9; 2.4 л; 170 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Италия; 5; 5, 7; 4888; 1878; 1745; 2890; 1000/1915; 1778; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 13.3; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
