;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Ford Focus III Рестайлинг  ; 2017 ; 1 080 500 ; Нов; 29 марта; 4,3; 1.6 л; 105 л.с.; робот; бензин; АИ-95; передний;; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1264; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, поперечное; 1596; нет; 105 / 77 при 6000; 150 при 4000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
2; Ford Explorer V  ; 2015 ;1 850 000 ; 46 900 ; 21 апреля; 4,3; 3.5 л; 249 л.с.; автомат; бензин; АИ-92; полный; 8.7 с; США; 5; 7; 5006; 2004; 1803; 2860; 595/2285; 2234; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 183; 8.7; АИ-92; переднее, продольное; 3496; нет; 249 / 183 при 6500; 345 при 4000; V-образное; 6; 4; непосредственный впрыск (прямой); 10.8; 92.5 × 86.7
3; Ford Explorer V Рестайлинг  ; 2018 ; 3 305 000 ; Нов; 8 апреля; 4,2; 3.5 л; 249 л.с.; автомат; бензин; АИ-92; полный; 8.7 с; США; 5; 7; 5019; 1988; 1788; 2860; 595/2313;; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 183; 8.7; АИ-92; переднее, продольное; 3496; нет; 249 / 183 при 6500; 346 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
4; Ford Focus II Рестайлинг  ; 2010 ; 305 000 ; 105 000 ; 24 апреля; 4,0; 1.6 л; 100 л.с.; механика; бензин; АИ-95; передний; 11.9 с; США; 5; 5; 4342; 1840; 1497; 2640; 282/1144; 1242; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 180; 11.9; АИ-95; переднее, поперечное; 1596; нет; 100 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
5; Ford Focus III  ; 2013 ; 580 000 ; 73 000 ; 24 апреля; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.7 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1316; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 193; 11.7; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
6; Ford Focus II  ; 2007 ; 249 000 ; 145 000 ; 4 апреля; 4,3; 1.6 л; 115 л.с.; механика; бензин; АИ-95; передний; 10.8 с; США; 5; 5; 4341; 1839; 1448; 2639; 282/1144; 1255; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.8; АИ-95; переднее, поперечное; 1596; нет; 115 / 85 при 6000; 155 при 4150; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; Ford C-MAX I Рестайлинг  ; 2008 ; 300 000 ; 125 000 ; 31 марта; 4,4; 2.0 л; 145 л.с.; автомат; бензин; АИ-95; передний; 11.2 с; США; 5; 5; 4333; 1825; 1560; 2640; 460/1620; 1365; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 11.2; АИ-95; переднее, поперечное; 1999; нет; 145 / 107 при 6000; 185 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 87.5 × 83.1
8; Ford Focus III  ; 2012 ; 465 000 ; 129 000 ; 27 марта; 4,2; 1.6 л; 125 л.с.; робот; бензин; АИ-95; передний; 11.7 с; США; 5; 5; 4358; 1823; 1484; 2648; 277/1062; 1316; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 193; 11.7; АИ-95; переднее, поперечное; 1596; нет; 125 / 92 при 6000; 159 при 4000; рядное; 4; 4; непосредственный впрыск (прямой); 11; 79 × 81.4
9; Ford Focus II Рестайлинг  ; 2010 ;270 000 ; 162 000 ; 27 марта; 4,0; 1.6 л; 100 л.с.; механика; бензин; АИ-95; передний; 12 с; США; 4; 5; 4488; 1840; 1497; 2640; 467/931; 1215; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 182; 12; АИ-95; переднее, поперечное; 1596; нет; 100 / 74 при 6000; 143 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 79 × 81.4
