;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; GMC Yukon II (GMT800)  ; 2002 ;600 000 ; 157 000 ; 16 апреля;  ; 5.3 л; 288 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5; 5052; 2004; 1948; 2946; 453/2962; 2350; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, продольное; 5327; нет; 288 / 212 при 5200; 440 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.5; 96 × 92
2; GMC Yukon III (GMT900)  ; 2008 ;1 100 000 ; 138 000 ; 31 января;  ; 6.2 л; 385 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 6, 9; 5131; 2007; 1953; 2946; 479/3084; 2556; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые; дисковые;;; АИ-92; переднее, продольное; 6162; нет; 385 / 283 при 5500; 565 при 4400; V-образное; 8; 2; распределенный впрыск (многоточечный); 10.5; 103.25 × 92
3; GMC Jimmy  ; 1996 ; 159 000 ; 330 000 ; 22 апреля; 4,5; 4.3 л; 192 л.с.; автомат; бензин; АИ-95; полный; 13.8 с; США; 5; 5; 4668; 1722; 1633; 2718; 2495; 1785; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 13.8; АИ-95; переднее, продольное; 4300; нет; 192 / 141 при 4400; 339 при 2800; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.2; 101.6 × 88.4
4; GMC Yukon III (GMT900)  ; 2006 ; 999 999 ; 210 000 ; 22 апреля;  ; 5.3 л; 324 л.с.; автомат; бензин;; полный;; США; 5; 6, 9; 5131; 2007; 1953; 2946; 479/3084; 2680; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 156;;; переднее, продольное; 5327; нет; 324 / 238 при 5300; 461 при 4200; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.9; 96 × 92
5; GMC Savana I Рестайлинг  ; 2012 ; 2 890 000 ; 8 000 ; 2 апреля; 5,0; 5.3 л; 301 л.с.; автомат; бензин; АИ-92; полный;; США; 4; 8; 5692; 2012; 2126; 3429; ;; автомат; 4; полный; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-92;; 5327; нет; 301 / 221 при 4500; 330 при 4500; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
6; GMC Envoy II(GMT360)  ; 2002 ; 310 000 ; 288 000 ; 7 апреля;  ; 4.2 л; 273 л.с.; автомат; бензин; АИ-95; полный; 8 с; США; 5; 5; 4866; 1897; 1826; 2869; 1127/2268; 2045; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 8; АИ-95; переднее, продольное; 4157; нет; 273 / 201 при 6000; 373 при 3600; рядное; 6; 4; распределенный впрыск (многоточечный); 10; 93 × 102
7; GMC Envoy II(GMT360)  ; 2002 ; 380 000 ; 230 000 ; 23 февраля;  ; 4.2 л; 273 л.с.; автомат; бензин; АИ-95; полный; 8 с; США; 5; 5; 4866; 1897; 1826; 2869; 1127/2268; 2045; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 8; АИ-95; переднее, продольное; 4157; нет; 273 / 201 при 6000; 373 при 3600; рядное; 6; 4; распределенный впрыск (многоточечный); 10; 93 × 102
8; GMC Jimmy  ; 1998 ; 400 000 ; 400 000 ; 23 февраля; 4,5; 4.3 л; 192 л.с.; автомат; бензин; АИ-95; полный; 13.8 с; США; 5; 5; 4668; 1722; 1633; 2718; 2495; 1785; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 175; 13.8; АИ-95; переднее, продольное; 4300; нет; 192 / 141 при 4400; 339 при 2800; V-образное; 6; 2; распределенный впрыск (многоточечный); 9.2; 101.6 × 88.4
9; GMC Terrain I  ; 2011 ; 1 200 000 ; 75 000 ; 30 мая 2016;  ; 2.4 л; 182 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5; 4707; 1849; 1684; 2858; ;; автомат; 6; полный; независимая, пружинная;; дисковые вентилируемые; дисковые;;; АИ-92;; 2384; нет; 182 / 134 при 6700; 172 при 4900; рядное; 4; 4; распределенный впрыск (многоточечный);; 88 × 98
