;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Geely CK (Otaka) I  ; 2008 ;130 000 ; 160 000 ; 22 апреля;  ; 1.5 л; 94 л.с.; механика; бензин; АИ-92; передний; 12 с; Китай; 4; 5; 4152; 1680; 1440; 2434; 480; 1052; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 160; 12; АИ-92; переднее, поперечное; 1498; нет; 94 / 69 при 6000; 128 при 3400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 78.7 × 77
2; Geely Emgrand EC7  ; 2014 ; 350 000 ; 83 000 ; 18 апреля; 4,1; 1.8 л; 126 л.с.; механика; бензин; АИ-92; передний; 12.8 с; Китай; 4; 5; 4635; 1789; 1470; 2650; ; 1355; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 180; 12.8; АИ-92; переднее, поперечное; 1792; нет; 126 / 93 при 6200; 162 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 
3; Geely MK I  ; 2008 ;139 000 ; 93 000 ; 14 апреля; 3,9; 1.5 л; 94 л.с.; механика; бензин; АИ-92; передний; 18 с; Китай; 4; 5; 4342; 1692; 1435; 2502; 430; 1040; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 165; 18; АИ-92; переднее, поперечное; 1498; нет; 94 / 69 при 6000; 128 при 3400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.7 × 77
4; Geely Emgrand EC7  ; 2012 ; 325 000 ; 91 000 ; 24 апреля; 4,1; 1.8 л; 126 л.с.; механика; бензин; АИ-92; передний; 12.8 с; Китай; 4; 5; 4635; 1789; 1470; 2650; ; 1355; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 180; 12.8; АИ-92; переднее, поперечное; 1792; нет; 126 / 93 при 6200; 162 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 
5; Geely Emgrand EC7  ; 2013 ; 400 000 ; 53 262 ; 24 апреля; 4,1; 1.8 л; 126 л.с.; механика; бензин; АИ-92; передний; 12.8 с; Китай; 4; 5; 4635; 1789; 1470; 2650; ; 1355; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 180; 12.8; АИ-92; переднее, поперечное; 1792; нет; 126 / 93 при 6200; 162 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 
6; Geely MK Cross I  ; 2013 ; 180 000 ; 121 000 ; 5 апреля; 3,6; 1.5 л; 94 л.с.; механика; бензин; АИ-92; передний; 11.6 с; Китай; 5; 4; 4020; 1692; 1445; 2502; ; 1158; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 165; 11.6; АИ-92; переднее, поперечное; 1498; нет; 94 / 69 при 6000; 128 при 3400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.7 × 77
7; Geely Emgrand X7 I  ; 2014 ; 525 000 ; 45 500 ; 23 апреля; 4,6; 2.0 л; 139 л.с.; механика; бензин; АИ-92; передний;; Китай; 5; 5; 4541; 1833; 1700; 2661; ; 1615; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 170;; АИ-92; переднее, поперечное; 1997; нет; 139 / 102 при 5900; 178 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 
8; Geely MK Cross I  ; 2011 ; 263 000 ; 51 000 ; 23 апреля; 3,6; 1.5 л; 94 л.с.; механика; бензин; АИ-92; передний; 11.6 с; Китай; 5; 4; 4020; 1692; 1445; 2502; ; 1158; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 165; 11.6; АИ-92; переднее, поперечное; 1498; нет; 94 / 69 при 6000; 128 при 3400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 78.7 × 77
9; Geely CK (Otaka) I Рестайлинг  ; 2013 ; 280 000 ; 62 406 ; 23 апреля; 3,4; 1.5 л; 94 л.с.; механика; бензин; АИ-92; передний; 12 с; Китай; 4; 5; 4194; 1680; 1440; 2434; 480; 1070; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 160; 12; АИ-92; переднее, поперечное; 1498; нет; 94 / 69 при 6000; 128 при 3400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 78.7 × 77
