;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Hafei Simbo  ; 2007 ; 110 000 ; 53 000 ; 23 апреля; 4,4; 1.3 л; 85 л.с.; механика; бензин; АИ-92; передний; 13.5 с; Китай; 5; 5; 3885; 1695; 1635; 2440; 500; 1180; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 150; 13.5; АИ-92; переднее, поперечное; 1299; нет; 85 / 57 при 6000; 108 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78.4 × 78.6
2; Hafei Brio  ; 2006 ; 78 000 ; 95 000 ; 21 апреля; 3,5; 1.0 л; 46 л.с.; механика; бензин; АИ-92; передний; 13.7 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 920; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 120; 13.7; АИ-92; переднее, поперечное; 998; нет; 46 / 32 при 5000; 72 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9; 65.5 × 77
3; Hafei Brio  ; 2007 ; 78 000 ; 103 000 ; 23 апреля; 3,5; 1.0 л; 46 л.с.; механика; бензин; АИ-92; передний; 13.7 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 920; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 120; 13.7; АИ-92; переднее, поперечное; 998; нет; 46 / 32 при 5000; 72 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9; 65.5 × 77
4; Hafei Brio  ; 2006 ; 165 000 ; 30 600 ; 23 апреля; 3,5; 1.1 л; 65 л.с.; механика; бензин; АИ-92; передний; 13.5 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 895; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 140; 13.5; АИ-92; переднее, поперечное; 1074; нет; 65 / 48 при 5700; 88 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.1; 68 × 74
5; Hafei Brio  ; 2008 ; 100 000 ; 79 000 ; 23 апреля; 3,5; 1.1 л; 65 л.с.; механика; бензин; АИ-92; передний; 13.5 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 895; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 140; 13.5; АИ-92; переднее, поперечное; 1074; нет; 65 / 48 при 5700; 88 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.1; 68 × 74
6; Hafei Brio  ; 2007 ; 95 000 ; 95 000 ; 9 апреля; 3,5; 1.0 л; 46 л.с.; механика; бензин; АИ-92; передний; 13.7 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 920; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 120; 13.7; АИ-92; переднее, поперечное; 998; нет; 46 / 32 при 5000; 72 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9; 65.5 × 77
7; Hafei Princip  ; 2007 ; 160 000 ; 60 000 ; 11 марта;  ; 1.6 л; 101 л.с.; механика; бензин; АИ-92; передний; 12.3 с; Китай; 4; 5; 4434; 1708; 1471; 2600; 510; 1180; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 180; 12.3; АИ-92; переднее, поперечное; 1584; нет; 101 / 78 при 6000; 133 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78.1 × 81.3
8; Hafei Simbo  ; 2007 ; 145 000 ; 201 000 ; 15 января; 4,4; 1.3 л; 85 л.с.; механика; бензин; АИ-92; передний; 13.5 с; Китай; 5; 5; 3885; 1695; 1635; 2440; 500; 1180; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 150; 13.5; АИ-92; переднее, поперечное; 1299; нет; 85 / 57 при 6000; 108 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78.4 × 78.6
9; Hafei Brio  ; 2007 ; 65 000 ; 67 000 ; 19 апреля; 3,5; 1.0 л; 46 л.с.; механика; бензин; АИ-92; передний; 13.7 с; Китай; 5; 5; 3588; 1563; 1533; 2335; 230/950; 920; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 120; 13.7; АИ-92; переднее, поперечное; 998; нет; 46 / 32 при 5000; 72 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9; 65.5 × 77
