;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Haval H6  ; 2017 ; 1 289 900 ; Нов; 23 апреля; 4,8; 1.5 л; 150 л.с.; автомат; бензин; АИ-92; передний;; Китай; 5; 5; 4649; 1852; 1727; 2680; 808/1216; 1541; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 84.7 × 75
2; Haval H6  ; 2017 ; 1 269 000 ; Нов; 23 апреля; 4,8; 1.5 л; 150 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4649; 1852; 1727; 2680; 808/1216; 1610; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 84.7 × 75
3; Haval H9  ; 2018 ; 2 369 900 ; Нов; 23 апреля; 4,8; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный;; Китай; 5; 5; 4856; 1926; 1900; 2800; ;; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-95; переднее, продольное; 1967; турбонаддув; 245 / 180 при 5200; 350 при 1500 – 4800; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Haval H2  ; 2016 ; 1 119 900 ; Нов; 23 апреля;  ; 1.5 л; 150 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4335; 1814; 1695; 2560; ; 1570; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Haval H6  ; 2017 ; 979 000 ; 34 717 ; 17 апреля; 4,8; 1.5 л; 143 л.с.; механика; бензин; АИ-92; передний;; Китай; 5; 5; 4649; 1852; 1727; 2680; 808/1216; 1541; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 1497; турбонаддув; 143 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Haval H6  ; 2015 ; 860 000 ; 138 000 ; 20 апреля; 4,8; 1.5 л; 150 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4649; 1852; 1727; 2680; 808/1216; 1610; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 84.7 × 75
7; Haval H2  ; 2016 ; 1 069 900 ; Нов; 20 апреля;  ; 1.5 л; 150 л.с.; автомат; бензин; АИ-95; передний;; Китай; 5; 5; 4335; 1814; 1695; 2560; ; 1570; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; Haval H9  ; 2015 ; 1 599 000 ; 63 000 ; 9 апреля; 4,8; 2.0 л; 218 л.с.; автомат; бензин; АИ-95; полный;; Китай; 5; 5; 4856; 1926; 1900; 2800; ;; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95; переднее, продольное; 1967; турбонаддув; 218 / 160 при 5500; 324 при 2000 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
9; Haval H6 Coupe I  ; 2017 ; 1 629 900 ; Нов; 19 апреля;  ; 2.0 л; 190 л.с.; робот; бензин; АИ-95; передний;; Китай; 5; 5; 4549; 2120; 1700; 2720; 247/1146;; робот; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-95;; 1967; турбонаддув; 190 / 140 при 5200 – 5500; 310 при 2400 – 3600; рядное; 4; 4; непосредственный впрыск (прямой);; 
10; Haval H6  ; 2017 ; 1 119 900 ; Нов; 19 апреля; 4,8; 1.5 л; 150 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4649; 1852; 1727; 2680; 808/1216; 1610; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 1497; турбонаддув; 150 / 110 при 5600; 210 при 2200 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 84.7 × 75
