;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Honda Civic VIII  ; 2007 ; 480 000 ; 104 000 ; 21 апреля; 4,4; 1.8 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.4 с; Япония; 4; 5; 4545; 1750; 1435; 2700; 375; 1225; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.4; АИ-95; переднее, поперечное; 1798; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
2; Honda CR-V IV  ; 2013 ; 1 179 000 ; 77 000 ; 3 апреля; 4,4; 2.0 л; 150 л.с.; автомат; бензин; АИ-92; полный; 12.8 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1561; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 182; 12.8; АИ-92; переднее, поперечное; 1997; нет; 150 / 110 при 6500; 190 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
3; Honda Accord V  ; 1994 ;130 000 ; 300 000 ; 15 апреля; 4,2; 1.9 л; 125 л.с.; механика; бензин; АИ-92; передний;; Япония; 4; 5; 4685; 1720; 1380; 2720; 405; 1210; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1849; нет; 125 / 92 при 5800; 164 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9; 85 × 81.5
4; Honda CR-V IV  ; 2013 ; 1 250 000 ; 83 000 ; 15 апреля; 4,4; 2.4 л; 190 л.с.; автомат; бензин; АИ-92; полный; 10.7 с; Япония; 5; 5; 4571; 1820; 1685; 2620; 589/1669; 1569; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 184; 10.7; АИ-92; переднее, поперечное; 2354; нет; 190 / 140 при 7000; 220 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 87 × 99
5; Honda CR-V III  ; 2008 ; 750 000 ; 165 000 ; 13 апреля; 4,4; 2.4 л; 166 л.с.; автомат; бензин; АИ-95; полный; 10 с; Япония; 5; 5; 4530; 1820; 1675; 2620; 556/955; 1595; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 10; АИ-95; переднее, поперечное; 2354; нет; 166 / 122 при 5800; 220 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 87 × 99
6; Honda CR-V I  ; 1998 ; 235 000 ; 236 000 ; 20 апреля; 4,1; 2.0 л; 128 л.с.; механика; бензин; АИ-95; полный; 10.5 с; Япония; 5; 5; 4470; 1750; 1675; 2620; ; 1430; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 174; 10.5; АИ-95; переднее, поперечное; 1973; нет; 128 / 94 при 5200; 182 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.2; 84 × 89
7; Honda Accord VII Рестайлинг Sport  ; 2007 ; 465 000 ; 168 000 ; 29 марта; 4,4; 2.0 л; 155 л.с.; автомат; бензин; АИ-95; передний; 10.5 с; Япония; 4; 5; 4665; 1760; 1445; 2680; 459; 1320; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 215; 10.5; АИ-95; переднее, поперечное; 1998; нет; 155 / 114 при 6000; 188 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 86 × 86
8; Honda Pilot II Рестайлинг  ; 2012 ; 1 549 000 ; 70 947 ; 3 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Honda Accord VII  ; 2004 ; 420 000 ; 185 000 ; 24 апреля; 4,6; 2.4 л; 190 л.с.; автомат; бензин; АИ-95; передний; 9 с; Япония; 4; 5; 4665; 1760; 1445; 2670; 460;; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 9; АИ-95; переднее, поперечное; 2354; нет; 190 / 140 при 6800; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 87 × 99
10; Honda Civic VIII  ; 2008 ; 440 000 ; 146 000 ; 24 апреля; 4,4; 1.8 л; 140 л.с.; робот; бензин; АИ-95; передний; 10.9 с; Япония; 5; 5; 4250; 1760; 1460; 2635; 456/1350; 1250; робот; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 205; 10.9; АИ-95; переднее, поперечное; 1799; нет; 140 / 103 при 6300; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 87.3
11; Honda Civic VIII  ; 2008 ; 380 000 ; 136 588 ; 10 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Honda CR-V III Рестайлинг  ; 2011 ; 950 000 ; 76 000 ; 6 ноября 2017; 4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13; Honda CR-V I Рестайлинг  ; 1999 ; 420 000 ; 283 000 ; 24 апреля; 4,3; 2.0 л; 147 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4520; 1750; 1675; 2620; 445/670; 1490; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 170; 12.5; АИ-95; переднее, поперечное; 1973; нет; 147 / 108 при 5500; 182 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 8.8; 84 × 89
14; Honda Accord VIII  ; 2008 ; 650 000 ; 180 000 ; 24 апреля; 4,5; 2.0 л; 156 л.с.; автомат; бензин; АИ-95; передний; 10.9 с; Япония; 4; 5; 4726; 1840; 1440; 2705; 467; 1443; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 212; 10.9; АИ-95; переднее, поперечное; 1997; нет; 156 / 115 при 6300; 192 при 4100 – 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.6; 81 × 96.9
15; Honda Fit I  ; 2003 ; 268 000 ; 176 000 ; 24 апреля; 4,4; 1.3 л; 86 л.с.; вариатор; бензин; АИ-92; передний;; Япония; 5; 5; 3830; 1675; 1525; 2450; ; 1000; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1339; нет; 86 / 63 при 5700; 119 при 2800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.8; 73 × 80
