;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Hummer H2  ; 2009 ;2 500 000 ; 57 000 ; 18 марта; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-92; полный; 7.8 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2985; автомат; 6; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 7.8; АИ-92;; 6162; нет; 409 / 301 при 5700; 570 при 4300; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
2; Hummer H3  ; 2008 ;1 065 000 ; 269 000 ; 16 апреля; 4,4; 3.7 л; 245 л.с.; автомат; бензин; АИ-95; полный; 9.3 с; США; 5; 5; 4782; 1989; 1872; 2842; 835/1577; 2231; автомат; 4; полный; независимая, торсионная; зависимая, рессорная; дисковые; дисковые; 160; 9.3; АИ-95; переднее, продольное; 3653; нет; 245 / 180 при 5600; 327 при 4600; рядное; 5; 4; распределенный впрыск (многоточечный); 10.4; 93 × 102
3; Hummer H2  ; 2005 ; 1 500 000 ; 127 000 ; 11 марта; 4,6; 6.0 л; 325 л.с.; автомат; бензин; АИ-92; полный; 12 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2909; автомат; 4; полный; независимая, торсионная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 160; 12; АИ-92; переднее, продольное; 5967; нет; 325 / 242 при 5200; 494 при 4000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
4; Hummer H2  ; 2004 ; 1 250 000 ; 38 000 ; 23 апреля; 4,6; 6.0 л; 315 л.с.; автомат; бензин; АИ-92; полный; 12 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2909; автомат; 4; полный; независимая, торсионная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 180; 12; АИ-92; переднее, продольное; 5967; нет; 315 / 242 при 5200; 493 при 4000; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
5; Hummer H2  ; 2003 ; 1 200 000 ; 270 000 ; 23 апреля; 4,6; 6.0 л; 315 л.с.; автомат; бензин; АИ-92; полный; 12 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2909; автомат; 4; полный; независимая, торсионная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 180; 12; АИ-92; переднее, продольное; 5967; нет; 315 / 242 при 5200; 493 при 4000; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
6; Hummer H2  ; 2008 ; 1 750 000 ; 145 000 ; 24 апреля; 4,6; 6.2 л; 409 л.с.; автомат; бензин; АИ-92; полный; 7.8 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2985; автомат; 6; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 7.8; АИ-92;; 6162; нет; 409 / 301 при 5700; 570 при 4300; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
7; Hummer H2  ; 2005 ; 1 195 000 ; 172 000 ; 12 апреля; 4,6; 6.0 л; 325 л.с.; автомат; бензин; АИ-92; полный; 12 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2909; автомат; 4; полный; независимая, торсионная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 160; 12; АИ-92; переднее, продольное; 5967; нет; 325 / 242 при 5200; 494 при 4000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
8; Hummer H2  ; 2008 ; 2 095 000 ; 117 700 ; 23 апреля; 4,6; 6.2 л; 393 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2985; автомат; 6; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92;; 6162; нет; 393 / 289 при 5700; 563 при 4300; V-образное; 8; 2; распределенный впрыск (многоточечный);; 
9; Hummer H2  ; 2007 ; 2 300 000 ; 78 000 ; 23 апреля; 4,6; 6.0 л; 325 л.с.; автомат; бензин; АИ-92; полный; 12 с; США; 5; 5; 5170; 2063; 2012; 3118; 1132/2452; 2909; автомат; 4; полный; независимая, торсионная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 160; 12; АИ-92; переднее, продольное; 5967; нет; 325 / 242 при 5200; 494 при 4000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 101.6 × 92
