;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Iran Khodro Samand  ; 2008 ; 158 000 ; 100 000 ; 24 апреля; 3,9; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-95; переднее, поперечное; 1561; нет; 110 / 81 при 6500; 153 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.3; 
2; Iran Khodro Samand  ; 2007 ; 170 000 ; 172 000 ; 23 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
3; Iran Khodro Samand  ; 2007 ; 165 000 ; 104 000 ; 23 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
4; Iran Khodro Samand  ; 2007 ; 149 000 ; 161 135 ; 11 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
5; Iran Khodro Samand  ; 2006 ; 190 000 ; 200 000 ; 23 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
6; Iran Khodro Samand  ; 2007 ; 155 000 ; 120 000 ; 6 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
7; Iran Khodro Samand  ; 2007 ; 170 000 ; 150 000 ; 6 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
8; Iran Khodro Samand  ; 2006 ; 95 000 ; 220 000 ; 22 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
9; Iran Khodro Samand  ; 2007 ; 150 000 ; 102 000 ; 22 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
10; Iran Khodro Samand  ; 2007 ; 220 000 ; 55 000 ; 22 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
11; Iran Khodro Samand  ; 2006 ; 100 000 ; 133 000 ; 22 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
12; Iran Khodro Samand  ; 2007 ; 150 000 ; 141 700 ; 19 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
13; Iran Khodro Samand  ; 2006 ; 215 000 ; 115 000 ; 18 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
14; Iran Khodro Samand  ; 2006 ; 130 000 ; 93 000 ; 18 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
15; Iran Khodro Samand  ; 2007 ;104 000 ; 97 961 ; 16 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
16; Iran Khodro Samand  ; 2007 ; 135 000 ; 127 500 ; 13 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
17; Iran Khodro Samand  ; 2007 ; 140 000 ; 266 000 ; 10 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
18; Iran Khodro Samand  ; 2006 ; 177 000 ; 94 000 ; 7 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
19; Iran Khodro Samand  ; 2007 ; 160 000 ; 133 000 ; 2 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
20; Iran Khodro Samand  ; 2006 ; 138 000 ; 290 000 ; 1 апреля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
21; Iran Khodro Samand  ; 2007 ; 145 000 ; 145 000 ; 30 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
22; Iran Khodro Samand  ; 2007 ; 150 000 ; 80 000 ; 29 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
23; Iran Khodro Samand  ; 2006 ; 170 000 ; 180 000 ; 28 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
24; Iran Khodro Samand  ; 2007 ; 107 000 ; 177 773 ; 18 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
25; Iran Khodro Samand  ; 2006 ; 170 000 ; 211 000 ; 15 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
26; Iran Khodro Samand  ; 2006 ; 135 000 ; 160 000 ; 9 марта; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
27; Iran Khodro Samand  ; 2007 ; 170 000 ; 110 000 ; 24 февраля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
28; Iran Khodro Samand  ; 2006 ; 250 000 ; 40 000 ; 24 февраля; 3,9; 1.8 л; 100 л.с.; механика; бензин; АИ-92; передний; 11.9 с; Иран; 4; 5; 4410; 1720; 1460; 2670; 500; 1200; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 185; 11.9; АИ-92; переднее, поперечное; 1761; нет; 100 / 74 при 6000; 153 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.3; 
