;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; JAC S5 (Eagle)  ; 2015 ; 595 000 ; 45 000 ; 21 апреля;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; JAC S5 (Eagle)  ; 2014 ; 750 000 ; 55 693 ; 2 апреля;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; JAC S5 (Eagle)  ; 2014 ; 650 000 ; 26 000 ; 19 апреля;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; JAC S1 (Rein) I  ; 2010 ; 530 000 ; 47 000 ; 9 марта; 4,2; 2.4 л; 130 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4500; 1875; 1730; 2620; 776; 1810; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 160;; АИ-92;; 2351; нет; 130 / 96 при 5500; 192 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; JAC S1 (Rein) I  ; 2011 ; 429 500 ; 82 000 ; 25 декабря 2017; 4,2; 2.4 л; 130 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4500; 1875; 1730; 2620; 776; 1810; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 160;; АИ-92;; 2351; нет; 130 / 96 при 5500; 192 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; JAC S1 (Rein) I Рестайлинг  ; 2011 ; 360 000 ; 97 000 ; 13 декабря 2017;  ; 2.4 л; 136 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4500; 1875; 1730; 2620; 776; 1810; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 160;; АИ-92;; 2351; нет; 136 / 100 при 5500; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; JAC S3  ; 2018 ; 699 000 ; Нов; 30 марта;  ; 1.5 л; 113 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4325; 1765; 1660; 2560; 600; 1210; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180;; АИ-95; переднее, поперечное; 1499; нет; 113 / 83 при 6000; 146 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
8; JAC S5 (Eagle)  ; 2018 ; 949 000 ; Нов; 30 марта;  ; 2.0 л; 176 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 190;; АИ-95; переднее, поперечное; 1997; турбонаддув; 176 / 129 при 5200; 235 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; JAC S5 (Eagle)  ; 2018 ; 949 000 ; Нов; 30 марта;  ; 2.0 л; 176 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 190;; АИ-95; переднее, поперечное; 1997; турбонаддув; 176 / 129 при 5200; 235 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
10; JAC S5 (Eagle)  ; 2014 ; 500 000 ; 103 000 ; 3 марта;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
11; JAC S5 (Eagle)  ; 2014 ; 675 000 ; 36 000 ; 11 февраля;  ; 2.0 л; 176 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 190;; АИ-95; переднее, поперечное; 1997; турбонаддув; 176 / 129 при 5200; 235 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
12; JAC S1 (Rein) I Рестайлинг  ; 2012 ; 310 000 ; 164 000 ; 9 января;  ; 2.4 л; 136 л.с.; механика; бензин; АИ-92; полный;; Китай; 5; 5; 4500; 1875; 1730; 2620; 776; 1810; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 160;; АИ-92;; 2351; нет; 136 / 100 при 5500; 193 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
13; JAC S5 (Eagle)  ; 2014 ; 630 000 ; 30 000 ; 17 апреля;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
14; JAC S5 (Eagle)  ; 2015 ; 630 000 ; 42 900 ; 10 января;  ; 2.0 л; 136 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4475; 1840; 1680; 2645; 505/1100; 1580; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 180;; АИ-95; переднее, поперечное; 1997; нет; 136 / 100 при 5500; 180 при 3000 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
15; JAC S3  ; 2018 ; 799 000 ; Нов; 6 марта;  ; 1.5 л; 113 л.с.; вариатор; бензин; АИ-95; передний;; Китай; 5; 5; 4325; 1765; 1660; 2560; 600; 1220; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180;; АИ-95; переднее, поперечное; 1499; нет; 113 / 83 при 6000; 146 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
16; JAC S3  ; 2018 ; 719 000 ; Нов; 12 марта;  ; 1.5 л; 113 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4325; 1765; 1660; 2560; 600; 1210; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180;; АИ-95; переднее, поперечное; 1499; нет; 113 / 83 при 6000; 146 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
17; JAC S3  ; 2016 ; 799 000 ; Нов; 6 марта;  ; 1.5 л; 113 л.с.; вариатор; бензин; АИ-95; передний;; Китай; 5; 5; 4325; 1765; 1660; 2560; 600; 1220; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 180;; АИ-95; переднее, поперечное; 1499; нет; 113 / 83 при 6000; 146 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
