;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Jeep Cherokee V (KL)  ; 2014 ;1 650 000 ; 38 000 ; 15 марта; 4,5; 2.0 л; 170 л.с.; автомат; дизель; ДТ; полный; 10.3 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1953; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 10.3; ДТ; переднее, поперечное; 1956; турбонаддув; 170 / 125 при 4000; 350 при 1750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 83 × 90.4
2; Jeep Commander  ; 2008 ;950 000 ; 212 000 ; 23 апреля; 4,4; 3.0 л; 218 л.с.; автомат; дизель; ДТ; полный; 9 с; США; 5; 7; 4787; 1900; 1826; 2781; 170/1950; 2280; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 191; 9; ДТ; переднее, продольное; 2987; турбонаддув; 218 / 160 при 4000; 510 при 1600; V-образное; 6; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
3; Jeep Grand Cherokee I (ZJ)  ; 1993 ;500 000 ; 215 000 ; 21 апреля; 4,1; 5.1 л; 220 л.с.; автомат; бензин; АИ-92; полный; 9.8 с; США; 5; 5; 4550; 1800; 1645; 2690; 1135/2255; 1792; автомат; 4; полный; зависимая, пружинная; независимая, пружинная; дисковые; барабанные; 200; 9.8; АИ-92;; 5116; нет; 220 / 162 при 4800; 387 при 3600; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.2; 99.3 × 84.1
4; Jeep Wrangler III (JK)  ; 2016 ; 3 500 000 ; 8 600 ; 23 апреля; 4,0; 3.6 л; 286 л.с.; автомат; бензин; АИ-92; полный; 8.9 с; США; 5; 5; 4751; 1877; 1800; 2947; 498/935; 1995; автомат; 5; полный; зависимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 8.9; АИ-92; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
5; Jeep Grand Cherokee III (WK)  ; 2006 ; 649 999 ; 205 000 ; 23 апреля; 4,4; 3.0 л; 218 л.с.; автомат; дизель; ДТ; полный; 9 с; США; 5; 5; 4750; 1870; 1740; 2780; 978/1909; 2140; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 200; 9; ДТ; переднее, продольное; 2987; турбонаддув; 218 / 160 при 4000; 510 при 1600 – 2400; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 83 × 92
6; Jeep Compass I Рестайлинг  ; 2012 ; 770 000 ; 77 000 ; 21 февраля; 4,4; 2.4 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; США; 5; 5; 4448; 1812; 1718; 2635; 328/1269; 1530; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.3; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
7; Jeep Compass I  ; 2007 ; 480 000 ; 122 000 ; 23 апреля; 4,4; 2.4 л; 170 л.с.; механика; бензин; АИ-95; полный; 10.7 с; США; 5; 5; 4405; 1810; 1630; 2635; 458/1269; 1465; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 10.7; АИ-95; переднее, поперечное; 2360; нет; 170 / 125 при 6000; 220 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
8; Jeep Cherokee V (KL)  ; 2014 ; 1 100 000 ; 43 500 ; 16 сентября 2017; 4,5; 2.4 л; 177 л.с.; автомат; бензин; АИ-95; полный; 10.4 с; США; 5; 5; 4623; 1859; 1669; 2699; 591/1267; 1842; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.4; АИ-95; переднее, поперечное; 2360; нет; 177 / 130 при 6400; 229 при 3900; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 88 × 97
9; Jeep Grand Cherokee IV (WK2)  ; 2012 ; 1 598 000 ; 56 449 ; 10 апреля; 4,5; 3.6 л; 286 л.с.; автомат; бензин; АИ-95; полный; 9.1 с; США; 5; 5; 4822; 1943; 1781; 2915; 782/1554; 2191; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 206; 9.1; АИ-95; переднее, продольное; 3604; нет; 286 / 210 при 6350; 347 при 4300; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.2; 96 × 83
