;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Kia Magentis I Рестайлинг  ; 2004 ;135 000 ; 228 000 ; 13 ноября 2017; 4,2; 2.0 л; 136 л.с.; механика; бензин; АИ-92; передний; 11.5 с; Южная Корея; 4; 5; 4720; 1815; 1410; 2700; 479/810; 1400; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 207; 11.5; АИ-92; переднее, поперечное; 1997; нет; 136 / 100 при 6000; 180 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 85 × 83
2; Kia Sportage III  ; 2012 ;830 000 ; 97 600 ; 10 апреля; 4,3; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; полный; 11.2 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1469; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.2; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6200; 197 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
3; Kia Sportage IV  ; 2016 ;1 690 000 ; 23 300 ; 18 апреля; 4,6; 2.0 л; 185 л.с.; автомат; дизель; ДТ; полный; 9.5 с; Южная Корея; 5; 5; 4480; 1855; 1645; 2670; 491/1492; 1615; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 201; 9.5; ДТ; переднее, поперечное; 1995; турбонаддув; 185 / 136 при 4000; 400 при 1750 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
4; Kia Sorento I  ; 2002 ; 420 000 ; 250 000 ; 24 апреля; 4,3; 2.5 л; 140 л.с.; автомат; дизель; ДТ; полный; 14.3 с; Южная Корея; 5; 5, 7; 4567; 1863; 1730; 2710; 420/1960; 1960; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 170; 14.3; ДТ; переднее, продольное; 2497; турбонаддув; 140 / 103 при 3800; 343 при 1850; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19.3; 91 × 96
5; Kia Rio III  ; 2014 ; 521 000 ; 51 800 ; 24 апреля; 4,1; 1.4 л; 107 л.с.; механика; бензин; АИ-92; передний; 11.5 с; Южная Корея; 4; 5; 4370; 1700; 1470; 2570; 500; 1115; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.5; АИ-92; переднее, поперечное; 1396; нет; 107 / 79 при 6300; 135 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 74.9
6; Kia Sorento II  ; 2012 ; 935 000 ; 98 000 ; 24 октября 2017; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Kia Cerato II  ; 2011 ; 590 000 ; 92 000 ; 5 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Kia Carnival II Grand  ; 2012 ; 999 000 ; 148 121 ; 16 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Kia Venga I  ; 2012 ; 445 000 ; 93 749 ; 27 марта; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Kia Cee'd II  ; 2013 ; 699 999 ; 66 420 ; 13 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Kia Sorento I Рестайлинг  ; 2008 ; 550 000 ; 91 129 ; 18 февраля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Kia Rio III 6-speed  ; 2015 ; 595 000 ; 22 924 ; 24 апреля; 4,1; 1.6 л; 123 л.с.; механика; бензин; АИ-92; передний; 10.3 с; Южная Корея; 5; 5; 4120; 1700; 1470; 2570; 389/1062; 1126; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 10.3; АИ-92; переднее, поперечное; 1591; нет; 123 / 90 при 6300; 155 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
13; Kia Cerato I  ; 2006 ; 240 000 ; 208 000 ; 24 апреля; 4,2; 1.6 л; 105 л.с.; механика; бензин; АИ-95; передний; 11 с; Южная Корея; 4; 5; 4480; 1735; 1470; 2610; 345; 1155; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 186; 11; АИ-95; переднее, поперечное; 1599; нет; 105 / 77 при 5800; 143 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 76.5 × 87
14; Kia Rio III Рестайлинг  ; 2016 ; 550 000 ; 88 000 ; 24 апреля; 3,6; 1.4 л; 107 л.с.; автомат; бензин; АИ-92; передний; 13.5 с; Южная Корея; 4; 5; 4370; 1700; 1470; 2570; 500; 1140; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 13.5; АИ-92; переднее, поперечное; 1396; нет; 107 / 79 при 6300; 135 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 74.9
15; Kia Sportage III  ; 2011 ; 890 000 ; 106 433 ; 3 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16; Kia Carnival I Рестайлинг  ; 2003 ; 327 000 ; 199 994 ; 6 марта; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17; Kia Cee'd II  ; 2014 ; 780 000 ; 61 000 ; 24 апреля; 4,3; 1.6 л; 129 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; Южная Корея; 5; 5; 4310; 1780; 1470; 2650; 380/1318; 1296; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 192; 11.5; АИ-95; переднее, поперечное; 1591; нет; 129 / 95 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
18; Kia Cee'd I  ; 2008 ; 390 000 ; 115 581 ; 9 марта; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19; Kia Rio III 6-speed  ; 2014 ; 565 000 ; 52 000 ; 23 апреля; 4,1; 1.6 л; 123 л.с.; автомат; бензин; АИ-92; передний; 11.2 с; Южная Корея; 4; 5; 4370; 1700; 1470; 2570; 500; 1151; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.2; АИ-92; переднее, поперечное; 1591; нет; 123 / 90 при 6300; 155 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
20; Kia Rio III 6-speed  ; 2014 ; 500 000 ; 105 818 ; 23 апреля; 4,1; 1.6 л; 123 л.с.; автомат; бензин; АИ-92; передний; 11.2 с; Южная Корея; 5; 5; 4120; 1700; 1470; 2570; 389/1062; 1151; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.2; АИ-92; переднее, поперечное; 1591; нет; 123 / 90 при 6300; 155 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
21; Kia Sorento II Рестайлинг  ; 2013 ; 1 200 000 ; 72 004 ; 14 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22; Kia Sorento II Рестайлинг  ; 2014 ; 1 365 000 ; 66 500 ; 26 октября 2017; 4,3; 2.4 л; 175 л.с.; автомат; бензин; АИ-95; полный; 11.5 с; Южная Корея; 5; 5, 7; 4685; 1885; 1710; 2700; 530/2052; 1779; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.5; АИ-95; переднее, поперечное; 2359; нет; 175 / 129 при 6000; 225 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 97
23; Kia Sportage III  ; 2010 ; 800 000 ; 79 000 ; 23 апреля; 4,3; 2.0 л; 150 л.с.; механика; бензин; АИ-95; полный; 10.7 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1450; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 182; 10.7; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6200; 197 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
24; Kia Sportage II  ; 2006 ; 420 000 ; 170 000 ; 30 декабря 2017; 3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25; Kia Rio III  ; 2015 ; 575 000 ; 71 166 ; 23 апреля; 4,1; 1.4 л; 107 л.с.; механика; бензин; АИ-92; передний; 11.5 с; Южная Корея; 4; 5; 4370; 1700; 1470; 2570; 500; 1115; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 11.5; АИ-92; переднее, поперечное; 1396; нет; 107 / 79 при 6300; 135 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 74.9
26; Kia Soul I  ; 2011 ; 549 800 ; 74 000 ; 23 апреля; 4,3; 1.6 л; 124 л.с.; механика; бензин; АИ-95; передний; 11 с; Южная Корея; 5; 5; 4105; 1785; 1610; 2550; 222/570; 1270; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 177; 11; АИ-95; переднее, поперечное; 1591; нет; 124 / 92 при 6300; 156 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
27; Kia Soul I Рестайлинг  ; 2013 ; 688 800 ; 86 000 ; 23 апреля; 4,4; 1.6 л; 129 л.с.; автомат; бензин; АИ-95; передний; 11.5 с; Южная Корея; 5; 5; 4120; 1785; 1610; 2550; 340/818; 1190; автомат; 6; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 177; 11.5; АИ-95; переднее, поперечное; 1591; нет; 129 / 94 при 6300; 157 при 4850; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 77 × 85.4
28; Kia Sorento I  ; 2006 ; 477 000 ; 159 000 ; 23 апреля; 4,3; 2.5 л; 140 л.с.; автомат; дизель; ДТ; полный; 14.3 с; Южная Корея; 5; 5, 7; 4567; 1863; 1730; 2710; 420/1960; 1960; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; дисковые; 170; 14.3; ДТ; переднее, продольное; 2497; турбонаддув; 140 / 103 при 3800; 343 при 1850; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19.3; 91 × 96
29; Kia Sportage III  ; 2011 ; 709 000 ; 176 883 ; 23 апреля; 4,3; 2.0 л; 150 л.с.; механика; бензин; АИ-95; передний; 10.4 с; Южная Корея; 5; 5; 4440; 1855; 1635; 2640; 564/1353; 1380; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 184; 10.4; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6200; 197 при 4600; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
30; Kia Cerato I Рестайлинг  ; 2006 ; 269 000 ; 280 000 ; 23 апреля;  ; 1.6 л; 122 л.с.; механика; бензин; АИ-95; передний; 10.2 с; Южная Корея; 4; 5; 4480; 1735; 1470; 2610; 345; 1243; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 186; 10.2; АИ-95; переднее, поперечное; 1591; нет; 122 / 90 при 6200; 154 при 4200; рядное; 4; 4; непосредственный впрыск (прямой); 10; 
