;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Lancia Ypsilon I (Type 840)  ; 2000 ; 95 000 ; 260 000 ; 15 апреля;  ; 1.2 л; 60 л.с.; механика; бензин; АИ-95; передний; 14.1 с; Италия; 3; 5; 3725; 1690; 1435; 2380; 215/910; 860; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 158; 14.1; АИ-95; переднее, поперечное; 1242; нет; 60 / 44 при 5000; 104 при 2500; рядное; 4; 2; распределенный впрыск (многоточечный); 9.8; 70.8 × 78.9
2; Lancia Lybra  ; 1999 ; 160 000 ; 300 000 ; 3 апреля;  ; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 11.7 с; Италия; 4; 5; 4466; 1743; 1462; 2593; 420; 1355; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 205; 11.7; АИ-95; переднее, поперечное; 1998; нет; 150 / 110 при 6500; 181 при 3750; рядное; 5; 4; распределенный впрыск (многоточечный); 10.7; 82 × 75.65
3; Lancia Voyager  ; 2012 ; 1 890 000 ; 69 000 ; 13 марта;  ; 2.8 л; 163 л.с.; автомат; дизель; ДТ; передний; 11.9 с; Италия; 5; 7; 5218; 1998; 1750; 3078; 934; 2242; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 193; 11.9; ДТ; переднее, поперечное; 2776; турбонаддув; 163 / 120 при 3800; 360 при 1400 – 3200; V-образное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 94 × 100
4; Lancia Kappa  ; 1998 ; 165 000 ; 242 000 ; 1 декабря 2017;  ; 2.0 л; 155 л.с.; механика; бензин; АИ-95; передний; 9.2 с; Италия; 4; 5; 4687; 1826; 1462; 2700; 525; 1440; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 212; 9.2; АИ-95; переднее, поперечное; 1998; нет; 155 / 114 при 6500; 186 при 4000; рядное; 5; 4; распределенный впрыск (многоточечный); 10.4; 82 × 75.7
5; Lancia Kappa  ; 1996 ; 150 000 ; 250 000 ; 21 апреля;  ; 2.0 л; 146 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Италия; 4; 5; 4687; 1826; 1462; 2700; 525; 1450; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.8; АИ-95; переднее, поперечное; 1998; нет; 146 / 107 при 6000; 185 при 4500; рядное; 5; 4; распределенный впрыск (многоточечный); 10; 82 × 75.7
6; Lancia Prisma  ; 1989 ; 100 000 ; 222 000 ; 25 марта;  ; 1.9 л; 65 л.с.; механика; дизель; ДТ; передний;; Италия; 4; 5; 4181; 1621; 1379; 2479; 450;; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные;;; ДТ; переднее, поперечное; 1929; нет; 65 / 48 при 4600; 119 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 19.2; 82.6 × 90
7; Lancia Lybra  ; 2002 ; 150 000 ; 292 000 ; 15 сентября 2017;  ; 2.4 л; 150 л.с.; механика; дизель; ДТ; передний; 9.4 с; Италия; 5; 5; 4466; 1743; 1470; 2593; 420/1300; 1350; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 212; 9.4; ДТ; переднее, поперечное; 2387; турбонаддув; 150 / 110 при 4000; 308 при 1800; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18.5; 82 × 90.4
8; Lancia Kappa  ; 1998 ; 65 000 ; 153 000 ; 30 марта;  ; 2.0 л; 155 л.с.; механика; бензин; АИ-95; передний; 9.2 с; Италия; 4; 5; 4687; 1826; 1462; 2700; 525; 1440; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 212; 9.2; АИ-95; переднее, поперечное; 1998; нет; 155 / 114 при 6500; 186 при 4000; рядное; 5; 4; распределенный впрыск (многоточечный); 10.4; 82 × 75.7
9; Lancia Thesis  ; 2003 ; 569 000 ; 147 853 ; 31 марта; 4,2; 3.0 л; 215 л.с.; автомат; бензин; АИ-95; передний; 9.2 с; Италия; 4; 5; 4888; 1830; 1465; 2803; 400; 1750; автомат; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 234; 9.2; АИ-95; переднее, поперечное; 2959; нет; 215 / 158 при 6300; 263 при 5000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 93 × 72.6
