;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Land Rover Range Rover IV  ; 2013 ;3 789 999 ; 49 700 ; 28 января; 4,1; 4.4 л; 339 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Великобритания; 5; 5; 4999; 2220; 1835; 2922; 909/2030; 2360; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 217; 6.9; ДТ; переднее, продольное; 4367; турбонаддув; 339 / 250 при 3500; 700 при 1750 – 3000; V-образное; 8; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.1; 84 × 98.5
2; Land Rover Discovery III  ; 2007 ; 800 000 ; 157 000 ; 8 марта; 4,6; 4.4 л; 295 л.с.; автомат; бензин; АИ-92; полный; 8.6 с; Великобритания; 5; 7; 4835; 1915; 1887; 2885; 280/2558; 2465; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 195; 8.6; АИ-92; переднее, продольное; 4394; нет; 295 / 220 при 5500; 425 при 4000; V-образное; 8; 4; распределенный впрыск (многоточечный); 10.8; 88 × 90.3
3; Land Rover Range Rover III Рестайлинг  ; 2008 ;770 000 ; 182 000 ; 23 марта; 4,6; 4.2 л; 396 л.с.; автомат; бензин; АИ-95; полный; 7.5 с; Великобритания; 5; 5; 4972; 1956; 1902; 2880; 997/2091; 2560; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 210; 7.5; АИ-95; переднее, продольное; 4196; компрессор; 396 / 291 при 5750; 560 при 3500; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.1; 86 × 90.3
4; Land Rover Range Rover Sport I Рестайлинг  ; 2012 ; 1 550 000 ; 125 000 ; 23 апреля; 4,5; 3.0 л; 245 л.с.; автомат; дизель; ДТ; полный; 9.3 с; Великобритания; 5; 5; 4783; 2004; 1784; 2745; 960/2015; 2535; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 193; 9.3; ДТ; переднее, продольное; 2993; турбонаддув; 245 / 180 при 4000; 600 при 2000; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 84 × 90
5; Land Rover Range Rover IV  ; 2014 ; 4 000 000 ; 46 200 ; 23 апреля; 4,1; 5.0 л; 510 л.с.; автомат; бензин; АИ-95; полный; 5.4 с; Великобритания; 5; 5; 4999; 2220; 1835; 2922; 909/2030; 2330; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 225; 5.4; АИ-95; переднее, продольное; 4999; компрессор; 510 / 375 при 6000 – 6500; 625 при 2500 – 5500; V-образное; 8; 4; распределенный впрыск (многоточечный); 9.5; 92.5 × 93
6; Land Rover Range Rover III Рестайлинг 2  ; 2011 ; 1 550 000 ; 171 000 ; 10 мая 2017; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Land Rover Range Rover Sport I Рестайлинг  ; 2011 ; 1 600 000 ; 152 183 ; 24 февраля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Land Rover Range Rover III Рестайлинг 2  ; 2009 ; 1 050 000 ; 130 000 ; 3 января; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Land Rover Range Rover Evoque I 9-speed  ; 2015 ; 1 890 000 ; 78 114 ; 24 апреля; 4,7; 2.2 л; 190 л.с.; автомат; дизель; ДТ; полный; 8.5 с; Великобритания; 5; 5; 4365; 1965; 1635; 2660; 575/1445; 1685; автомат; 9; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 195; 8.5; ДТ; переднее, поперечное; 2179; турбонаддув; 190 / 140 при 4000; 420 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16; 85 × 96
