;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Lifan X60 I  ; 2014 ; 460 000 ; 27 800 ; 9 апреля; 4,4; 1.8 л; 128 л.с.; механика; бензин; АИ-95; передний; 14.5 с; Китай; 5; 5; 4325; 1790; 1690; 2600; 405; 1330; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 170; 14.5; АИ-95; переднее, поперечное; 1794; нет; 128 / 94 при 6000; 168 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
2; Lifan X60 I Рестайлинг 2  ; 2017 ;769 000 ; 12 000 ; 14 марта; 4,4; 1.8 л; 128 л.с.; механика; бензин; АИ-95; передний;; Китай; 5; 5; 4405; 1790; 1690; 2600; 405; 1405; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1794; нет; 128 / 94 при 6000; 162 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
3; Lifan Myway  ; 2018 ; 869 900 ; Нов; 19 апреля; 4,5; 1.8 л; 125 л.с.; механика; бензин; АИ-95; задний;; Китай; 5; 7; 4440; 1760; 1730; 2720; 295/2188; 1515; механика; 5; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 160;; АИ-95; переднее, продольное; 1794; нет; 125 / 92 при —; 161 при 4200 – 4400; рядное; 4; 4; распределенный впрыск (многоточечный);; 
4; Lifan Solano I (620)  ; 2012 ; 225 000 ; 86 000 ; 23 апреля; 3,9; 1.6 л; 106 л.с.; механика; бензин; АИ-92; передний; 15.5 с; Китай; 4; 5; 4550; 1705; 1495; 2605; 650; 1150; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170; 15.5; АИ-92; переднее, поперечное; 1587; нет; 106 / 78 при 6000; 137 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 
5; Lifan Smily I Рестайлинг (330)  ; 2014 ; 238 000 ; 22 000 ; 23 апреля; 4,7; 1.3 л; 88 л.с.; механика; бензин; АИ-92; передний; 14.5 с; Китай; 5; 5; 3775; 1620; 1430; 2340; 300; 985; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 160; 14.5; АИ-92; переднее, поперечное; 1342; нет; 88 / 64 при 6000; 113 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный);; 
6; Lifan X60 I Рестайлинг  ; 2016 ; 600 000 ; 7 000 ; 23 апреля; 4,1; 1.8 л; 128 л.с.; вариатор; бензин; АИ-95; передний; 14.5 с; Китай; 5; 5; 4325; 1790; 1690; 2600; 405; 1330; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 14.5; АИ-95; переднее, поперечное; 1794; нет; 128 / 94 при 6000; 162 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; Lifan Solano I (620)  ; 2012 ; 242 000 ; 86 000 ; 23 апреля; 3,9; 1.6 л; 106 л.с.; механика; бензин; АИ-92; передний; 15.5 с; Китай; 4; 5; 4550; 1705; 1495; 2605; 650; 1150; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170; 15.5; АИ-92; переднее, поперечное; 1587; нет; 106 / 78 при 6000; 137 при 3500; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 
8; Lifan X50  ; 2015 ; 445 000 ; 68 000 ; 23 апреля; 4,6; 1.5 л; 103 л.с.; механика; бензин; АИ-92; передний; 11 с; Китай; 5; 5; 4100; 1722; 1540; 2550; 280/1480; 1150; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170; 11; АИ-92; переднее, поперечное; 1498; нет; 103 / 76 при 6000; 133 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
9; Lifan Solano I Рестайлинг (630)  ; 2015 ; 400 000 ; 45 500 ; 23 апреля; 4,2; 1.5 л; 103 л.с.; механика; бензин; АИ-95; передний;; Китай; 4; 5; 4550; 1705; 1495; 2605; 650; 1150; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170;; АИ-95; переднее, поперечное; 1497; нет; 103 / 76 при 6000; 133 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
