;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Lincoln Town Car II  ; 1995 ;1 000 000 ; 135 000 ; 24 марта; 4,5; 4.6 л; 210 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4601; нет; 210 / 154 при —; 373 при 3250; V-образное; 8; 2;;; 
2; Lincoln MKZ II  ; 2013 ; 1 120 000 ; 74 000 ; 23 апреля;  ; 2.0 л; 240 л.с.; автомат; бензин; АИ-95; передний; 7.4 с; США; 4; 5; 4930; 1864; 1478; 2850; 436; 1687; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 243; 7.4; АИ-95; переднее, поперечное; 1999; турбонаддув; 240 / 177 при 5500; 366 при 3000; рядное; 4; 4; непосредственный впрыск (прямой);; 
3; Lincoln Town Car II  ; 1990 ; 349 000 ; 176 123 ; 24 апреля; 4,5; 5.0 л; 150 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4949; нет; 150 / 110 при —; 370 при 2000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 101.6 × 76.2
4; Lincoln Town Car III  ; 1997 ; 385 000 ; 250 000 ; 23 апреля;  ; 4.6 л; 205 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5470; 1985; 1470; 2990; 583;; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, продольное; 4601; нет; 205 / 151 при 4500; 380 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 90.2 × 90
5; Lincoln Continental IV  ; 1965 ; 1 500 000 ; 64 000 ; 23 апреля;  ; 7.6 л; 345 л.с.; автомат; бензин;; задний; 10.5 с; США; 4; 5; 5611; 2024; 1384; 3200; ; 2591; автомат; 3; задний; независимая, пружинная; зависимая, рессорная; дисковые вентилируемые; дисковые; 194; 10.5;; переднее, продольное; 7560; нет; 345 / 254 при 4600; 657 при 2800; V-образное; 8; 2; карбюратор; 10.2; 111.2 × 97.3
6; Lincoln MKS I  ; 2008 ; 1 490 000 ; 96 000 ; 15 апреля;  ; 3.7 л; 274 л.с.; автомат; бензин;; полный; 7.4 с; США; 4; 5; 5184; 1928; 1565; 2868; 530;; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 239; 7.4;;; 3726; нет; 274 / 202 при 6250; 270 при 4250; V-образное; 6; 4; распределенный впрыск (многоточечный);; 
7; Lincoln Town Car III  ; 2001 ; 750 000 ; 340 194 ; 19 апреля;  ; 4.6 л; 223 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1950; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 223 / 164 при 4750; 360 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
8; Lincoln Town Car II  ; 1995 ; 720 000 ; 76 000 ; 16 апреля; 4,5; 4.6 л; 210 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ;; автомат; 4; задний; независимая, пружинная; зависимая, пневмоэлемент; дисковые вентилируемые; дисковые;;; АИ-92;; 4601; нет; 210 / 154 при —; 373 при 3250; V-образное; 8; 2;;; 
9; Lincoln Town Car III  ; 2000 ; 389 000 ; 137 000 ; 28 ноября 2017;  ; 4.6 л; 223 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1950; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 223 / 164 при 4750; 360 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
10; Lincoln Navigator III L  ; 2006 ; 1 250 000 ; 86 942 ; 5 апреля;  ; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 9.3 с; США; 5; 5, 8; 5672; 2002; 1984; 3327; 1209/3630; 2825; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 190; 9.3; АИ-92; переднее, продольное; 5408; нет; 304 / 224 при 5000; 495 при 3600; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.8; 90.2 × 105.9
11; Lincoln Town Car II  ; 1993 ; 400 000 ; 100 000 ; 22 апреля; 4,5; 4.6 л; 190 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5560; 1953; 1440; 2982; ; 1800; автомат; 4; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, продольное; 4601; нет; 190 / 140 при 4500; 359 при 3250; V-образное; 8; 2; распределенный впрыск (многоточечный); 9; 101.6 × 76.2
12; Lincoln Town Car III  ; 2000 ; 586 155 ; 294 000 ; 22 апреля;  ; 4.6 л; 235 л.с.; автомат; бензин; АИ-92; задний;; США; 4; 6; 5470; 1985; 1470; 2990; 583;; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые;;; АИ-92; переднее, продольное; 4601; нет; 235 / 173 при —; 389 при 3500; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.5; 90.2 × 90
13; Lincoln Town Car III Рестайлинг  ; 2003 ; 600 000 ; 120 000 ; 19 апреля;  ; 4.6 л; 239 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5490; 1985; 1470; 2990; 595; 1835; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 239 / 175 при 4750; 373 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
14; Lincoln Navigator II  ; 2005 ; 600 000 ; 254 000 ; 17 апреля; 4,6; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 10 с; США; 5; 5, 8; 5232; 2038; 1980; 3020; 507/2965; 2805; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 190; 10; АИ-92; переднее, продольное; 5398; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.5; 90.2 × 105.7
15; Lincoln Town Car III  ; 2001 ; 300 000 ; 80 000 ; 15 апреля;  ; 4.6 л; 223 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1950; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 223 / 164 при 4750; 360 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
16; Lincoln Navigator I  ; 1998 ; 560 000 ; 135 000 ; 9 апреля; 4,9; 5.4 л; 232 л.с.; автомат; бензин; АИ-92; полный;; США; 5; 5, 8; 5200; 2030; 1850; 3025; 878/3295; 2520; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые; дисковые; 190;; АИ-92; переднее, продольное; 5408; нет; 232 / 171 при 4250; 441 при 3000; V-образное; 8;; распределенный впрыск (многоточечный); 9.1; 90.2 × 105.7
17; Lincoln Mark LT I  ; 2008 ; 1 550 000 ; 220 000 ; 2 апреля;  ; 5.4 л; 304 л.с.; автомат; бензин; АИ-95; полный; 8.8 с; США; 4; 5; 5685; 2004; 1867; 3518; ; 2645; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 170; 8.8; АИ-95; переднее, продольное; 5408; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.8; 90.2 × 105.9
18; Lincoln Town Car III Рестайлинг  ; 2004 ; 285 000 ; 93 000 ; 15 марта;  ; 4.6 л; 242 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5490; 1985; 1470; 2990; 595; 1990; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 177; 9.5; АИ-92; переднее, продольное; 4601; нет; 242 / 178 при 4900; 389 при 4100; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
19; Lincoln Navigator II  ; 2003 ; 730 000 ; 215 000 ; 9 марта; 4,6; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 9.3 с; США; 5; 5, 8; 5232; 2038; 1980; 3020; 507/2965; 2705; автомат; 4; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 170; 9.3; АИ-92; переднее, продольное; 5398; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.5; 90.2 × 105.7
20; Lincoln Navigator II  ; 2005 ; 635 000 ; 259 000 ; 2 февраля; 4,6; 5.4 л; 304 л.с.; автомат; бензин; АИ-92; полный; 10 с; США; 5; 5, 8; 5232; 2038; 1980; 3020; 507/2965; 2805; автомат; 6; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые; 190; 10; АИ-92; переднее, продольное; 5398; нет; 304 / 224 при 5000; 481 при 2750; V-образное; 8; 3; распределенный впрыск (многоточечный); 9.5; 90.2 × 105.7
21; Lincoln Town Car III  ; 1999 ; 298 000 ; 156 000 ; 27 января;  ; 4.6 л; 223 л.с.; автомат; бензин; АИ-92; задний; 9.5 с; США; 4; 6; 5470; 1985; 1470; 2990; 583; 1950; автомат; 4; задний; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 180; 9.5; АИ-92; переднее, продольное; 4601; нет; 223 / 164 при 4750; 360 при 3000; V-образное; 8; 2; распределенный впрыск (многоточечный); 9.4; 90.2 × 90
